	RODE 0g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
224.609375	-1.52	-13.23	1.00
226.562500	-1.55	-13.75	1.00
228.515625	-2.21	-10.54	1.00
230.468750	-2.42	-9.27	1.00
232.421875	-2.39	-6.12	1.00
234.375000	-2.42	-5.37	1.00
236.328125	-2.73	-4.92	1.00
238.281250	-2.68	-5.08	1.00
240.234375	-3.52	-4.80	1.00
242.187500	-4.89	0.27	0.99
244.140625	-4.80	2.54	1.00
246.093750	-4.64	6.18	1.00
248.046875	-4.48	8.19	1.00
250.000000	-3.62	13.04	0.99
251.953125	-3.62	34.78	0.99
253.906250	-4.00	39.33	1.00
255.859375	-3.61	39.09	1.00
257.812500	-2.90	38.94	1.00
259.765625	-1.34	44.70	0.99
261.718750	-0.31	42.12	1.00
263.671875	0.53	45.27	0.99
265.625000	-0.81	56.78	0.98
267.578125	0.49	47.80	0.99
269.531250	1.04	39.14	1.00
271.484375	1.75	30.83	1.00
273.437500	2.18	25.46	1.00
275.390625	2.58	16.54	0.98
277.343750	3.11	7.17	1.00
281.250000	5.25	7.28	0.96
285.156250	-2.05	4.94	0.91
289.062500	-3.04	4.95	0.59
292.968750	1.56	-24.78	0.96
296.875000	0.72	-23.33	0.98
300.781250	-3.34	-23.39	0.96
304.687500	-0.53	-14.35	0.98
308.593750	-1.41	-10.37	1.00
312.500000	-0.73	-9.22	1.00
316.406250	-2.37	-20.66	0.99
320.312500	-2.38	-21.01	1.00
324.218750	-4.62	-10.78	0.99
328.125000	-4.36	-9.24	1.00
332.031250	-4.52	2.28	1.00
335.937500	-4.32	4.59	1.00
339.843750	-4.06	4.43	1.00
343.750000	-2.07	15.06	1.00
347.656250	-2.62	4.39	0.99
351.562500	-1.26	3.49	1.00
355.468750	-1.16	6.40	1.00
359.375000	-2.96	2.63	0.99
363.281250	-2.75	15.92	1.00
367.187500	-3.09	12.60	1.00
371.093750	-1.96	16.46	1.00
375.000000	-1.67	17.56	1.00
378.906250	-1.52	18.28	1.00
382.812500	-0.56	21.40	1.00
386.718750	-0.60	19.17	1.00
390.625000	0.07	16.92	1.00
394.531250	0.00	11.54	1.00
398.437500	-0.42	11.87	1.00
402.343750	-0.40	13.49	1.00
406.250000	0.26	16.74	1.00
410.156250	2.07	11.83	1.00
414.062500	1.17	4.70	1.00
417.968750	0.52	9.43	1.00
421.875000	1.48	3.75	1.00
425.781250	1.36	-2.05	1.00
429.687500	0.44	-0.95	1.00
433.593750	-0.35	0.88	1.00
437.500000	-0.43	2.42	1.00
441.406250	-0.42	1.80	1.00
445.312500	-0.49	0.86	1.00
449.218750	-0.65	2.19	1.00
453.125000	-0.81	2.85	1.00
457.031250	-0.70	4.93	1.00
460.937500	-0.68	5.50	1.00
464.843750	-0.71	5.11	1.00
468.750000	-0.71	6.80	1.00
472.656250	-0.67	9.63	1.00
476.562500	-0.62	10.24	1.00
480.468750	0.86	7.21	1.00
484.375000	0.87	4.92	1.00
488.281250	0.55	0.78	1.00
492.187500	-0.15	-2.05	1.00
496.093750	-0.42	-2.10	1.00
500.000000	-0.68	-1.32	1.00
503.906250	-0.87	-0.70	1.00
507.812500	-0.95	2.58	1.00
511.718750	-1.01	1.65	1.00
515.625000	-1.08	2.88	1.00
519.531250	-1.62	2.62	1.00
523.437500	-1.81	2.40	1.00
527.343750	-1.79	7.74	1.00
531.250000	0.04	0.83	0.99
535.156250	0.18	-1.81	0.97
539.062500	-1.44	-1.28	0.98
542.968750	-2.03	-4.14	0.99
546.875000	-3.80	-3.18	0.99
550.781250	-4.29	7.72	0.99
554.687500	-4.12	14.10	1.00
560.000000	-3.05	15.58	1.00
568.000000	-2.04	19.17	1.00
576.000000	-1.20	24.69	0.99
584.000000	0.41	28.78	1.00
592.000000	2.66	11.75	0.98
600.000000	2.55	9.22	1.00
608.000000	1.57	-3.81	0.99
616.000000	0.67	-6.21	1.00
624.000000	0.30	-3.40	1.00
632.000000	-2.74	4.99	1.00
640.000000	-2.35	7.88	1.00
