	75° (sin filtrar)		
Frequency (Hz)	Level (dB)
1666.767409	43.56
1690.927550	42.24
1715.437896	43.91
1740.303526	44.64
1765.529587	47.03
1791.121306	48.08
1817.083982	46.74
1843.422992	44.11
1870.143792	43.02
1897.251916	43.15
1924.752977	40.73
1952.652672	44.94
1980.956779	44.41
2009.671159	42.10
2038.801761	42.57
2068.354617	44.76
2098.335847	42.26
2128.751662	41.94
2159.608360	42.77
2190.912333	41.93
2222.670063	39.26
2254.888128	38.36
2287.573200	38.87
2320.732050	41.49
2354.371544	36.64
2388.498649	40.06
2423.120434	39.84
2458.244069	38.65
2493.876828	38.96
2530.026092	40.82
2566.699346	36.59
2603.904187	34.08
2641.648320	38.45
2679.939562	36.82
2718.785844	36.59
2758.195211	39.05
2798.175824	34.06
2838.735965	35.58
2879.884033	38.87
2921.628551	34.48
2963.978165	35.50
3006.941645	35.06
3050.527890	32.74
3094.745927	38.55
3139.604913	34.30
3185.114139	32.42
3231.283032	35.96
3278.121151	30.86
3325.638200	33.49
3373.844017	29.57
3422.748588	30.87
3472.362041	33.42
3522.694651	31.35
3573.756843	30.19
3625.559192	27.84
3678.112427	32.02
3731.427432	29.87
3785.515249	31.20
3840.387080	29.82
3896.054290	23.98
3952.528408	21.51
4009.821129	20.81
4067.944321	26.72
4126.910020	27.05
4186.730440	23.64
4247.417969	31.28
4308.985176	30.99
4371.444813	28.78
4434.809815	34.20
4499.093306	29.65
4564.308599	34.25
4630.469202	32.21
4697.588817	35.27
4765.681344	33.11
4834.760887	33.33
4904.841752	35.41
4975.938453	30.28
5048.065717	33.03
5121.238480	32.67
5195.471897	31.43
5270.781343	34.46
5347.182415	36.44
5424.690937	33.98
5503.322961	37.29
5583.094772	37.00
5664.022893	35.24
5746.124083	35.95
5829.415347	36.34
5913.913936	34.51
5999.637349	33.39
6086.603340	34.70
6174.829922	33.89
6264.335367	33.73
6355.138211	31.87
6447.257262	30.67
6540.711597	30.83
6635.520573	30.24
6731.703824	28.65
6829.281272	27.81
6928.273125	28.99
7028.699885	27.83
7130.582353	27.36
7233.941627	27.01
7338.799116	26.91
7445.176537	25.59
7553.095920	22.80
7662.579617	22.12
7773.650302	24.96
7886.330981	26.27
8000.644989	28.65
8116.616003	29.54
8234.268041	30.64
8353.625470	30.77
8474.713009	27.54
8597.555737	26.77
8722.179097	26.74
8848.608897	24.83
8976.871324	22.76
9106.992942	21.81
9239.000700	20.25
9372.921937	22.88
9508.784391	22.37
9646.616199	20.72
9786.445908	18.30
9928.302478	15.23
10072.215288	14.01
10218.214144	19.58
10366.329284	18.61
10516.591384	17.00
10669.031565	18.24
10823.681397	19.38
10980.572911	18.26
11139.738600	19.27
11301.211429	18.44
11465.024840	20.02
11631.212760	20.10
11799.809609	19.41
11970.850305	16.27
12144.370271	18.34
12320.405445	16.58
12498.992285	18.69
12680.167779	19.75
12863.969449	18.86
13050.435363	17.77
13239.604139	15.52
13431.514956	14.24
13626.207560	13.46
13823.722274	10.95
14024.100004	12.01
14227.382252	10.74
14433.611118	13.68
14642.829314	14.46
14855.080172	15.91
15070.407650	15.99
15288.856344	12.82
15510.471498	11.73
15735.299010	15.99
15963.385443	14.20
16194.778036	10.86
16429.524714	9.87
16667.674093	9.66
16909.275497	10.48
17154.378963	9.61
17403.035256	6.94
17655.295873	6.17
17911.213060	7.21
18170.839820	6.68
18434.229924	4.70
18701.437922	5.15
18972.519156	6.68
19247.529769	5.37
19526.526718	5.00
19809.567786	4.17
20096.711592	1.82
20388.017608	0.85
20683.546166	0.83
20983.358471	0.60
21287.516618	0.86
21596.083601	1.16
21909.123326	0.93
22226.700627	1.29
