	45° s filtrar		
Frequency (Hz)	Level (dB)
1666.767409	45.94
1690.927550	46.70
1715.437896	46.86
1740.303526	46.84
1765.529587	49.01
1791.121306	50.11
1817.083982	48.49
1843.422992	48.13
1870.143792	47.75
1897.251916	46.15
1924.752977	45.57
1952.652672	47.91
1980.956779	47.52
2009.671159	47.33
2038.801761	45.77
2068.354617	48.54
2098.335847	46.17
2128.751662	44.65
2159.608360	44.99
2190.912333	46.59
2222.670063	45.08
2254.888128	42.25
2287.573200	43.05
2320.732050	45.60
2354.371544	43.27
2388.498649	44.74
2423.120434	43.92
2458.244069	42.74
2493.876828	43.31
2530.026092	43.98
2566.699346	43.20
2603.904187	41.70
2641.648320	42.21
2679.939562	42.78
2718.785844	42.61
2758.195211	42.91
2798.175824	41.66
2838.735965	41.10
2879.884033	43.72
2921.628551	41.64
2963.978165	40.92
3006.941645	41.20
3050.527890	38.95
3094.745927	41.47
3139.604913	40.25
3185.114139	39.54
3231.283032	39.48
3278.121151	37.88
3325.638200	40.12
3373.844017	36.37
3422.748588	37.02
3472.362041	37.06
3522.694651	37.65
3573.756843	36.89
3625.559192	34.50
3678.112427	36.07
3731.427432	35.13
3785.515249	35.53
3840.387080	34.18
3896.054290	32.12
3952.528408	31.54
4009.821129	30.75
4067.944321	31.20
4126.910020	26.06
4186.730440	28.82
4247.417969	26.53
4308.985176	22.36
4371.444813	25.62
4434.809815	27.62
4499.093306	28.08
4564.308599	30.94
4630.469202	32.28
4697.588817	32.85
4765.681344	31.02
4834.760887	33.70
4904.841752	32.32
4975.938453	30.76
5048.065717	30.57
5121.238480	27.84
5195.471897	30.42
5270.781343	32.56
5347.182415	32.14
5424.690937	32.99
5503.322961	34.51
5583.094772	33.97
5664.022893	33.82
5746.124083	34.54
5829.415347	34.01
5913.913936	34.37
5999.637349	33.01
6086.603340	34.55
6174.829922	33.77
6264.335367	33.24
6355.138211	30.52
6447.257262	32.27
6540.711597	31.80
6635.520573	32.49
6731.703824	32.36
6829.281272	31.20
6928.273125	32.58
7028.699885	31.74
7130.582353	32.50
7233.941627	32.08
7338.799116	31.64
7445.176537	30.36
7553.095920	28.96
7662.579617	30.28
7773.650302	24.48
7886.330981	28.69
8000.644989	25.80
8116.616003	26.77
8234.268041	27.57
8353.625470	27.20
8474.713009	26.61
8597.555737	25.03
8722.179097	23.09
8848.608897	26.39
8976.871324	27.27
9106.992942	26.98
9239.000700	27.07
9372.921937	24.60
9508.784391	24.30
9646.616199	25.87
9786.445908	25.22
9928.302478	25.53
10072.215288	26.05
10218.214144	25.89
10366.329284	25.80
10516.591384	24.50
10669.031565	26.15
10823.681397	24.90
10980.572911	24.41
11139.738600	22.73
11301.211429	21.65
