	fs a 10 fs_2		
Frequency (Hz)	Level (dB)
1666.767409	22.14
1690.927550	22.04
1715.437896	21.58
1740.303526	22.06
1765.529587	21.67
1791.121306	21.57
1817.083982	19.81
1843.422992	19.63
1870.143792	19.54
1897.251916	19.07
1924.752977	18.57
1952.652672	19.55
1980.956779	17.83
2009.671159	16.77
2038.801761	16.64
2068.354617	17.49
2098.335847	15.72
2128.751662	14.28
2159.608360	16.12
2190.912333	14.29
2222.670063	13.82
2254.888128	12.76
2287.573200	12.02
2320.732050	13.44
2354.371544	13.39
2388.498649	12.01
2423.120434	11.91
2458.244069	10.64
2493.876828	10.93
2530.026092	11.38
2566.699346	10.88
2603.904187	10.16
2641.648320	10.25
2679.939562	9.83
2718.785844	10.10
2758.195211	10.33
2798.175824	9.28
2838.735965	8.62
2879.884033	9.18
2921.628551	9.39
2963.978165	8.48
3006.941645	8.19
3050.527890	8.50
3094.745927	9.40
3139.604913	8.94
3185.114139	7.99
3231.283032	9.06
3278.121151	9.20
3325.638200	8.77
3373.844017	9.22
3422.748588	8.09
3472.362041	9.67
3522.694651	7.45
3573.756843	8.23
3625.559192	8.88
3678.112427	9.36
3731.427432	8.18
3785.515249	7.42
3840.387080	8.40
3896.054290	7.63
3952.528408	7.41
4009.821129	7.08
4067.944321	7.97
4126.910020	7.82
4186.730440	8.31
4247.417969	7.20
4308.985176	7.06
4371.444813	7.70
4434.809815	7.60
4499.093306	7.23
4564.308599	6.73
4630.469202	6.96
4697.588817	6.99
4765.681344	6.63
4834.760887	7.27
4904.841752	6.93
4975.938453	6.49
5048.065717	5.91
5121.238480	6.23
5195.471897	5.34
5270.781343	5.50
5347.182415	6.06
5424.690937	6.70
5503.322961	7.45
5583.094772	6.97
5664.022893	7.03
5746.124083	6.58
5829.415347	5.85
5913.913936	5.29
5999.637349	4.66
6086.603340	4.63
6174.829922	3.59
6264.335367	3.33
6355.138211	3.72
6447.257262	3.26
6540.711597	4.04
6635.520573	2.89
6731.703824	5.61
6829.281272	3.81
6928.273125	3.66
7028.699885	4.45
7130.582353	3.27
7233.941627	3.11
7338.799116	3.00
7445.176537	3.11
7553.095920	4.23
7662.579617	3.63
7773.650302	4.75
7886.330981	3.19
8000.644989	4.41
8116.616003	3.74
8234.268041	4.47
8353.625470	3.30
8474.713009	3.78
8597.555737	2.90
8722.179097	2.32
8848.608897	2.67
8976.871324	1.92
9106.992942	2.56
9239.000700	2.68
9372.921937	1.89
9508.784391	2.41
9646.616199	2.51
9786.445908	2.53
9928.302478	2.96
10072.215288	2.30
10218.214144	2.17
10366.329284	2.02
10516.591384	1.84
10669.031565	1.60
10823.681397	1.56
10980.572911	1.52
11139.738600	1.57
11301.211429	1.54
11465.024840	1.28
11631.212760	0.90
11799.809609	0.86
11970.850305	0.63
12144.370271	0.77
12320.405445	0.71
12498.992285	0.86
12680.167779	0.69
12863.969449	0.61
13050.435363	0.61
13239.604139	0.47
13431.514956	0.45
13626.207560	0.33
13823.722274	0.12
14024.100004	0.31
14227.382252	0.38
14433.611118	0.27
14642.829314	0.06
14855.080172	0.09
15070.407650	-0.21
15288.856344	-0.43
15510.471498	-0.66
15735.299010	-0.61
15963.385443	-0.98
16194.778036	-0.90
16429.524714	-1.13
16667.674093	-1.14
16909.275497	-1.26
17154.378963	-1.27
17403.035256	-1.50
17655.295873	-1.63
17911.213060	-1.74
18170.839820	-1.57
18434.229924	-1.16
18701.437922	0.42
18972.519156	1.08
19247.529769	-2.18
19526.526718	-2.33
19809.567786	-2.40
20096.711592	-2.30
20388.017608	-1.95
20683.546166	-2.24
20983.358471	-2.19
21287.516618	-1.21
21596.083601	-1.19
21909.123326	-0.23
22226.700627	-1.57
