	sin filtrar (2,83 ish)		
Frequency (Hz)	Level (dB)
1642.952471	53.21
1666.767409	54.34
1690.927550	53.17
1715.437896	53.36
1740.303526	53.59
1765.529587	54.20
1791.121306	54.84
1817.083982	52.69
1843.422992	52.02
1870.143792	52.59
1897.251916	51.89
1924.752977	51.60
1952.652672	52.31
1980.956779	50.95
2009.671159	51.14
2038.801761	51.24
2068.354617	51.54
2098.335847	49.11
2128.751662	49.32
2159.608360	51.82
2190.912333	48.70
2222.670063	49.29
2254.888128	48.96
2287.573200	47.02
2320.732050	49.22
2354.371544	49.46
2388.498649	49.13
2423.120434	47.89
2458.244069	46.78
2493.876828	49.49
2530.026092	49.28
2566.699346	47.66
2603.904187	47.97
2641.648320	49.41
2679.939562	48.68
2718.785844	48.38
2758.195211	49.39
2798.175824	47.25
2838.735965	47.84
2879.884033	49.45
2921.628551	47.73
2963.978165	47.86
3006.941645	47.87
3050.527890	47.54
3094.745927	49.66
3139.604913	48.60
3185.114139	48.62
3231.283032	49.32
3278.121151	48.83
3325.638200	49.38
3373.844017	49.54
3422.748588	49.30
3472.362041	50.27
3522.694651	49.01
3573.756843	50.18
3625.559192	49.95
3678.112427	51.26
3731.427432	50.72
3785.515249	49.25
3840.387080	50.45
3896.054290	49.82
3952.528408	50.20
4009.821129	48.99
4067.944321	49.64
4126.910020	49.05
4186.730440	49.52
4247.417969	49.78
4308.985176	50.15
4371.444813	50.17
4434.809815	51.39
4499.093306	50.94
4564.308599	51.01
4630.469202	50.43
4697.588817	51.33
4765.681344	50.97
4834.760887	50.32
4904.841752	51.11
4975.938453	50.41
5048.065717	49.93
5121.238480	49.49
5195.471897	49.61
5270.781343	50.26
5347.182415	50.71
5424.690937	51.61
5503.322961	52.14
5583.094772	52.17
5664.022893	51.21
5746.124083	50.87
5829.415347	50.25
5913.913936	49.18
5999.637349	48.74
6086.603340	46.45
6174.829922	45.48
6264.335367	44.85
6355.138211	43.89
6447.257262	43.32
6540.711597	43.28
6635.520573	43.94
6731.703824	44.61
6829.281272	45.20
6928.273125	44.89
7028.699885	44.15
7130.582353	43.53
7233.941627	43.04
7338.799116	41.75
7445.176537	40.92
7553.095920	41.84
7662.579617	42.52
7773.650302	43.68
7886.330981	45.16
8000.644989	46.09
8116.616003	46.20
8234.268041	45.63
8353.625470	44.69
8474.713009	43.25
8597.555737	41.78
8722.179097	40.24
8848.608897	39.85
8976.871324	40.19
9106.992942	40.84
9239.000700	41.65
9372.921937	41.93
9508.784391	42.78
9646.616199	43.28
9786.445908	44.04
9928.302478	43.95
10072.215288	41.81
10218.214144	41.39
10366.329284	40.75
10516.591384	40.63
10669.031565	40.48
10823.681397	40.57
10980.572911	40.42
11139.738600	40.42
11301.211429	40.32
11465.024840	39.14
11631.212760	37.37
11799.809609	35.91
11970.850305	35.12
12144.370271	35.78
12320.405445	36.29
12498.992285	36.48
12680.167779	35.89
12863.969449	34.39
13050.435363	32.81
13239.604139	32.06
13431.514956	31.34
13626.207560	30.58
13823.722274	28.27
14024.100004	24.76
14227.382252	21.33
14433.611118	17.63
14642.829314	18.26
14855.080172	17.88
15070.407650	20.04
15288.856344	18.64
15510.471498	16.46
15735.299010	16.38
15963.385443	19.26
16194.778036	18.07
16429.524714	14.95
16667.674093	13.72
16909.275497	14.63
17154.378963	14.83
17403.035256	13.74
17655.295873	13.31
17911.213060	14.61
18170.839820	15.82
18434.229924	15.58
18701.437922	13.95
18972.519156	14.94
19247.529769	14.32
19526.526718	12.91
19809.567786	10.26
20096.711592	3.61
20388.017608	0.15
20683.546166	0.16
20983.358471	0.04
21287.516618	0.50
21596.083601	1.12
21909.123326	1.06
22226.700627	0.75
