	15° s filtrar		
Frequency (Hz)	Level (dB)

11.139739	41.38
11.301211	41.39
11.465025	41.40
11.631213	41.42
11.799810	41.44
11.970850	41.47
12.144370	41.50
12.320405	41.53
12.498992	41.57
12.680168	41.61
12.863969	41.65
13.050435	41.69
13.239604	41.73
13.431515	41.78
13.626208	41.82
13.823722	41.85
14.024100	41.89
14.227382	41.92
14.433611	41.94
14.642829	41.96
14.855080	41.97
15.070408	41.96
15.288856	41.96
15.510471	41.93
15.735299	41.90
15.963385	41.86
16.194778	41.81
16.429525	41.74
16.667674	41.66
16.909275	41.57
17.154379	41.48
17.403035	41.36
17.655296	41.24
17.911213	41.12
18.170840	40.97
18.434230	40.82
18.701438	40.67
18.972519	40.50
19.247530	40.32
19.526527	40.14
19.809568	39.96
20.096712	39.78
20.388018	39.61
20.683546	39.44
20.983358	39.29
21.287517	39.16
21.596084	39.04
21.909123	38.94
22.226701	38.86
22.548881	38.80
22.875732	38.74
23.207320	38.70
23.543715	38.67
23.884986	38.64
24.231204	38.60
24.582441	38.57
24.938768	38.53
25.300261	38.47
25.666993	38.40
26.039042	38.30
26.416483	38.15
26.799396	37.98
27.187858	37.74
27.581952	37.47
27.981758	37.13
28.387360	36.74
28.798840	36.31
29.216286	35.82
29.639782	35.29
30.069416	34.74
30.505279	34.14
30.947459	33.53
31.396049	32.90
31.851141	32.28
32.312830	31.70
32.781212	31.20
33.256382	30.84
33.738440	30.63
34.227486	30.58
34.723620	30.67
35.226947	30.87
35.737568	31.14
36.255592	31.45
36.781124	31.77
37.314274	32.07
37.855152	32.34
38.403871	32.56
38.960543	32.71
39.525284	32.81
40.098211	32.83
40.679443	32.79
41.269100	32.67
41.867304	32.49
42.474180	32.29
43.089852	32.13
43.714448	32.13
44.348098	32.35
44.990933	32.76
45.643086	33.27
46.304692	33.77
46.975888	34.17
47.656813	34.45
48.347609	34.58
49.048418	34.56
49.759385	34.35
50.480657	33.95
51.212385	33.37
51.954719	32.66
52.707813	32.01
53.471824	32.04
54.246909	33.63
55.033230	36.37
55.830948	39.27
56.640229	41.92
57.461241	44.34
58.294153	46.51
59.139139	48.46
59.996373	50.11
60.866033	51.45
61.748299	52.50
62.643354	53.33
63.551382	54.02
64.472573	54.62
65.407116	55.18
66.355206	55.74
67.317038	56.31
68.292813	56.88
69.282731	57.33
70.286999	57.53
71.305824	57.36
72.339416	56.87
73.387991	56.24
74.451765	55.67
75.530959	55.27
76.625796	55.05
77.736503	55.03
78.863310	55.15
80.006450	55.35
81.166160	55.59
82.342680	55.84
83.536255	56.09
84.747130	56.36
85.975557	56.66
87.221791	57.03
88.486089	57.48
89.768713	57.95
91.069929	58.30
92.390007	58.50
93.729219	58.73
95.087844	59.13
96.466162	59.69
97.864459	60.27
99.283025	60.76
100.722153	61.08
102.182141	61.24
103.663293	61.31
105.165914	61.42
106.690316	61.72
108.236814	62.32
109.805729	63.11
111.397386	63.79
113.012114	64.11
114.650248	64.06
116.312128	63.69
117.998096	63.23
119.708503	62.90
121.443703	62.83
123.204054	63.03
124.989923	63.38
126.801678	63.60
128.639694	63.50
130.504354	62.99
132.396041	62.47
134.315150	62.35
136.262076	62.26
138.237223	62.11
140.241000	61.97
142.273823	61.74
144.336111	61.44
146.428293	61.26
148.550802	61.37
150.704076	61.56
152.888563	61.31
155.104715	60.25
157.352990	58.65
159.633854	57.23
161.947780	56.68
164.295247	56.80
166.676741	57.24
169.092755	57.84
171.543790	58.37
174.030353	58.72
176.552959	59.18
179.112131	59.80
181.708398	59.91
184.342299	59.02
187.014379	57.10
189.725192	54.16
192.475298	52.76
195.265267	54.12
198.095678	55.38
200.967116	56.20
203.880176	56.82
206.835462	57.39
209.833585	57.59
212.875166	57.28
215.960836	56.25
219.091233	55.05
222.267006	55.06
225.488813	55.97
228.757320	56.85
232.073205	56.86
235.437154	56.19
238.849865	54.88
242.312043	53.63
245.824407	52.48
249.387683	52.19
253.002609	52.83
256.669935	53.17
260.390419	52.98
264.164832	52.57
267.993956	52.80
271.878584	52.56
275.819521	51.28
279.817582	49.45
283.873596	47.52
287.988403	48.03
292.162855	49.07
296.397817	51.46
300.694165	53.69
305.052789	54.70
309.474593	54.73
313.960491	54.58
318.511414	55.57
323.128303	55.56
327.812115	55.03
332.563820	55.51
