	sin filtrar		
Frequency (Hz)	Level (dB)
1666.767409	58.39
1690.927550	58.94
1715.437896	58.44
1740.303526	58.31
1765.529587	58.77
1791.121306	58.35
1817.083982	56.81
1843.422992	57.09
1870.143792	57.42
1897.251916	56.95
1924.752977	56.88
1952.652672	57.75
1980.956779	57.02
2009.671159	55.62
2038.801761	55.45
2068.354617	56.29
2098.335847	55.42
2128.751662	53.22
2159.608360	55.30
2190.912333	54.71
2222.670063	53.95
2254.888128	53.79
2287.573200	52.66
2320.732050	55.00
2354.371544	54.37
2388.498649	52.44
2423.120434	53.74
2458.244069	51.25
2493.876828	53.03
2530.026092	54.37
2566.699346	53.37
2603.904187	52.94
2641.648320	53.88
2679.939562	53.04
2718.785844	52.92
2758.195211	53.05
2798.175824	52.92
2838.735965	51.79
2879.884033	53.68
2921.628551	54.07
2963.978165	51.89
3006.941645	52.35
3050.527890	52.40
3094.745927	54.21
3139.604913	53.80
3185.114139	53.22
3231.283032	53.51
3278.121151	53.22
3325.638200	53.67
3373.844017	54.88
3422.748588	53.48
3472.362041	54.90
3522.694651	54.08
3573.756843	55.29
3625.559192	55.18
3678.112427	55.11
3731.427432	54.62
3785.515249	53.93
3840.387080	55.13
3896.054290	54.14
3952.528408	54.62
4009.821129	53.39
4067.944321	54.08
4126.910020	54.30
4186.730440	54.55
4247.417969	54.74
4308.985176	54.78
4371.444813	56.01
4434.809815	55.87
4499.093306	56.47
4564.308599	55.79
4630.469202	55.95
4697.588817	56.77
4765.681344	55.64
4834.760887	55.97
4904.841752	55.85
4975.938453	55.16
5048.065717	54.00
5121.238480	54.73
5195.471897	54.34
5270.781343	54.75
5347.182415	55.82
5424.690937	56.71
5503.322961	57.04
5583.094772	57.11
5664.022893	57.22
5746.124083	56.33
5829.415347	55.73
5913.913936	54.85
5999.637349	53.46
6086.603340	51.82
6174.829922	50.40
6264.335367	49.71
6355.138211	47.75
6447.257262	46.17
6540.711597	47.55
6635.520573	48.50
6731.703824	49.34
6829.281272	49.90
6928.273125	49.70
7028.699885	48.93
7130.582353	48.83
7233.941627	48.11
7338.799116	46.20
7445.176537	45.93
7553.095920	46.24
7662.579617	46.32
7773.650302	47.93
7886.330981	48.93
8000.644989	50.14
8116.616003	51.47
8234.268041	51.61
8353.625470	50.69
8474.713009	48.92
8597.555737	47.29
8722.179097	45.59
8848.608897	45.25
8976.871324	45.10
9106.992942	45.66
9239.000700	46.44
9372.921937	47.16
9508.784391	47.26
9646.616199	47.67
9786.445908	48.14
9928.302478	48.58
10072.215288	46.43
10218.214144	46.45
10366.329284	45.76
10516.591384	45.27
10669.031565	45.45
10823.681397	45.37
10980.572911	45.47
11139.738600	45.53
11301.211429	45.16
11465.024840	44.24
11631.212760	42.42
11799.809609	41.35
11970.850305	40.38
12144.370271	40.50
12320.405445	41.39
12498.992285	42.00
12680.167779	41.22
12863.969449	40.31
13050.435363	38.15
13239.604139	37.17
13431.514956	36.39
13626.207560	35.02
13823.722274	32.62
14024.100004	28.25
14227.382252	23.04
14433.611118	16.53
14642.829314	17.68
14855.080172	20.04
15070.407650	19.53
15288.856344	19.46
15510.471498	21.95
15735.299010	23.00
15963.385443	24.41
16194.778036	22.22
16429.524714	18.19
16667.674093	18.17
16909.275497	19.32
17154.378963	18.55
17403.035256	15.71
17655.295873	15.29
17911.213060	17.69
18170.839820	18.90
18434.229924	18.72
18701.437922	18.02
18972.519156	19.60
19247.529769	19.41
19526.526718	17.64
19809.567786	16.00
20096.711592	8.16
20388.017608	-0.27
20683.546166	-0.26
20983.358471	-0.32
21287.516618	1.07
21596.083601	1.53
21909.123326	2.16
22226.700627	2.55
