	30° s filtrar		
Frequency (Hz)	Level (dB)
1666.767409	48.75
1690.927550	49.04
1715.437896	48.68
1740.303526	49.47
1765.529587	51.67
1791.121306	52.96
1817.083982	49.69
1843.422992	50.52
1870.143792	50.45
1897.251916	49.11
1924.752977	47.63
1952.652672	49.80
1980.956779	48.91
2009.671159	49.11
2038.801761	48.59
2068.354617	49.72
2098.335847	47.47
2128.751662	47.42
2159.608360	47.95
2190.912333	48.31
2222.670063	47.20
2254.888128	45.12
2287.573200	44.66
2320.732050	47.67
2354.371544	45.38
2388.498649	46.85
2423.120434	45.85
2458.244069	45.11
2493.876828	46.78
2530.026092	46.44
2566.699346	45.04
2603.904187	44.75
2641.648320	44.87
2679.939562	43.67
2718.785844	44.89
2758.195211	44.11
2798.175824	44.28
2838.735965	41.99
2879.884033	45.70
2921.628551	44.39
2963.978165	43.74
3006.941645	44.21
3050.527890	43.12
3094.745927	44.33
3139.604913	44.33
3185.114139	43.37
3231.283032	43.27
3278.121151	41.46
3325.638200	43.13
3373.844017	40.74
3422.748588	41.63
3472.362041	41.94
3522.694651	40.87
3573.756843	41.95
3625.559192	39.73
3678.112427	40.92
3731.427432	41.31
3785.515249	40.52
3840.387080	39.71
3896.054290	38.29
3952.528408	39.12
4009.821129	38.78
4067.944321	39.05
4126.910020	37.93
4186.730440	38.97
4247.417969	38.37
4308.985176	37.40
4371.444813	37.49
4434.809815	36.44
4499.093306	35.84
4564.308599	35.32
4630.469202	37.33
4697.588817	35.91
4765.681344	35.76
4834.760887	34.94
4904.841752	34.73
4975.938453	34.57
5048.065717	33.25
5121.238480	32.62
5195.471897	32.82
5270.781343	32.30
5347.182415	32.67
5424.690937	32.08
5503.322961	30.67
5583.094772	29.69
5664.022893	28.34
5746.124083	27.38
5829.415347	27.82
5913.913936	29.94
5999.637349	30.51
6086.603340	31.80
6174.829922	28.97
6264.335367	28.51
6355.138211	22.63
6447.257262	28.88
6540.711597	29.63
6635.520573	31.88
6731.703824	30.96
6829.281272	30.96
6928.273125	30.82
7028.699885	30.66
7130.582353	30.75
7233.941627	29.91
7338.799116	29.27
7445.176537	31.30
7553.095920	31.16
7662.579617	33.19
7773.650302	33.80
7886.330981	32.98
8000.644989	33.98
8116.616003	33.69
8234.268041	32.65
8353.625470	29.94
8474.713009	27.26
8597.555737	23.05
8722.179097	21.78
8848.608897	22.66
8976.871324	23.74
9106.992942	23.66
9239.000700	24.63
9372.921937	26.17
9508.784391	27.75
9646.616199	27.29
9786.445908	28.60
9928.302478	29.39
10072.215288	29.51
10218.214144	27.81
10366.329284	24.73
10516.591384	23.86
10669.031565	25.40
10823.681397	25.35
10980.572911	26.96
11139.738600	27.55
11301.211429	27.50
11465.024840	26.30
11631.212760	24.45
11799.809609	24.64
11970.850305	24.67
12144.370271	24.54
12320.405445	24.23
12498.992285	24.38
12680.167779	24.44
12863.969449	23.64
13050.435363	22.86
13239.604139	24.06
13431.514956	24.95
13626.207560	24.52
13823.722274	22.47
14024.100004	18.24
14227.382252	15.40
14433.611118	15.61
14642.829314	14.58
14855.080172	15.76
15070.407650	16.98
15288.856344	15.69
15510.471498	15.87
15735.299010	15.29
15963.385443	14.47
16194.778036	14.20
16429.524714	12.27
16667.674093	12.51
16909.275497	13.26
17154.378963	12.63
17403.035256	11.62
17655.295873	12.40
17911.213060	13.92
18170.839820	15.54
18434.229924	14.24
18701.437922	13.87
18972.519156	15.48
19247.529769	15.95
19526.526718	15.65
19809.567786	14.68
20096.711592	11.08
20388.017608	10.25
20683.546166	8.87
20983.358471	9.27
21287.516618	8.21
21596.083601	8.21
21909.123326	8.72
22226.700627	8.30
