	fs a 10fs		
Frequency (Hz)	Level (dB)
1666.767409	22.15
1690.927550	21.81
1715.437896	21.55
1740.303526	22.26
1765.529587	21.89
1791.121306	21.21
1817.083982	19.91
1843.422992	19.64
1870.143792	19.57
1897.251916	18.94
1924.752977	18.26
1952.652672	19.46
1980.956779	17.81
2009.671159	17.07
2038.801761	16.33
2068.354617	17.77
2098.335847	15.68
2128.751662	14.18
2159.608360	15.99
2190.912333	14.54
2222.670063	14.47
2254.888128	13.20
2287.573200	12.42
2320.732050	14.46
2354.371544	12.62
2388.498649	11.37
2423.120434	12.15
2458.244069	9.97
2493.876828	12.16
2530.026092	13.15
2566.699346	11.94
2603.904187	11.00
2641.648320	11.69
2679.939562	11.99
2718.785844	11.73
2758.195211	12.02
2798.175824	11.12
2838.735965	8.88
2879.884033	9.22
2921.628551	9.83
2963.978165	8.10
3006.941645	8.32
3050.527890	8.85
3094.745927	10.71
3139.604913	12.43
3185.114139	11.10
3231.283032	11.51
3278.121151	11.36
3325.638200	10.27
3373.844017	10.83
3422.748588	11.87
3472.362041	12.26
3522.694651	12.96
3573.756843	11.40
3625.559192	11.53
3678.112427	10.53
3731.427432	8.95
3785.515249	8.38
3840.387080	8.93
3896.054290	9.82
3952.528408	9.03
4009.821129	8.34
4067.944321	7.26
4126.910020	6.90
4186.730440	7.86
4247.417969	8.03
4308.985176	7.30
4371.444813	7.94
4434.809815	7.33
4499.093306	7.25
4564.308599	7.65
4630.469202	7.69
4697.588817	8.95
4765.681344	7.71
4834.760887	7.62
4904.841752	8.50
4975.938453	7.23
5048.065717	6.73
5121.238480	6.31
5195.471897	6.91
5270.781343	7.40
5347.182415	6.59
5424.690937	7.91
5503.322961	7.44
5583.094772	7.99
5664.022893	7.94
5746.124083	8.19
5829.415347	8.96
5913.913936	9.66
5999.637349	9.97
6086.603340	8.67
6174.829922	6.19
6264.335367	7.07
6355.138211	10.59
6447.257262	6.87
6540.711597	4.08
6635.520573	6.26
6731.703824	7.26
6829.281272	4.53
6928.273125	4.74
7028.699885	5.94
7130.582353	6.88
7233.941627	6.15
7338.799116	5.97
7445.176537	4.68
7553.095920	3.12
7662.579617	2.58
7773.650302	3.37
7886.330981	2.94
8000.644989	3.14
8116.616003	3.78
8234.268041	3.60
8353.625470	4.01
8474.713009	3.44
8597.555737	3.68
8722.179097	2.98
8848.608897	1.99
8976.871324	2.12
9106.992942	2.12
9239.000700	3.14
9372.921937	2.29
9508.784391	2.11
9646.616199	2.17
9786.445908	2.59
9928.302478	3.58
10072.215288	2.53
10218.214144	3.09
10366.329284	2.41
10516.591384	2.20
10669.031565	2.73
10823.681397	2.79
10980.572911	2.21
11139.738600	2.13
11301.211429	1.91
11465.024840	2.32
11631.212760	1.06
11799.809609	1.07
11970.850305	1.35
12144.370271	1.42
12320.405445	1.40
12498.992285	1.74
12680.167779	2.58
12863.969449	1.16
13050.435363	0.72
13239.604139	0.76
13431.514956	0.56
13626.207560	0.58
13823.722274	0.77
14024.100004	0.89
14227.382252	0.72
14433.611118	1.34
14642.829314	1.19
14855.080172	0.80
15070.407650	0.44
15288.856344	0.10
15510.471498	-0.38
15735.299010	-0.26
15963.385443	-0.30
16194.778036	-0.45
16429.524714	-0.98
16667.674093	-0.73
16909.275497	-0.67
17154.378963	-0.87
17403.035256	-0.93
17655.295873	-1.12
17911.213060	-1.29
18170.839820	-1.36
18434.229924	-0.87
18701.437922	0.27
18972.519156	1.24
19247.529769	-2.10
19526.526718	-2.16
19809.567786	-2.25
20096.711592	-2.37
20388.017608	-2.00
20683.546166	-1.89
20983.358471	-2.27
21287.516618	-1.13
21596.083601	-1.15
21909.123326	-0.08
22226.700627	-1.34
