	15° s filtrar		
Frequency (Hz)	Level (dB)

12.589254	53.81
15.848932	54.08
19.952623	52.52
25.118864	50.66
31.622777	46.42
39.810717	44.32
50.118723	46.10
63.095734	65.68
79.432823	68.23
100.000000	72.80
125.892541	75.18
158.489319	71.85
199.526231	69.07
251.188643	66.12
316.227766	65.84
398.107171	65.10
501.187234	63.41
630.957344	66.40
794.328235	65.73
1000.000000	60.34
1258.925412	65.98
1584.893192	62.67
1995.262315	62.37
2511.886432	58.58
3162.277660	57.38
3981.071706	56.34
5011.872336	53.95
6309.573445	49.85
7943.282347	45.85
10000.000000	38.37
12589.254118	33.36
15848.931925	29.11
19952.623150	27.32
