	0° s filtrar		
Frequency (Hz)	Level (dB)

12.589254	48.51
15.848932	50.17
19.952623	49.83
25.118864	46.25
31.622777	41.04
39.810717	35.98
50.118723	44.84
63.095734	65.48
79.432823	67.83
100.000000	72.43
125.892541	75.06
158.489319	71.26
199.526231	69.31
251.188643	66.83
316.227766	65.64
398.107171	65.39
501.187234	63.82
630.957344	67.35
794.328235	66.24
1000.000000	61.23
1258.925412	66.89
1584.893192	63.85
1995.262315	62.53
2511.886432	59.38
3162.277660	59.57
3981.071706	61.01
5011.872336	61.75
6309.573445	58.29
7943.282347	54.69
10000.000000	52.78
12589.254118	46.61
15848.931925	29.95
19952.623150	26.21
