Frequency(Hz), Magnitude(ohm), Phase(deg)
520.570, 14.536, 39.129
528.131, 14.588, 39.432
535.803, 14.567, 39.858
543.586, 14.847, 39.163
551.482, 15.004, 40.147
559.492, 15.023, 40.909
567.619, 15.141, 40.099
575.864, 15.231, 40.518
584.229, 15.320, 40.286
592.716, 15.460, 41.193
601.325, 15.770, 41.375
610.060, 15.771, 41.208
618.921, 15.907, 41.322
627.912, 15.936, 41.833
637.032, 16.044, 41.655
646.286, 16.320, 41.754
655.673, 16.325, 42.434
665.198, 16.529, 42.049
674.860, 16.532, 42.379
684.663, 16.758, 42.814
694.608, 16.902, 43.195
704.698, 16.990, 44.011
714.934, 17.275, 44.313
725.319, 17.355, 44.308
735.855, 17.475, 44.356
746.543, 17.485, 44.005
757.387, 17.717, 44.940
768.389, 17.786, 44.241
779.550, 18.073, 45.077
790.874, 18.190, 45.467
802.362, 18.434, 44.748
814.017, 18.528, 44.878
825.841, 18.466, 45.395
837.837, 18.768, 45.302
850.007, 18.891, 46.051
862.354, 19.152, 45.903
874.880, 19.483, 45.700
887.588, 19.495, 45.820
900.481, 19.617, 46.496
913.561, 19.791, 46.824
926.831, 19.925, 47.133
940.294, 20.196, 47.239
953.953, 20.201, 47.576
967.810, 20.648, 46.996
981.868, 20.619, 47.646
996.130, 21.115, 47.653
1010.599, 21.149, 47.312
1025.279, 21.199, 48.259
1040.172, 21.363, 48.092
1055.281, 21.756, 48.370
1070.610, 21.834, 48.341
1086.161, 22.226, 48.737
1101.938, 22.221, 48.330
1117.945, 22.423, 48.772
1134.184, 22.665, 48.787
1150.659, 22.889, 48.935
1167.373, 23.057, 49.143
1184.330, 23.321, 49.109
1201.533, 23.512, 49.093
1218.986, 23.580, 49.154
1236.693, 23.801, 49.427
1254.656, 24.071, 49.528
1272.881, 24.326, 49.709
1291.370, 24.589, 49.916
1310.129, 24.684, 50.117
1329.159, 25.006, 50.090
1348.466, 25.291, 50.224
1368.053, 25.549, 50.165
1387.925, 25.587, 50.365
1408.086, 25.889, 50.464
1428.539, 26.274, 50.399
1449.290, 26.456, 50.648
1470.342, 26.654, 50.833
1491.700, 26.886, 50.685
1513.367, 27.231, 51.002
1535.350, 27.361, 51.119
1557.652, 27.660, 51.035
1580.278, 27.884, 51.058
1603.233, 28.196, 51.374
1626.521, 28.333, 51.440
1650.147, 28.845, 51.480
1674.117, 28.969, 51.679
1698.434, 29.214, 51.841
1723.105, 29.515, 51.690
1748.135, 29.735, 51.804
1773.527, 30.090, 51.835
1799.289, 30.267, 51.829
1825.425, 30.451, 51.973
1851.941, 30.899, 52.096
1878.841, 31.144, 52.040
1906.133, 31.491, 52.246
1933.821, 31.776, 52.121
1961.911, 32.019, 52.371
1990.409, 32.294, 52.402
2019.321, 32.619, 52.630
2048.653, 32.937, 52.455
2078.411, 33.244, 52.636
2108.602, 33.548, 52.606
2139.230, 33.837, 52.693
2170.304, 34.235, 52.587
2201.829, 34.508, 52.831
2233.813, 34.827, 52.854
2266.260, 35.150, 52.854
2299.179, 35.582, 53.108
2332.576, 35.813, 52.939
2366.458, 36.107, 53.072
2400.833, 36.521, 53.192
