	RODE 75g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-23.29	13.00	0.99
11.718750	-23.52	66.55	0.94
12.695313	-17.74	83.78	1.00
13.671875	-17.07	77.01	1.00
14.648438	-16.77	68.66	0.97
15.625000	-21.45	88.80	0.60
16.601563	-22.19	150.46	1.00
17.578125	-21.17	151.02	1.00
18.554688	-18.95	126.76	0.96
19.531250	-23.46	75.76	0.88
20.507813	-28.06	35.18	0.98
21.484375	-17.57	72.17	0.96
22.460938	-14.66	49.18	0.99
23.437500	-17.83	9.91	0.97
24.414063	-24.83	-57.81	0.92
25.390625	-26.78	-97.64	0.98
26.367188	-18.10	135.85	0.30
27.343750	-26.15	29.88	0.90
28.320313	-19.15	42.87	0.87
29.296875	-25.85	-10.75	0.96
30.273438	-19.43	108.86	0.95
31.250000	-12.77	101.23	0.99
32.226563	-12.96	33.47	1.00
33.203125	-12.72	23.43	1.00
34.179688	-17.99	7.10	0.99
35.156250	-17.09	6.38	0.99
36.132813	-16.61	44.01	0.99
37.109375	-19.11	27.61	0.93
38.085938	-15.28	67.64	1.00
39.062500	-18.68	56.43	0.94
40.039063	-11.83	29.34	1.00
41.015625	-12.40	28.52	0.99
41.992188	-12.46	45.65	1.00
42.968750	-13.11	29.30	1.00
43.945313	-12.81	29.25	1.00
44.921875	-13.50	38.28	1.00
45.898438	-12.95	34.53	1.00
46.875000	-12.80	31.09	1.00
47.851563	-12.58	33.49	1.00
48.828125	-11.56	29.28	1.00
49.804688	-11.90	34.63	1.00
50.781250	-11.56	40.99	1.00
51.757813	-11.12	42.80	1.00
52.734375	-11.09	37.32	1.00
53.710938	-11.05	35.73	1.00
54.687500	-10.49	32.24	1.00
55.664063	-10.76	34.40	1.00
56.640625	-11.37	44.35	1.00
57.617188	-9.80	54.57	0.99
58.593750	-9.13	55.88	1.00
59.570313	-7.03	51.39	0.95
60.546875	-5.30	33.32	1.00
61.523438	-5.20	22.77	1.00
62.500000	-6.29	22.68	1.00
63.476563	-6.23	15.99	1.00
64.453125	-6.00	9.47	1.00
65.429688	-8.09	10.27	1.00
66.406250	-8.80	5.76	1.00
67.382813	-8.33	5.51	1.00
68.359375	-10.48	6.53	1.00
69.335938	-10.86	5.83	1.00
70.312500	-11.16	7.16	1.00
71.289063	-10.64	9.70	1.00
72.265625	-11.49	15.71	1.00
73.242188	-10.40	17.21	1.00
74.218750	-10.87	16.25	1.00
75.195313	-10.35	33.33	1.00
76.171875	-9.47	29.15	1.00
77.148438	-9.42	25.66	1.00
78.125000	-7.82	21.24	0.99
79.101563	-7.57	17.07	1.00
80.078125	-7.84	15.12	1.00
81.054688	-7.69	14.78	1.00
82.031250	-7.85	12.93	1.00
83.007813	-7.81	12.49	1.00
83.984375	-7.65	11.74	1.00
84.960938	-7.40	10.58	1.00
85.937500	-7.52	11.01	1.00
86.914063	-7.62	9.00	1.00
87.890625	-6.86	5.03	1.00
88.867188	-6.83	3.90	1.00
89.843750	-6.51	0.93	1.00
90.820313	-6.89	-2.47	1.00
91.796875	-6.89	-3.23	1.00
92.773438	-6.81	-5.42	1.00
93.750000	-7.00	-7.71	1.00
94.726563	-6.89	-7.42	1.00
95.703125	-7.46	-13.75	1.00
96.679688	-7.54	-13.33	1.00
97.656250	-7.86	-14.54	1.00
98.632813	-8.21	-15.54	1.00
99.609375	-8.54	-17.39	1.00
100.585938	-8.66	-17.55	1.00
101.562500	-8.61	-17.03	1.00
102.539063	-8.96	-18.15	1.00
103.515625	-9.22	-17.61	1.00
104.492188	-9.39	-18.20	1.00
105.468750	-9.62	-16.22	1.00
106.445313	-9.81	-15.32	1.00
107.421875	-9.83	-15.44	1.00
108.398438	-9.83	-15.25	1.00
109.375000	-9.80	-15.07	1.00
110.351563	-9.69	-15.14	1.00
111.328125	-9.69	-15.29	1.00
112.304688	-9.63	-15.84	1.00
113.281250	-9.53	-16.81	1.00
114.257813	-9.62	-17.93	1.00
115.234375	-9.79	-19.03	1.00
116.210938	-9.71	-20.38	1.00
117.187500	-9.74	-21.50	1.00
118.164063	-9.89	-21.79	1.00
119.140625	-10.11	-24.72	1.00
120.117188	-10.23	-25.54	1.00
121.093750	-10.20	-27.85	1.00
122.070313	-10.47	-28.40	1.00
123.046875	-11.03	-28.48	1.00
124.023438	-11.27	-28.33	1.00
125.000000	-11.54	-28.47	1.00
125.976563	-11.69	-28.27	1.00
126.953125	-11.70	-28.56	1.00
127.929688	-12.16	-28.58	1.00
128.906250	-12.33	-28.49	1.00
129.882813	-12.48	-27.97	1.00
130.859375	-12.98	-28.01	1.00
131.835938	-13.07	-27.37	1.00
132.812500	-13.18	-26.56	1.00
133.789063	-13.44	-25.62	1.00
134.765625	-13.55	-24.52	1.00
135.742188	-13.53	-23.18	1.00
136.718750	-13.81	-19.78	1.00
137.695313	-13.76	-18.29	1.00
138.671875	-13.76	-17.76	1.00
140.625000	-13.30	-15.71	1.00
142.578125	-13.18	-18.05	1.00
144.531250	-13.03	-20.32	1.00
146.484375	-13.45	-18.84	1.00
148.437500	-13.43	-19.31	1.00
150.390625	-13.35	-19.25	1.00
152.343750	-13.21	-15.96	1.00
154.296875	-13.32	-19.58	1.00
156.250000	-13.02	-23.74	1.00
158.203125	-13.34	-29.90	1.00
160.156250	-13.08	-30.14	1.00
162.109375	-13.34	-35.24	1.00
164.062500	-13.58	-38.25	0.99
166.015625	-14.36	-52.03	1.00
167.968750	-14.72	-56.93	0.99
169.921875	-16.62	-44.33	0.96
171.875000	-23.39	-89.02	0.99
173.828125	-23.67	-97.38	0.96
175.781250	-24.27	133.43	0.72
177.734375	-22.79	96.49	0.98
179.687500	-21.94	78.60	0.98
181.640625	-16.46	81.50	0.98
183.593750	-13.42	63.25	0.99
185.546875	-13.51	58.27	1.00
187.500000	-12.28	42.47	0.98
189.453125	-12.44	36.23	1.00
191.406250	-12.17	35.26	1.00
193.359375	-11.92	33.83	1.00
195.312500	-11.85	24.18	1.00
197.265625	-11.76	20.84	1.00
199.218750	-12.05	21.19	1.00
201.171875	-11.98	17.50	1.00
203.125000	-12.02	17.14	1.00
205.078125	-12.89	6.79	1.00
207.031250	-13.78	3.70	1.00
208.984375	-15.18	9.16	0.99
210.937500	-14.83	22.83	1.00
212.890625	-14.98	27.77	0.99
214.843750	-13.49	35.78	0.99
216.796875	-13.00	26.75	1.00
218.750000	-11.74	27.69	1.00
220.703125	-11.64	24.71	1.00
222.656250	-11.70	26.16	1.00
224.609375	-11.62	26.24	1.00
226.562500	-11.57	26.63	1.00
228.515625	-11.35	27.52	1.00
230.468750	-10.44	25.54	1.00
232.421875	-9.96	23.35	1.00
234.375000	-9.24	19.95	1.00
236.328125	-8.10	11.65	1.00
238.281250	-8.40	11.89	1.00
240.234375	-9.44	2.02	1.00
242.187500	-9.98	0.43	1.00
244.140625	-11.53	1.89	0.99
246.093750	-12.13	1.09	1.00
248.046875	-12.71	8.02	1.00
250.000000	-12.71	14.69	1.00
251.953125	-12.66	24.16	1.00
253.906250	-12.37	25.81	1.00
255.859375	-11.50	27.70	0.99
257.812500	-9.88	30.29	1.00
259.765625	-8.93	31.26	1.00
261.718750	-7.73	25.98	1.00
263.671875	-7.64	23.48	1.00
265.625000	-7.53	19.78	1.00
267.578125	-6.99	14.61	1.00
269.531250	-6.77	11.37	1.00
271.484375	-6.73	9.15	1.00
273.437500	-6.78	7.78	1.00
275.390625	-6.49	6.60	1.00
277.343750	-6.28	5.67	1.00
281.250000	-4.34	0.50	0.99
285.156250	-3.59	-23.12	1.00
289.062500	-4.84	-34.04	0.99
292.968750	-5.08	-47.11	0.97
296.875000	-10.25	-71.75	0.98
300.781250	-13.82	-39.77	0.95
304.687500	-11.87	-34.36	0.99
308.593750	-9.18	-35.05	0.98
312.500000	-12.20	-61.82	0.99
316.406250	-14.06	-66.95	0.98
320.312500	-17.83	-63.64	1.00
324.218750	-19.65	-56.67	1.00
328.125000	-21.58	-53.27	1.00
332.031250	-23.24	-45.00	0.99
335.937500	-22.33	-38.56	1.00
339.843750	-21.44	-47.48	0.92
343.750000	-22.68	-138.62	0.81
347.656250	-18.42	-162.22	0.91
351.562500	-14.07	130.95	0.85
355.468750	-10.17	62.27	0.98
359.375000	-9.59	61.61	1.00
363.281250	-9.44	56.59	1.00
367.187500	-8.97	48.91	0.99
371.093750	-8.31	36.89	1.00
375.000000	-8.31	32.49	1.00
378.906250	-7.66	31.61	1.00
382.812500	-7.62	30.15	1.00
386.718750	-5.55	17.64	0.99
390.625000	-4.54	15.23	1.00
394.531250	-4.66	2.05	1.00
398.437500	-4.81	-9.32	1.00
402.343750	-4.07	-20.36	0.99
406.250000	-4.11	-38.63	0.96
410.156250	-8.76	-60.21	0.91
414.062500	-9.26	-47.47	0.96
417.968750	-10.45	-92.79	0.89
421.875000	-9.35	-104.36	0.96
425.781250	-13.89	-156.53	0.40
429.687500	-21.42	146.82	0.88
433.593750	-21.36	76.96	0.88
437.500000	-19.12	71.72	1.00
441.406250	-16.96	55.17	0.99
445.312500	-15.15	68.47	1.00
449.218750	-13.45	53.86	0.99
453.125000	-12.51	45.38	1.00
457.031250	-12.45	42.65	1.00
460.937500	-12.45	35.02	1.00
464.843750	-12.31	37.26	1.00
468.750000	-12.25	43.03	1.00
472.656250	-11.46	43.77	1.00
476.562500	-7.73	39.92	0.93
480.468750	-5.94	29.71	1.00
484.375000	-5.81	21.46	0.99
488.281250	-7.27	6.40	0.99
492.187500	-7.32	3.44	1.00
496.093750	-7.73	-1.01	1.00
500.000000	-8.05	-1.89	1.00
503.906250	-8.17	-1.52	1.00
507.812500	-7.50	-3.43	1.00
511.718750	-7.77	-7.11	1.00
515.625000	-8.24	-14.77	1.00
519.531250	-8.00	-18.26	1.00
523.437500	-7.71	-23.95	1.00
527.343750	-6.21	-33.84	0.99
