	RODE 60g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-25.87	82.28	0.95
11.718750	-27.34	54.39	0.98
12.695313	-26.63	77.83	0.99
13.671875	-27.51	73.35	0.99
14.648438	-20.61	83.42	0.99
15.625000	-19.42	80.07	0.99
16.601563	-16.95	177.21	0.98
17.578125	-14.15	179.45	1.00
18.554688	-14.32	168.66	0.96
19.531250	-23.40	36.73	0.90
20.507813	-24.37	-14.21	0.99
21.484375	-22.92	15.30	0.98
22.460938	-18.54	37.54	1.00
23.437500	-19.53	18.73	0.99
24.414063	-20.57	-18.84	1.00
25.390625	-18.81	-15.73	1.00
26.367188	-20.29	29.59	0.93
27.343750	-25.45	78.01	0.96
28.320313	-12.09	68.46	1.00
29.296875	-15.27	57.60	1.00
30.273438	-16.41	68.96	0.82
31.250000	-11.77	34.90	0.99
32.226563	-17.06	-24.00	0.96
33.203125	-9.93	31.77	0.99
34.179688	-12.44	9.16	0.93
35.156250	-8.87	66.00	0.86
36.132813	-13.26	-91.70	0.39
37.109375	-8.90	88.47	0.98
38.085938	-10.75	86.15	0.99
39.062500	-13.25	-63.32	0.94
40.039063	-8.13	41.67	0.32
41.015625	-3.37	53.44	1.00
41.992188	-3.92	33.57	0.99
42.968750	-4.54	40.91	1.00
43.945313	-5.21	35.64	1.00
44.921875	-5.35	37.26	1.00
45.898438	-6.02	36.21	1.00
46.875000	-4.56	35.15	0.97
47.851563	-3.64	57.44	1.00
48.828125	-3.37	83.55	0.97
49.804688	-4.66	20.28	0.99
50.781250	-5.69	33.69	1.00
51.757813	-4.81	33.29	1.00
52.734375	-4.86	25.63	1.00
53.710938	-4.65	24.72	1.00
54.687500	-5.02	29.25	1.00
55.664063	-5.30	30.08	1.00
56.640625	-5.09	32.40	1.00
57.617188	-4.78	36.74	1.00
58.593750	-5.04	67.72	0.97
59.570313	-7.89	38.07	0.99
60.546875	-1.70	23.43	1.00
61.523438	-2.12	17.68	1.00
62.500000	-2.61	17.18	1.00
63.476563	-2.25	13.40	1.00
64.453125	-2.18	12.03	1.00
65.429688	-2.45	7.83	1.00
66.406250	-3.29	5.65	1.00
67.382813	-2.81	5.87	1.00
68.359375	-4.70	4.46	1.00
69.335938	-4.69	1.74	1.00
70.312500	-6.40	9.92	1.00
71.289063	-5.61	7.41	1.00
72.265625	-5.22	18.66	1.00
73.242188	-4.85	16.33	1.00
74.218750	-4.60	19.07	1.00
75.195313	-4.19	20.71	1.00
76.171875	-3.98	20.27	1.00
77.148438	-3.07	19.90	1.00
78.125000	-2.35	20.07	1.00
79.101563	-2.33	13.76	1.00
80.078125	-2.64	10.43	1.00
81.054688	-3.07	8.75	1.00
82.031250	-3.65	1.27	1.00
83.007813	-2.96	2.98	1.00
83.984375	-2.99	3.21	1.00
84.960938	-3.23	3.58	1.00
85.937500	-3.21	4.00	1.00
86.914063	-2.42	-1.97	1.00
87.890625	-2.73	-0.30	1.00
88.867188	-2.85	-1.42	1.00
89.843750	-2.86	-3.52	1.00
90.820313	-2.65	-5.33	1.00
91.796875	-3.21	-8.34	1.00
92.773438	-3.16	-8.32	1.00
93.750000	-3.17	-8.80	1.00
94.726563	-3.05	-12.97	1.00
95.703125	-3.13	-12.14	1.00
96.679688	-3.67	-12.09	1.00
97.656250	-3.53	-16.43	1.00
98.632813	-4.21	-17.10	1.00
99.609375	-4.14	-19.61	1.00
100.585938	-3.85	-20.99	1.00
101.562500	-5.04	-20.55	1.00
102.539063	-5.20	-19.39	1.00
103.515625	-5.40	-19.87	1.00
104.492188	-5.37	-19.72	1.00
105.468750	-5.54	-18.53	1.00
106.445313	-6.18	-19.29	1.00
107.421875	-6.04	-18.58	1.00
108.398438	-6.01	-18.57	1.00
109.375000	-6.08	-18.53	1.00
110.351563	-5.97	-17.57	1.00
111.328125	-6.04	-17.84	1.00
112.304688	-6.13	-17.94	1.00
113.281250	-6.30	-18.21	1.00
114.257813	-6.25	-18.90	1.00
115.234375	-6.38	-19.20	1.00
116.210938	-6.75	-20.05	1.00
117.187500	-6.75	-19.90	1.00
118.164063	-7.00	-21.23	1.00
119.140625	-6.99	-20.96	1.00
120.117188	-7.09	-21.14	1.00
121.093750	-7.18	-22.02	1.00
122.070313	-7.41	-21.77	1.00
123.046875	-7.53	-20.64	1.00
124.023438	-7.59	-20.70	1.00
125.000000	-7.97	-18.87	1.00
125.976563	-8.02	-19.46	1.00
126.953125	-8.13	-19.60	1.00
127.929688	-8.25	-19.17	1.00
128.906250	-8.39	-18.25	1.00
129.882813	-8.48	-18.68	1.00
130.859375	-8.86	-17.68	1.00
131.835938	-8.98	-17.06	1.00
132.812500	-9.04	-15.83	1.00
133.789063	-9.18	-14.19	1.00
134.765625	-9.43	-11.52	1.00
135.742188	-9.32	-10.97	1.00
136.718750	-9.33	-9.10	1.00
