	RODE 165g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
222.656250	-2.38	154.40	1.00
224.609375	-3.09	157.56	1.00
226.562500	-4.36	162.78	1.00
228.515625	-4.37	163.84	1.00
230.468750	-4.87	166.84	1.00
232.421875	-5.02	168.06	1.00
234.375000	-5.05	167.87	1.00
236.328125	-5.64	167.59	1.00
238.281250	-5.88	168.28	1.00
240.234375	-7.20	172.24	1.00
242.187500	-7.19	177.26	0.98
244.140625	-8.59	-173.70	1.00
246.093750	-9.13	-171.20	0.98
248.046875	-8.50	-156.20	1.00
250.000000	-8.33	-151.68	1.00
251.953125	-6.90	-142.15	0.99
253.906250	-6.19	-140.64	1.00
255.859375	-4.48	-136.41	1.00
257.812500	-3.94	-134.67	1.00
259.765625	-3.28	-133.01	1.00
261.718750	-1.59	-136.19	1.00
263.671875	-1.00	-137.37	1.00
265.625000	-0.02	-145.11	1.00
267.578125	0.09	-147.45	1.00
269.531250	0.40	-149.76	1.00
271.484375	0.52	-152.52	1.00
273.437500	0.73	-153.17	1.00
275.390625	1.43	-153.59	1.00
277.343750	1.50	-154.97	1.00
281.250000	3.06	-162.39	0.99
285.156250	4.61	-170.39	1.00
289.062500	3.80	170.61	0.95
292.968750	0.44	137.04	0.95
296.875000	-1.64	142.86	0.98
300.781250	-2.29	151.83	0.99
304.687500	-2.43	156.01	1.00
308.593750	-2.47	154.90	1.00
312.500000	-2.67	150.47	1.00
316.406250	-4.26	150.97	1.00
320.312500	-4.52	150.14	1.00
324.218750	-6.46	160.11	1.00
328.125000	-6.19	-175.65	0.99
332.031250	-7.05	174.87	1.00
335.937500	-6.98	-173.90	1.00
339.843750	-4.20	-168.83	1.00
343.750000	-4.45	-164.98	1.00
347.656250	-4.40	-164.76	1.00
351.562500	-3.05	-176.52	1.00
355.468750	-3.47	-175.19	1.00
359.375000	-5.45	178.04	1.00
363.281250	-5.24	-170.32	1.00
367.187500	-5.35	-174.25	1.00
371.093750	-4.23	-167.21	1.00
375.000000	-4.52	-167.23	1.00
378.906250	-4.36	-161.18	1.00
382.812500	-4.20	-159.73	1.00
386.718750	-3.38	-158.11	1.00
390.625000	-2.92	-162.04	1.00
394.531250	-2.39	-163.27	1.00
398.437500	-2.37	-163.02	1.00
402.343750	-2.28	-159.83	1.00
406.250000	-1.87	-156.77	1.00
410.156250	-1.35	-153.72	0.99
414.062500	-0.02	179.26	0.98
417.968750	-0.57	-161.97	0.98
421.875000	-1.18	-162.30	1.00
425.781250	-0.81	-178.20	0.99
429.687500	-1.33	179.16	1.00
433.593750	-1.96	-179.54	1.00
437.500000	-2.05	-179.10	1.00
441.406250	-1.78	-179.26	1.00
445.312500	-1.87	-179.37	1.00
449.218750	-2.05	-179.59	1.00
453.125000	-2.22	-178.56	1.00
457.031250	-2.33	-178.88	1.00
460.937500	-2.30	-179.36	1.00
464.843750	-2.37	-178.82	1.00
468.750000	-2.65	-177.86	1.00
472.656250	-2.78	-177.26	1.00
476.562500	-2.38	-173.29	1.00
480.468750	-1.43	-177.38	1.00
484.375000	-1.42	176.47	1.00
488.281250	-1.80	175.53	1.00
492.187500	-2.15	175.36	1.00
496.093750	-2.26	176.06	1.00
500.000000	-2.39	174.53	1.00
503.906250	-3.03	176.24	1.00
507.812500	-3.16	177.87	1.00
511.718750	-3.08	178.74	1.00
515.625000	-3.12	177.74	1.00
519.531250	-3.28	178.37	1.00
523.437500	-3.60	-175.46	1.00
527.343750	-3.38	-174.61	1.00
531.250000	-2.47	-174.90	1.00
535.156250	-2.57	-178.68	1.00
539.062500	-4.33	173.94	0.98
542.968750	-5.27	167.49	0.99
546.875000	-5.71	168.87	1.00
550.781250	-5.70	177.28	0.98
554.687500	-4.70	-160.82	1.00
560.000000	-5.08	-160.61	1.00
568.000000	-3.37	-162.78	1.00
576.000000	-1.78	-151.36	1.00
584.000000	-2.53	-139.75	0.99
592.000000	1.29	-155.92	0.97
600.000000	0.91	-165.88	0.99
608.000000	0.04	178.53	1.00
616.000000	-0.36	172.24	1.00
624.000000	-1.90	167.66	1.00
632.000000	-3.96	158.30	0.99
640.000000	-4.38	179.98	0.99
648.000000	-2.36	-166.80	0.99
656.000000	-2.88	-168.43	0.99
664.000000	-0.58	179.84	1.00
672.000000	-0.92	-165.46	0.98
680.000000	0.21	178.27	0.97
688.000000	-2.59	-179.50	1.00
696.000000	-1.87	-176.97	1.00
704.000000	-2.03	-178.84	1.00
712.000000	-2.32	-178.84	1.00
720.000000	-2.23	-178.53	1.00
728.000000	-3.26	178.81	1.00
736.000000	-3.09	-179.99	1.00
744.000000	-3.42	-178.99	1.00
752.000000	-5.16	176.65	1.00
760.000000	-4.20	-170.79	1.00
768.000000	-2.49	-163.95	0.99
776.000000	-1.54	-168.10	1.00
784.000000	-0.30	-164.99	1.00
792.000000	-0.91	-164.66	1.00
800.000000	0.11	-173.18	1.00
808.000000	0.66	178.99	1.00
816.000000	1.75	170.08	1.00
824.000000	0.04	169.47	0.99
832.000000	-0.63	172.44	0.99
840.000000	-2.94	169.88	1.00
848.000000	-3.28	171.29	1.00
856.000000	-3.74	176.10	1.00
