	RODE 30g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-25.55	-22.01	0.94
11.718750	-18.50	42.83	0.91
12.695313	-15.17	63.56	0.99
13.671875	-15.61	11.04	0.97
14.648438	-13.31	57.42	0.98
15.625000	-15.38	94.66	0.98
16.601563	-2.15	-175.56	0.66
17.578125	-10.11	175.90	1.00
18.554688	-14.86	178.96	0.99
19.531250	-7.15	-143.92	0.91
20.507813	-12.86	-16.81	0.99
21.484375	-15.45	19.72	0.98
22.460938	-10.49	54.04	0.99
23.437500	-10.16	82.55	1.00
24.414063	-10.14	59.82	0.99
25.390625	-12.63	-14.59	0.97
26.367188	-17.43	-92.85	0.87
27.343750	-16.94	93.41	0.98
28.320313	-24.42	157.61	0.69
29.296875	-12.55	-48.58	0.98
30.273438	-9.96	86.40	0.84
31.250000	-1.29	130.50	0.97
32.226563	-1.42	57.74	0.95
33.203125	-5.03	31.34	1.00
34.179688	-5.89	70.14	1.00
35.156250	-7.09	61.83	1.00
36.132813	-9.17	42.84	0.98
37.109375	-7.63	42.45	0.58
38.085938	1.72	92.96	0.99
39.062500	0.19	128.28	0.89
40.039063	3.77	43.57	0.92
41.015625	0.92	31.19	0.96
41.992188	3.16	29.13	1.00
42.968750	2.39	26.35	1.00
43.945313	0.99	35.21	1.00
44.921875	-0.25	37.59	1.00
45.898438	-0.41	25.37	1.00
46.875000	-1.42	27.07	1.00
47.851563	-1.00	35.05	1.00
48.828125	-1.55	39.93	1.00
49.804688	-0.80	30.66	1.00
50.781250	-0.26	28.98	1.00
51.757813	1.87	35.05	1.00
52.734375	1.56	37.32	1.00
53.710938	0.66	33.15	1.00
54.687500	0.95	29.22	1.00
55.664063	0.93	27.64	1.00
56.640625	1.12	25.92	1.00
57.617188	1.17	29.93	1.00
58.593750	1.41	27.82	1.00
59.570313	0.58	26.53	1.00
60.546875	1.38	13.16	1.00
61.523438	3.43	26.92	0.96
62.500000	1.92	10.85	1.00
63.476563	2.01	11.74	1.00
64.453125	1.33	10.29	1.00
65.429688	1.29	8.21	1.00
66.406250	1.27	6.19	1.00
67.382813	0.54	0.70	1.00
68.359375	0.47	4.66	1.00
69.335938	-0.13	7.65	1.00
70.312500	-0.34	7.42	1.00
71.289063	-0.57	8.42	1.00
72.265625	-0.88	11.12	1.00
73.242188	0.12	11.47	1.00
74.218750	0.46	12.00	1.00
75.195313	1.14	14.58	1.00
76.171875	1.70	12.71	1.00
77.148438	2.06	10.99	1.00
78.125000	2.49	4.91	1.00
79.101563	2.11	2.76	1.00
80.078125	1.85	2.76	1.00
81.054688	1.23	3.38	1.00
82.031250	1.15	-3.47	1.00
83.007813	0.94	-2.87	1.00
83.984375	0.72	-5.07	1.00
84.960938	0.91	-7.93	1.00
85.937500	-0.77	-4.86	1.00
86.914063	0.35	-9.13	1.00
87.890625	0.75	-8.27	1.00
88.867188	0.77	-8.01	1.00
89.843750	0.67	-8.98	1.00
90.820313	0.52	-8.17	1.00
91.796875	-0.95	-11.01	1.00
92.773438	0.09	-13.06	1.00
93.750000	0.16	-11.95	1.00
94.726563	0.05	-12.77	1.00
95.703125	0.16	-13.65	1.00
96.679688	0.29	-15.24	1.00
97.656250	0.10	-21.39	1.00
98.632813	-0.63	-22.42	1.00
99.609375	-0.76	-21.76	1.00
100.585938	-0.51	-21.69	1.00
101.562500	-1.38	-18.71	1.00
102.539063	-1.71	-20.23	1.00
103.515625	-1.72	-21.12	1.00
104.492188	-1.92	-21.97	1.00
105.468750	-2.17	-18.61	1.00
106.445313	-2.24	-17.89	1.00
107.421875	-2.31	-17.58	1.00
108.398438	-2.39	-17.52	1.00
109.375000	-2.45	-17.35	1.00
110.351563	-2.58	-17.18	1.00
111.328125	-2.62	-18.37	1.00
112.304688	-2.64	-18.26	1.00
113.281250	-2.56	-18.64	1.00
114.257813	-3.09	-18.46	1.00
115.234375	-3.22	-18.37	1.00
116.210938	-3.33	-18.12	1.00
