	RODE 150g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-23.48	121.67	0.96
11.718750	-17.17	86.96	0.99
12.695313	-18.80	89.31	0.90
13.671875	-17.01	3.68	0.98
14.648438	-15.26	68.88	0.99
15.625000	-14.95	48.61	0.99
16.601563	-21.17	-3.63	0.99
17.578125	-23.46	13.32	1.00
18.554688	-25.28	12.11	0.97
19.531250	-31.42	-152.40	0.99
20.507813	-26.79	116.54	0.94
21.484375	-22.31	45.27	0.98
22.460938	-21.02	-18.47	0.97
23.437500	-20.08	54.42	0.88
24.414063	-14.74	36.41	0.99
25.390625	-7.95	27.74	0.98
26.367188	-11.44	26.60	1.00
27.343750	-12.75	32.87	1.00
28.320313	-14.51	27.28	1.00
29.296875	-24.78	35.91	0.69
30.273438	-5.59	23.41	0.58
31.250000	-5.34	-14.97	1.00
32.226563	-6.40	-48.71	0.98
33.203125	-5.79	-114.89	0.99
34.179688	-10.63	-102.49	0.92
35.156250	-9.20	-56.20	0.99
36.132813	-5.42	-60.03	0.93
37.109375	-3.08	-90.36	1.00
38.085938	-3.96	-83.44	1.00
39.062500	9.00	-44.79	0.97
40.039063	5.02	-101.74	0.93
41.015625	3.60	-134.85	1.00
41.992188	5.58	-137.73	1.00
42.968750	4.29	-131.04	1.00
43.945313	1.39	-134.86	1.00
44.921875	1.64	-140.66	1.00
45.898438	1.39	-140.06	1.00
46.875000	2.93	-135.12	0.98
47.851563	3.39	-135.67	1.00
48.828125	7.71	-157.89	0.96
49.804688	-1.22	-140.14	0.98
50.781250	2.90	-142.96	1.00
51.757813	2.09	-147.25	1.00
52.734375	2.07	-141.68	1.00
53.710938	1.68	-139.97	1.00
54.687500	2.05	-154.94	1.00
55.664063	2.36	-155.93	1.00
56.640625	2.33	-155.98	1.00
57.617188	2.07	-155.67	1.00
58.593750	2.16	-158.51	1.00
59.570313	1.94	-156.94	1.00
60.546875	3.34	-154.66	1.00
61.523438	2.33	-164.28	1.00
62.500000	2.25	-168.28	1.00
63.476563	1.90	-169.33	1.00
64.453125	1.65	-170.12	1.00
65.429688	1.67	-171.66	1.00
66.406250	1.43	-172.28	1.00
67.382813	1.29	-171.54	1.00
68.359375	1.04	-174.61	1.00
69.335938	0.91	-174.96	1.00
70.312500	0.28	-172.19	1.00
71.289063	0.51	-173.54	1.00
72.265625	0.66	-168.31	1.00
73.242188	1.26	-170.33	1.00
74.218750	1.72	-168.68	1.00
75.195313	2.12	-169.30	1.00
76.171875	2.13	-169.24	1.00
77.148438	2.50	-174.67	1.00
78.125000	2.95	-176.03	1.00
79.101563	1.36	-178.38	0.98
80.078125	2.43	169.69	1.00
81.054688	2.68	168.81	1.00
82.031250	1.13	168.26	1.00
83.007813	1.37	165.36	1.00
83.984375	1.40	165.69	1.00
84.960938	0.38	163.41	1.00
85.937500	0.65	163.00	1.00
86.914063	-0.14	161.50	1.00
87.890625	0.08	162.65	1.00
88.867188	-0.02	163.35	1.00
89.843750	-0.14	163.60	1.00
90.820313	-0.14	163.74	1.00
91.796875	-0.37	163.14	1.00
92.773438	-0.39	162.88	1.00
93.750000	-0.34	162.52	1.00
94.726563	-0.64	159.77	1.00
95.703125	-0.46	159.68	1.00
96.679688	-0.57	159.48	1.00
97.656250	-0.39	154.91	1.00
98.632813	-1.18	152.94	1.00
99.609375	-1.50	150.97	1.00
100.585938	-1.47	148.85	1.00
101.562500	-2.46	153.28	1.00
102.539063	-2.55	155.26	1.00
103.515625	-2.82	155.52	1.00
104.492188	-2.86	157.44	1.00
105.468750	-3.25	159.65	1.00
106.445313	-3.07	157.32	1.00
107.421875	-3.27	158.26	1.00
108.398438	-3.37	158.33	1.00
109.375000	-3.67	158.80	1.00
110.351563	-3.77	159.21	1.00
111.328125	-3.97	158.23	1.00
112.304688	-4.04	158.62	1.00
113.281250	-4.44	160.42	1.00
114.257813	-4.59	158.53	1.00
115.234375	-4.78	159.54	1.00
116.210938	-5.36	161.88	1.00
117.187500	-5.31	162.57	1.00
118.164063	-5.67	166.51	1.00
119.140625	-5.60	165.06	1.00
120.117188	-5.80	165.82	1.00
121.093750	-5.85	168.54	1.00
122.070313	-5.68	169.85	1.00
123.046875	-5.42	171.36	1.00
124.023438	-5.46	171.59	1.00
125.000000	-5.69	172.82	1.00
125.976563	-5.62	172.92	1.00
126.953125	-5.65	173.17	1.00
127.929688	-5.65	173.80	1.00
128.906250	-5.59	175.31	1.00
129.882813	-5.72	175.40	1.00
130.859375	-5.68	178.76	1.00
131.835938	-5.61	178.84	1.00
132.812500	-5.61	179.33	1.00
133.789063	-5.59	-179.56	1.00
134.765625	-5.41	-178.92	1.00
135.742188	-5.43	-178.74	1.00
136.718750	-5.39	-177.72	1.00
137.695313	-5.21	-174.87	1.00
138.671875	-5.09	-177.22	1.00
140.625000	-5.47	-178.02	1.00
142.578125	-5.43	179.60	1.00
144.531250	-5.30	-176.90	1.00
146.484375	-5.39	-176.77	1.00
148.437500	-5.60	-170.30	1.00
150.390625	-5.48	-168.65	1.00
152.343750	-4.75	-165.75	1.00
154.296875	-4.98	-164.21	1.00
156.250000	-4.08	-162.93	1.00
158.203125	-4.04	-160.74	1.00
160.156250	-3.60	-162.10	1.00
162.109375	-3.11	-162.35	1.00
164.062500	-3.13	-158.79	1.00
166.015625	-1.63	-166.60	1.00
167.968750	-1.75	-168.18	1.00
169.921875	-1.33	-176.69	1.00
171.875000	-1.00	179.74	1.00
173.828125	-1.16	176.52	1.00
175.781250	-2.83	171.60	0.99
177.734375	-3.26	168.16	1.00
179.687500	-3.30	167.31	1.00
181.640625	-5.20	167.79	1.00
183.593750	-4.57	166.36	1.00
185.546875	-7.13	-176.88	1.00
187.500000	-6.89	-175.65	1.00
189.453125	-6.60	-171.80	1.00
191.406250	-6.96	-163.15	1.00
193.359375	-6.18	-158.05	1.00
195.312500	-4.05	-155.08	1.00
197.265625	-3.32	-155.52	1.00
199.218750	-2.84	-154.28	1.00
201.171875	-2.34	-160.57	1.00
203.125000	-1.85	-161.94	1.00
205.078125	-0.83	-164.31	1.00
207.031250	-0.44	-165.31	1.00
208.984375	0.65	-169.11	1.00
210.937500	0.86	-173.65	1.00
212.890625	0.27	-174.91	0.99
214.843750	0.47	168.12	1.00
216.796875	0.02	168.85	1.00
218.750000	-1.40	160.19	1.00
220.703125	-1.75	157.71	1.00
222.656250	-2.13	157.32	1.00
224.609375	-3.22	156.56	1.00
226.562500	-4.62	157.58	1.00
228.515625	-5.01	158.88	1.00
230.468750	-5.39	158.15	1.00
232.421875	-5.91	161.07	1.00
234.375000	-6.22	163.81	1.00
236.328125	-6.54	162.62	1.00
238.281250	-6.94	161.98	1.00
240.234375	-8.33	164.17	0.99
242.187500	-9.80	177.24	0.99
244.140625	-9.59	-174.35	1.00
246.093750	-9.83	-164.40	1.00
248.046875	-9.88	-158.63	1.00
250.000000	-8.80	-140.13	1.00
251.953125	-7.63	-137.62	1.00
253.906250	-5.63	-135.81	0.98
255.859375	-5.32	-137.03	1.00
257.812500	-3.82	-132.99	1.00
259.765625	-3.07	-136.06	1.00
261.718750	-1.74	-140.71	0.99
263.671875	-1.67	-141.17	1.00
265.625000	-0.67	-148.33	1.00
267.578125	-0.67	-150.15	1.00
269.531250	-0.62	-151.84	1.00
271.484375	-0.54	-152.19	1.00
273.437500	-0.24	-152.08	1.00
275.390625	0.13	-152.27	1.00
277.343750	0.87	-150.33	1.00
281.250000	4.04	-171.05	0.99
285.156250	4.58	-169.06	0.99
289.062500	4.55	165.53	0.98
292.968750	0.01	154.89	0.93
296.875000	-1.17	142.56	0.99
300.781250	-2.51	154.45	1.00
304.687500	-2.36	154.85	1.00
308.593750	-2.47	158.52	1.00
312.500000	-3.72	155.63	1.00
316.406250	-4.62	158.53	1.00
320.312500	-4.87	156.53	1.00
324.218750	-4.46	158.14	0.99
328.125000	-6.67	176.09	1.00
332.031250	-6.52	-177.72	1.00
335.937500	-6.75	-172.28	1.00
339.843750	-6.07	-171.51	0.99
343.750000	-4.15	-166.02	0.99
347.656250	-2.47	-175.54	1.00
351.562500	-2.40	175.83	1.00
355.468750	-3.71	158.40	1.00
359.375000	-6.16	173.82	0.99
363.281250	-6.82	-173.86	1.00
367.187500	-5.52	-175.03	1.00
371.093750	-5.44	-174.94	1.00
375.000000	-5.71	-169.56	1.00
378.906250	-5.94	-168.15	1.00
382.812500	-5.33	-164.41	1.00
386.718750	-4.54	-160.27	1.00
390.625000	-4.25	-160.72	1.00
394.531250	-4.20	-161.23	1.00
398.437500	-3.76	-158.95	1.00
402.343750	-3.86	-155.78	1.00
406.250000	-3.56	-157.59	0.99
410.156250	-1.56	-155.12	0.97
414.062500	0.15	-165.16	1.00
417.968750	-0.01	-168.82	1.00
421.875000	0.19	-172.10	0.99
425.781250	-0.76	-179.38	1.00
429.687500	-1.84	-179.75	0.99
433.593750	-2.12	179.27	1.00
437.500000	-2.11	178.95	1.00
441.406250	-2.24	-178.47	1.00
445.312500	-2.16	-177.99	1.00
449.218750	-2.08	-178.97	1.00
453.125000	-2.10	-178.19	1.00
457.031250	-2.21	-177.26	1.00
460.937500	-2.09	-176.81	1.00
464.843750	-2.08	-178.14	1.00
468.750000	-2.32	179.27	1.00
472.656250	-2.79	179.80	1.00
476.562500	-2.63	-178.39	1.00
480.468750	-1.98	178.71	1.00
484.375000	-1.72	174.90	1.00
488.281250	-2.15	173.61	1.00
492.187500	-2.57	171.49	1.00
496.093750	-3.07	171.88	1.00
500.000000	-3.65	173.75	1.00
503.906250	-3.83	175.22	1.00
507.812500	-3.84	176.64	1.00
511.718750	-3.96	178.15	1.00
515.625000	-4.25	179.51	1.00
519.531250	-5.28	-174.27	1.00
523.437500	-4.59	-173.84	1.00
527.343750	-3.33	-169.07	0.99
531.250000	-2.58	-169.88	1.00
535.156250	-2.30	-176.52	1.00
539.062500	-3.04	173.63	0.97
542.968750	-5.81	168.48	0.99
546.875000	-6.26	170.17	1.00
