	RODE 105g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-24.07	49.75	0.99
11.718750	-37.68	32.60	0.65
12.695313	-24.64	54.27	1.00
13.671875	-15.67	58.60	0.99
14.648438	-19.48	48.45	1.00
15.625000	-16.28	20.03	0.81
16.601563	-9.68	15.71	1.00
17.578125	-11.03	23.24	1.00
18.554688	-13.98	24.28	0.98
19.531250	-18.31	30.47	0.96
20.507813	-18.40	12.42	1.00
21.484375	-13.27	24.52	0.94
22.460938	-23.74	-86.06	0.76
23.437500	-25.56	29.19	0.99
24.414063	-20.57	41.33	0.99
25.390625	-14.44	42.20	0.99
26.367188	-13.58	37.87	0.99
27.343750	-13.94	-3.94	0.96
28.320313	-12.78	38.67	0.97
29.296875	-14.70	65.81	0.97
30.273438	-14.07	-62.13	0.95
31.250000	-9.62	-46.42	1.00
32.226563	-6.35	-47.25	0.99
33.203125	-3.93	-76.53	0.99
34.179688	-8.12	-101.06	0.99
35.156250	-10.52	-97.85	1.00
36.132813	-8.69	-83.09	1.00
37.109375	-6.01	-74.52	1.00
38.085938	-5.38	-81.36	0.93
39.062500	-2.21	-133.66	0.98
40.039063	-1.20	-117.67	1.00
41.015625	-2.01	-125.12	1.00
41.992188	-0.97	-127.82	1.00
42.968750	-4.61	-135.62	0.98
43.945313	-2.94	-135.61	1.00
44.921875	-2.32	-134.88	1.00
45.898438	-3.42	-152.89	1.00
46.875000	-2.66	-143.28	1.00
47.851563	0.08	-158.26	0.99
48.828125	-3.76	-170.80	1.00
49.804688	-4.13	-160.41	1.00
50.781250	-2.55	-152.63	1.00
51.757813	-4.62	-171.12	1.00
52.734375	-7.14	-167.47	0.97
53.710938	-3.22	-155.82	1.00
54.687500	-3.34	-159.40	1.00
55.664063	-1.92	-172.74	1.00
56.640625	-2.54	-174.49	1.00
57.617188	-3.14	-173.03	1.00
58.593750	-3.34	-170.77	1.00
59.570313	-5.38	-154.29	0.99
60.546875	-3.36	177.96	1.00
61.523438	-6.12	-168.84	1.00
62.500000	-6.68	-171.12	1.00
63.476563	-6.86	-172.37	1.00
64.453125	-6.61	-168.17	1.00
65.429688	-6.91	-171.56	1.00
66.406250	-5.15	-163.72	0.99
67.382813	-6.01	-167.45	1.00
68.359375	-5.49	-172.27	1.00
69.335938	-5.34	-172.06	1.00
70.312500	-6.36	-173.14	1.00
71.289063	-5.63	-172.81	1.00
72.265625	-5.11	-168.61	1.00
73.242188	-4.77	-169.46	1.00
74.218750	-4.40	-169.30	1.00
75.195313	-3.77	-172.50	1.00
76.171875	-4.19	-179.37	1.00
77.148438	-3.30	172.69	1.00
78.125000	-3.37	171.91	1.00
79.101563	-3.52	166.65	1.00
80.078125	-3.76	163.90	1.00
81.054688	-4.10	166.32	1.00
82.031250	-4.36	155.74	1.00
83.007813	-4.40	153.42	1.00
83.984375	-5.85	147.60	1.00
84.960938	-5.88	149.84	1.00
85.937500	-5.93	144.67	1.00
86.914063	-7.01	147.93	1.00
87.890625	-7.75	148.12	1.00
88.867188	-8.04	146.90	1.00
89.843750	-8.44	148.03	1.00
90.820313	-9.76	147.88	1.00
91.796875	-9.47	151.70	1.00
92.773438	-9.34	151.39	1.00
93.750000	-8.87	154.18	1.00
94.726563	-9.16	152.57	1.00
95.703125	-9.55	153.27	1.00
96.679688	-9.77	153.39	1.00
97.656250	-9.83	152.41	1.00
98.632813	-9.99	149.56	1.00
99.609375	-10.26	149.31	1.00
100.585938	-10.80	148.27	1.00
101.562500	-11.22	149.47	1.00
102.539063	-11.46	149.54	1.00
103.515625	-11.83	155.32	1.00
104.492188	-11.94	153.67	1.00
105.468750	-12.07	153.06	1.00
106.445313	-12.27	152.46	1.00
107.421875	-12.24	154.50	1.00
108.398438	-12.07	152.49	1.00
109.375000	-12.55	155.11	1.00
110.351563	-12.27	162.24	1.00
111.328125	-13.06	155.17	1.00
112.304688	-14.19	152.78	1.00
113.281250	-14.15	154.11	1.00
114.257813	-14.53	158.58	1.00
115.234375	-15.29	160.98	1.00
116.210938	-15.29	161.83	1.00
117.187500	-16.52	173.44	1.00
118.164063	-16.42	176.42	1.00
119.140625	-15.90	-175.38	0.99
120.117188	-15.79	-176.20	1.00
121.093750	-15.80	-173.84	1.00
122.070313	-14.87	-169.37	1.00
123.046875	-15.37	-165.51	0.99
124.023438	-14.56	-170.78	1.00
125.000000	-14.20	-173.33	1.00
125.976563	-14.18	-173.63	1.00
126.953125	-14.19	-172.90	1.00
127.929688	-14.10	-171.44	1.00
128.906250	-14.14	-169.74	1.00
129.882813	-13.97	-166.50	1.00
130.859375	-13.91	-164.45	1.00
131.835938	-13.69	-164.34	1.00
132.812500	-13.38	-163.49	1.00
133.789063	-13.19	-162.72	1.00
134.765625	-12.46	-164.39	1.00
135.742188	-12.56	-163.72	1.00
136.718750	-12.08	-161.61	1.00
137.695313	-12.06	-163.92	1.00
138.671875	-12.08	-165.63	1.00
140.625000	-12.92	-161.84	1.00
142.578125	-12.76	-161.18	1.00
144.531250	-12.97	-160.96	1.00
146.484375	-12.91	-162.31	1.00
148.437500	-12.80	-157.21	1.00
150.390625	-12.73	-154.71	1.00
152.343750	-11.11	-154.96	1.00
154.296875	-11.04	-149.92	1.00
156.250000	-10.87	-149.83	1.00
158.203125	-9.68	-153.11	1.00
