	RODE 90g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-24.45	53.42	1.00
11.718750	-24.88	54.49	1.00
12.695313	-20.64	44.73	1.00
13.671875	-17.39	62.61	1.00
14.648438	-18.14	61.88	1.00
15.625000	-19.72	56.49	1.00
16.601563	-21.15	47.84	1.00
17.578125	-20.53	48.63	1.00
18.554688	-18.87	56.16	1.00
19.531250	-20.73	51.24	0.98
20.507813	-24.42	44.61	0.99
21.484375	-29.33	46.13	0.92
22.460938	-14.85	49.71	0.99
23.437500	-14.89	51.46	1.00
24.414063	-15.43	37.84	1.00
25.390625	-12.81	68.73	0.99
26.367188	-10.23	53.67	0.99
27.343750	-11.65	31.82	1.00
28.320313	-14.44	60.33	0.97
29.296875	-18.54	12.11	0.98
30.273438	-22.32	4.80	0.93
31.250000	-17.65	127.26	0.73
32.226563	-12.91	-16.21	0.98
33.203125	-13.13	-60.37	0.74
34.179688	-12.04	-67.57	0.97
35.156250	-12.98	-59.04	0.86
36.132813	-16.56	-50.42	1.00
37.109375	-17.33	-42.13	0.98
38.085938	-7.45	-65.01	0.99
39.062500	-8.95	-77.35	1.00
40.039063	-6.77	-79.48	0.98
41.015625	-9.39	-110.52	1.00
41.992188	-9.83	-118.24	0.99
42.968750	-11.91	-153.72	0.99
43.945313	-12.65	-138.42	1.00
44.921875	-14.42	-133.17	1.00
45.898438	-13.65	-134.59	1.00
46.875000	-10.09	-147.29	0.99
47.851563	-4.49	151.58	0.90
48.828125	-11.92	176.32	0.99
49.804688	-12.25	-169.52	1.00
50.781250	-10.18	-178.16	0.99
51.757813	-19.12	-143.43	0.90
52.734375	-18.42	-65.29	0.82
53.710938	-16.78	-174.45	1.00
54.687500	-15.80	-167.87	1.00
55.664063	-10.93	-167.00	0.84
56.640625	-10.04	150.24	0.97
57.617188	-11.59	163.32	1.00
58.593750	-9.84	163.34	0.98
59.570313	-12.52	90.84	0.98
60.546875	-15.64	84.08	0.99
61.523438	-14.80	62.48	0.95
62.500000	-31.36	76.10	0.86
63.476563	-24.75	33.61	1.00
64.453125	-25.80	27.91	0.99
65.429688	-24.21	7.56	0.96
66.406250	-21.27	-134.26	0.95
67.382813	-22.39	-123.81	1.00
68.359375	-20.49	-135.83	0.99
69.335938	-21.25	-161.69	1.00
70.312500	-21.65	-167.02	1.00
71.289063	-18.69	179.48	1.00
72.265625	-18.98	175.85	1.00
73.242188	-18.40	169.31	1.00
74.218750	-19.12	-176.73	0.97
75.195313	-15.75	157.53	1.00
76.171875	-15.40	153.73	1.00
77.148438	-14.56	149.01	1.00
78.125000	-16.39	123.08	1.00
79.101563	-14.36	122.08	1.00
80.078125	-14.67	121.52	1.00
81.054688	-14.06	121.12	0.99
82.031250	-15.04	100.72	1.00
83.007813	-14.80	97.80	1.00
83.984375	-14.05	92.41	1.00
84.960938	-14.77	80.58	1.00
85.937500	-13.52	78.68	1.00
86.914063	-14.58	65.90	1.00
87.890625	-14.88	59.65	1.00
88.867188	-15.86	49.99	1.00
89.843750	-15.43	51.94	0.99
90.820313	-17.58	35.22	1.00
91.796875	-17.18	36.21	1.00
92.773438	-19.09	30.95	1.00
93.750000	-18.94	22.68	1.00
94.726563	-21.45	24.84	1.00
95.703125	-21.52	15.77	1.00
96.679688	-21.80	10.05	1.00
97.656250	-21.69	7.58	1.00
98.632813	-21.96	9.74	1.00
99.609375	-22.63	5.41	1.00
100.585938	-23.15	3.24	1.00
101.562500	-23.73	4.40	1.00
102.539063	-23.81	3.08	1.00
103.515625	-23.97	1.51	1.00
104.492188	-24.45	1.67	1.00
105.468750	-23.48	4.64	1.00
106.445313	-23.76	5.29	1.00
107.421875	-23.97	3.69	1.00
108.398438	-23.68	1.11	1.00
109.375000	-23.13	0.97	1.00
110.351563	-22.78	0.73	1.00
111.328125	-22.32	-1.30	1.00
112.304688	-21.87	-2.83	1.00
113.281250	-21.38	-7.25	1.00
114.257813	-20.70	-20.03	1.00
115.234375	-20.62	-17.40	1.00
116.210938	-20.67	-26.52	1.00
117.187500	-20.52	-29.31	1.00
118.164063	-20.46	-35.05	1.00
119.140625	-19.95	-42.57	1.00
120.117188	-19.63	-52.76	1.00
121.093750	-20.28	-54.35	1.00
122.070313	-20.55	-58.53	1.00
123.046875	-20.75	-66.20	1.00
124.023438	-21.22	-71.71	1.00
125.000000	-22.35	-68.23	1.00
125.976563	-22.42	-68.07	1.00
126.953125	-22.42	-67.99	1.00
127.929688	-22.56	-68.71	1.00
128.906250	-22.29	-74.04	1.00
129.882813	-22.24	-73.22	1.00
130.859375	-22.43	-73.58	1.00
131.835938	-22.65	-80.85	1.00
132.812500	-22.57	-84.20	1.00
133.789063	-22.46	-90.16	1.00
134.765625	-23.24	-92.98	1.00
135.742188	-24.41	-92.86	0.99
136.718750	-24.18	-94.38	1.00
137.695313	-23.98	-93.90	1.00
138.671875	-22.98	-67.44	0.97
140.625000	-24.07	-62.08	0.99
142.578125	-25.05	-69.82	1.00
144.531250	-23.35	-89.68	0.99
146.484375	-25.10	-88.51	0.98
148.437500	-21.91	-80.38	0.99
150.390625	-22.17	-84.27	1.00
152.343750	-21.64	-80.70	1.00
154.296875	-20.30	-88.09	1.00
156.250000	-19.32	-93.36	1.00
158.203125	-18.58	-95.78	1.00
160.156250	-16.91	-94.95	1.00
162.109375	-15.76	-104.75	1.00
164.062500	-16.10	-114.14	0.99
166.015625	-14.71	-132.78	1.00
167.968750	-14.57	-138.08	0.99
169.921875	-13.85	-145.05	1.00
171.875000	-14.68	-149.80	0.99
173.828125	-13.84	-171.13	0.99
175.781250	-13.84	170.64	0.98
177.734375	-13.61	163.48	1.00
179.687500	-14.81	154.02	0.99
181.640625	-14.79	146.11	1.00
183.593750	-16.86	126.80	0.99
185.546875	-17.19	129.02	1.00
187.500000	-19.18	111.26	0.98
189.453125	-18.39	105.10	1.00
191.406250	-20.71	98.72	0.99
193.359375	-23.81	91.88	0.99
195.312500	-26.49	83.86	0.98
197.265625	-31.46	63.79	0.88
199.218750	-40.71	114.18	0.42
201.171875	-39.88	144.09	0.51
203.125000	-28.83	-117.70	0.97
205.078125	-25.35	-112.20	0.98
207.031250	-21.79	-110.01	0.98
208.984375	-18.75	-141.48	0.90
210.937500	-14.86	173.43	1.00
212.890625	-14.56	167.70	1.00
214.843750	-14.52	153.97	0.99
216.796875	-14.23	124.93	0.99
218.750000	-14.90	108.39	0.99
220.703125	-14.75	105.72	1.00
222.656250	-15.89	93.19	1.00
224.609375	-15.92	89.46	1.00
226.562500	-15.54	85.99	1.00
228.515625	-15.01	77.19	1.00
230.468750	-14.85	66.09	1.00
232.421875	-14.62	62.96	1.00
234.375000	-14.15	52.93	1.00
236.328125	-14.06	33.20	0.99
238.281250	-13.87	26.48	1.00
240.234375	-14.32	16.11	0.99
242.187500	-15.06	7.15	1.00
244.140625	-16.81	-4.97	1.00
246.093750	-17.61	-9.65	1.00
248.046875	-17.63	-13.96	1.00
250.000000	-18.16	-17.48	1.00
251.953125	-18.46	-22.49	1.00
253.906250	-18.54	-31.93	0.99
255.859375	-19.66	-39.19	1.00
257.812500	-21.38	-35.79	1.00
259.765625	-22.22	-30.23	1.00
261.718750	-22.03	-25.45	1.00
263.671875	-21.36	-17.98	1.00
265.625000	-20.85	-14.97	1.00
267.578125	-19.82	-14.94	0.99
269.531250	-17.65	-13.06	1.00
271.484375	-16.62	-11.34	0.98
273.437500	-14.94	-23.08	1.00
275.390625	-12.50	-34.41	1.00
277.343750	-12.35	-39.49	1.00
281.250000	-10.77	-55.84	0.98
285.156250	-12.30	-79.86	0.95
289.062500	-7.76	-116.76	0.96
292.968750	-9.21	-142.36	0.95
296.875000	-10.37	177.52	0.95
300.781250	-10.62	-171.63	0.89
304.687500	-30.40	167.09	0.46
308.593750	-22.59	-113.31	0.73
312.500000	-19.60	-115.50	0.95
316.406250	-18.40	-140.36	0.99
320.312500	-18.04	-157.57	1.00
324.218750	-17.37	-160.51	1.00
328.125000	-17.76	-161.58	1.00
332.031250	-16.71	-161.39	1.00
335.937500	-16.29	-162.39	0.99
339.843750	-11.96	-119.88	0.97
343.750000	-11.60	-172.05	0.94
347.656250	-5.64	147.49	0.94
351.562500	-7.40	128.56	0.98
355.468750	-9.71	96.97	0.97
359.375000	-9.03	83.80	0.99
363.281250	-11.73	79.72	1.00
367.187500	-11.37	70.07	0.99
371.093750	-11.98	61.13	0.99
375.000000	-12.42	46.57	1.00
378.906250	-12.71	43.70	1.00
382.812500	-11.25	41.80	1.00
386.718750	-9.81	31.39	0.98
390.625000	-7.85	12.26	1.00
394.531250	-8.35	-2.86	0.99
398.437500	-8.74	-13.22	1.00
402.343750	-7.62	-23.84	1.00
406.250000	-5.25	-27.81	0.98
410.156250	-2.34	-24.00	0.91
414.062500	-3.99	-120.27	0.88
417.968750	-3.33	-117.68	0.99
421.875000	-4.12	-124.48	1.00
425.781250	-4.20	-178.03	0.95
429.687500	-7.08	-165.27	0.98
433.593750	-10.25	-175.05	0.99
437.500000	-10.13	-176.71	0.99
441.406250	-11.85	179.21	1.00
445.312500	-12.87	175.85	1.00
449.218750	-12.93	172.47	0.99
453.125000	-12.74	160.29	1.00
457.031250	-12.78	154.33	1.00
460.937500	-11.89	148.30	0.99
464.843750	-10.58	138.63	0.99
468.750000	-10.21	124.36	0.99
472.656250	-10.80	117.21	0.98
476.562500	-11.98	93.30	0.99
480.468750	-12.51	78.98	0.99
484.375000	-12.75	63.12	0.99
488.281250	-15.26	49.01	0.99
492.187500	-17.17	41.50	0.98
496.093750	-18.47	29.73	0.98
500.000000	-20.18	39.23	0.99
503.906250	-18.64	43.01	0.99
507.812500	-16.25	43.26	0.99
511.718750	-14.63	25.75	0.98
