	RODE 145g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-27.55	6.17	0.91
11.718750	-20.16	33.75	0.99
12.695313	-18.57	49.84	0.99
13.671875	-17.62	27.25	0.99
14.648438	-13.15	32.71	0.83
15.625000	-34.84	46.50	0.83
16.601563	-25.52	103.79	0.98
17.578125	-23.08	81.41	0.99
18.554688	-18.15	74.92	0.98
19.531250	-28.86	148.49	0.43
20.507813	-12.82	29.04	0.99
21.484375	-12.23	37.40	0.98
22.460938	-20.20	72.84	0.93
23.437500	-27.59	-174.37	0.87
24.414063	-33.87	37.46	0.64
25.390625	-20.14	112.85	0.87
26.367188	-10.10	42.53	1.00
27.343750	-10.31	35.90	1.00
28.320313	-14.27	32.89	0.92
29.296875	-14.90	-89.26	0.57
30.273438	-21.91	-121.58	0.97
31.250000	-5.16	-32.25	0.97
32.226563	-0.54	-69.56	0.94
33.203125	-9.27	-130.62	0.96
34.179688	-15.92	-118.19	0.47
35.156250	-9.77	-104.50	0.98
36.132813	-4.97	-56.91	0.79
37.109375	-1.89	-71.99	1.00
38.085938	-2.26	-78.75	1.00
39.062500	3.98	-94.10	0.97
40.039063	0.11	-118.85	0.98
41.015625	2.49	-130.90	1.00
41.992188	2.48	-143.92	0.99
42.968750	2.67	-135.79	1.00
43.945313	1.84	-138.20	1.00
44.921875	1.39	-140.70	1.00
45.898438	1.09	-141.33	1.00
46.875000	0.45	-156.02	1.00
47.851563	1.19	-163.68	1.00
48.828125	0.43	150.95	0.94
49.804688	1.68	-137.67	0.99
50.781250	0.72	-151.27	1.00
51.757813	0.59	-146.95	1.00
52.734375	1.10	-140.57	1.00
53.710938	1.26	-152.07	1.00
54.687500	1.93	-155.46	1.00
55.664063	2.16	-157.83	1.00
56.640625	1.70	-157.58	1.00
57.617188	1.34	-156.13	1.00
58.593750	0.00	-153.42	1.00
59.570313	0.04	-160.29	1.00
60.546875	1.51	-163.83	1.00
61.523438	1.29	-166.67	1.00
62.500000	0.76	-168.69	1.00
63.476563	0.81	-170.51	1.00
64.453125	0.55	-170.30	1.00
65.429688	0.65	-168.57	1.00
66.406250	0.46	-171.05	1.00
67.382813	0.38	-170.79	1.00
68.359375	0.26	-173.63	1.00
69.335938	0.31	-174.01	1.00
70.312500	-0.69	-171.30	1.00
71.289063	-0.33	-172.09	1.00
72.265625	0.40	-169.71	1.00
73.242188	0.67	-169.44	1.00
74.218750	0.98	-167.74	1.00
75.195313	1.29	-169.11	1.00
76.171875	1.37	-171.64	1.00
77.148438	2.14	-176.46	1.00
78.125000	2.46	-178.33	1.00
79.101563	1.27	177.34	1.00
80.078125	2.04	171.98	1.00
81.054688	2.31	170.15	1.00
82.031250	0.96	166.33	1.00
83.007813	0.94	163.97	1.00
83.984375	0.85	164.54	1.00
84.960938	-0.27	160.98	1.00
85.937500	-0.01	159.75	1.00
86.914063	-0.82	159.82	1.00
87.890625	-0.65	159.15	1.00
88.867188	-0.88	160.31	1.00
89.843750	-1.16	160.52	1.00
90.820313	-1.18	160.33	1.00
91.796875	-1.45	160.80	1.00
92.773438	-1.48	160.15	1.00
93.750000	-1.59	159.79	1.00
94.726563	-1.82	157.83	1.00
95.703125	-1.80	157.69	1.00
96.679688	-2.01	157.20	1.00
97.656250	-1.71	156.49	1.00
98.632813	-2.18	154.16	1.00
99.609375	-2.37	152.43	1.00
100.585938	-2.32	150.10	1.00
101.562500	-3.70	153.15	1.00
102.539063	-3.78	153.65	1.00
103.515625	-3.97	153.71	1.00
104.492188	-4.09	155.25	1.00
105.468750	-4.26	157.98	1.00
106.445313	-4.67	158.57	1.00
107.421875	-4.52	158.33	1.00
108.398438	-4.50	157.82	1.00
109.375000	-4.94	158.49	1.00
110.351563	-5.09	158.28	1.00
111.328125	-5.45	156.54	1.00
112.304688	-5.45	158.33	1.00
113.281250	-5.68	160.19	1.00
114.257813	-5.96	158.71	1.00
115.234375	-6.20	160.81	1.00
116.210938	-6.71	166.34	1.00
117.187500	-6.64	165.34	1.00
118.164063	-6.85	167.28	1.00
119.140625	-7.03	168.49	1.00
120.117188	-7.25	-178.81	1.00
121.093750	-7.16	174.49	1.00
122.070313	-6.91	174.05	1.00
123.046875	-6.71	173.10	1.00
124.023438	-6.63	173.68	1.00
125.000000	-6.63	174.80	1.00
125.976563	-6.71	174.45	1.00
126.953125	-6.82	174.70	1.00
127.929688	-6.90	175.58	1.00
128.906250	-6.87	176.78	1.00
129.882813	-6.88	177.74	1.00
130.859375	-6.87	-178.93	1.00
131.835938	-6.80	-177.86	1.00
132.812500	-6.73	-176.97	1.00
133.789063	-6.54	-175.72	1.00
134.765625	-6.21	-174.96	1.00
135.742188	-6.22	-174.79	1.00
136.718750	-6.13	-174.31	1.00
137.695313	-5.66	-172.85	1.00
138.671875	-5.82	-174.35	1.00
140.625000	-6.04	-177.46	1.00
142.578125	-6.17	-178.40	1.00
144.531250	-6.30	-175.73	1.00
146.484375	-6.31	-173.46	1.00
148.437500	-6.71	-167.65	1.00
150.390625	-6.01	-161.99	1.00
152.343750	-5.78	-163.09	1.00
154.296875	-5.66	-161.12	1.00
156.250000	-4.96	-160.88	1.00
158.203125	-4.53	-159.11	1.00
160.156250	-3.96	-159.60	1.00
162.109375	-3.37	-158.44	1.00
164.062500	-3.68	-161.22	1.00
166.015625	-2.16	-166.56	1.00
167.968750	-2.12	-167.76	1.00
169.921875	-2.07	-178.73	1.00
171.875000	-1.63	-179.51	1.00
173.828125	-2.18	174.42	1.00
175.781250	-2.95	170.75	1.00
177.734375	-3.78	166.57	1.00
179.687500	-4.14	167.04	1.00
181.640625	-5.53	168.25	1.00
183.593750	-5.19	168.39	1.00
185.546875	-7.17	179.88	1.00
187.500000	-8.17	-175.34	1.00
189.453125	-7.42	-173.13	1.00
191.406250	-8.11	-168.83	0.99
193.359375	-6.69	-161.40	1.00
195.312500	-4.90	-157.21	1.00
197.265625	-4.55	-156.26	1.00
199.218750	-4.43	-155.71	1.00
201.171875	-3.06	-158.30	1.00
203.125000	-2.59	-160.37	1.00
205.078125	-1.80	-161.61	1.00
207.031250	-1.34	-162.59	1.00
208.984375	-0.06	-165.79	1.00
210.937500	0.29	-172.50	1.00
212.890625	-0.19	-176.95	1.00
214.843750	-0.42	165.97	1.00
216.796875	-0.90	163.85	1.00
218.750000	-2.16	157.00	1.00
220.703125	-2.60	154.82	1.00
222.656250	-3.09	153.44	1.00
224.609375	-4.14	154.41	1.00
226.562500	-5.53	155.94	1.00
228.515625	-5.72	155.65	1.00
230.468750	-5.94	155.59	1.00
232.421875	-7.19	157.43	1.00
234.375000	-7.76	157.99	1.00
236.328125	-8.75	157.77	1.00
238.281250	-8.97	157.09	1.00
240.234375	-10.96	166.06	0.98
242.187500	-12.14	-179.32	0.99
244.140625	-12.93	-166.89	0.99
246.093750	-11.82	-157.42	1.00
248.046875	-11.34	-153.29	1.00
250.000000	-10.49	-141.03	0.97
251.953125	-8.51	-135.64	1.00
253.906250	-6.89	-135.11	0.99
255.859375	-6.34	-134.10	1.00
257.812500	-4.94	-132.98	1.00
259.765625	-4.10	-134.82	1.00
261.718750	-3.00	-137.98	1.00
263.671875	-2.88	-138.96	1.00
265.625000	-1.96	-146.20	1.00
267.578125	-1.74	-147.41	1.00
269.531250	-1.69	-148.58	1.00
271.484375	-1.61	-149.12	1.00
273.437500	-1.26	-148.66	1.00
275.390625	-1.03	-148.52	1.00
277.343750	-0.68	-151.27	1.00
281.250000	2.20	-156.61	0.98
285.156250	3.46	-166.84	0.99
289.062500	2.46	170.95	0.97
292.968750	-1.59	165.10	0.99
296.875000	-1.24	148.05	0.99
300.781250	-3.05	152.78	0.99
304.687500	-3.48	153.77	1.00
308.593750	-3.69	161.40	1.00
312.500000	-4.64	161.00	1.00
316.406250	-5.34	161.20	1.00
320.312500	-5.96	162.50	1.00
324.218750	-5.28	163.72	1.00
328.125000	-7.54	179.61	1.00
332.031250	-8.16	-178.09	0.99
335.937500	-6.45	-169.39	1.00
339.843750	-6.17	-173.31	0.99
343.750000	-4.21	-171.27	0.99
347.656250	-1.95	-177.19	0.99
351.562500	-1.23	162.15	0.99
355.468750	-5.20	164.19	0.98
359.375000	-7.00	169.53	0.99
363.281250	-7.33	176.28	1.00
367.187500	-7.57	179.21	1.00
371.093750	-7.77	-176.15	1.00
375.000000	-8.05	-170.22	1.00
378.906250	-8.08	-167.53	1.00
382.812500	-6.99	-162.35	1.00
386.718750	-6.91	-159.23	1.00
390.625000	-6.10	-156.56	1.00
394.531250	-6.03	-158.46	1.00
398.437500	-7.20	-157.52	1.00
402.343750	-6.60	-152.09	1.00
406.250000	-5.83	-141.12	0.98
410.156250	-2.15	-142.47	0.96
414.062500	-0.36	-148.02	1.00
417.968750	-0.80	-154.22	1.00
421.875000	0.09	-169.65	0.99
425.781250	-0.14	-170.37	1.00
429.687500	-0.76	-170.91	1.00
433.593750	-1.50	-174.30	1.00
437.500000	-1.60	-174.81	1.00
441.406250	-1.68	-176.43	1.00
445.312500	-1.57	-178.55	1.00
449.218750	-2.03	177.75	1.00
453.125000	-2.15	178.95	1.00
457.031250	-2.73	178.17	1.00
460.937500	-2.79	178.17	1.00
464.843750	-2.81	177.65	1.00
468.750000	-3.09	175.70	1.00
472.656250	-3.41	175.60	1.00
476.562500	-3.33	177.51	1.00
480.468750	-3.22	175.54	1.00
484.375000	-3.46	171.66	1.00
488.281250	-3.74	172.72	1.00
492.187500	-4.43	171.55	1.00
496.093750	-4.75	172.12	1.00
500.000000	-5.17	172.65	1.00
503.906250	-5.71	173.09	1.00
507.812500	-5.79	175.77	1.00
511.718750	-6.05	179.03	1.00
515.625000	-6.26	-179.79	1.00
519.531250	-6.44	-166.93	1.00
523.437500	-6.29	-167.69	1.00
527.343750	-5.59	-165.46	1.00
531.250000	-5.03	-165.95	1.00
535.156250	-5.23	-164.05	1.00
539.062500	-4.87	-167.36	0.97
542.968750	-5.71	-176.27	0.98
546.875000	-5.91	-175.16	1.00
550.781250	-5.66	-173.83	1.00
554.687500	-4.92	-162.89	1.00
560.000000	-5.44	-165.16	1.00
568.000000	-4.97	-162.64	1.00
576.000000	-3.98	-154.35	0.99
584.000000	-2.00	-148.55	0.98
592.000000	-2.68	-142.49	0.98
600.000000	-1.03	176.07	0.99
608.000000	-3.54	173.62	1.00
616.000000	-2.71	174.01	0.99
624.000000	-4.07	167.70	1.00
632.000000	-5.74	179.20	0.99
640.000000	-5.35	174.77	0.98
648.000000	-5.50	-150.66	0.98
656.000000	-1.55	-165.26	0.99
664.000000	-2.10	-170.97	1.00
672.000000	-2.96	-175.85	0.99
680.000000	-2.08	-179.77	0.99
688.000000	-3.85	174.46	1.00
696.000000	-4.30	-177.41	1.00
704.000000	-4.03	-174.97	1.00
712.000000	-4.10	179.94	1.00
720.000000	-4.58	179.80	1.00
728.000000	-5.26	-177.97	1.00
736.000000	-5.31	-171.62	1.00
744.000000	-5.14	-169.92	1.00
752.000000	-4.96	-167.02	1.00
760.000000	-5.27	-160.59	1.00
768.000000	-3.65	-173.90	0.99
776.000000	-3.63	-160.39	0.99
784.000000	-2.53	-161.23	1.00
792.000000	-1.57	-158.95	1.00
800.000000	-0.88	-163.71	1.00
808.000000	-0.31	-171.98	1.00
816.000000	-1.27	-179.24	1.00
824.000000	-4.33	160.71	0.99
832.000000	-2.75	160.00	0.99
840.000000	-4.64	167.29	0.99
848.000000	-5.80	173.60	1.00
856.000000	-5.72	-175.97	0.99
864.000000	-6.10	-169.67	1.00
872.000000	-6.14	-163.77	0.99
880.000000	-4.81	-158.12	1.00
888.000000	-4.22	-160.03	1.00
896.000000	-3.91	-160.74	1.00
904.000000	-3.78	-164.95	0.99
912.000000	-2.67	-164.42	1.00
920.000000	-2.42	-163.03	1.00
928.000000	-1.68	-162.94	1.00
936.000000	-1.46	-164.60	1.00
944.000000	-1.41	-174.80	1.00
952.000000	-1.49	-178.45	1.00
960.000000	-2.24	177.64	1.00
968.000000	-2.83	177.35	1.00
976.000000	-3.36	176.31	1.00
984.000000	-4.11	174.66	1.00
992.000000	-6.31	-179.45	1.00
1000.000000	-5.73	-177.94	1.00
1008.000000	-5.05	-166.48	1.00
1016.000000	-3.62	-161.49	1.00
1024.000000	-2.93	-166.01	1.00
1032.000000	-3.73	-168.78	1.00
1040.000000	-4.04	-167.73	1.00
1048.000000	-3.95	-166.65	1.00
1056.000000	-3.42	-164.18	1.00
1064.000000	-2.92	-162.40	1.00
1072.000000	-1.70	-161.09	0.98
1080.000000	0.60	-164.81	0.99
1088.000000	0.98	179.85	0.98
1096.000000	-0.30	171.22	0.99
