Frequency(Hz), Magnitude(ohm), Phase(deg)
520.570, 17.057, 45.426
528.131, 17.152, 45.319
535.803, 17.390, 45.360
543.586, 17.465, 45.699
551.482, 17.582, 47.054
559.492, 17.954, 46.580
567.619, 18.016, 46.539
575.864, 17.947, 46.657
584.229, 18.205, 46.621
592.716, 18.442, 47.034
601.325, 18.731, 46.834
610.060, 18.856, 47.366
618.921, 19.035, 47.799
627.912, 19.087, 48.099
637.032, 19.318, 47.189
646.286, 19.365, 47.649
655.673, 19.609, 47.746
665.198, 19.915, 48.191
674.860, 19.971, 49.211
684.663, 20.182, 49.567
694.608, 20.174, 48.938
704.698, 20.566, 48.514
714.934, 20.912, 49.084
725.319, 21.059, 49.004
735.855, 21.062, 49.241
746.543, 21.255, 49.569
757.387, 21.531, 49.682
768.389, 21.683, 49.730
779.550, 21.784, 50.464
790.874, 21.982, 49.665
802.362, 22.241, 50.067
814.017, 22.595, 49.910
825.841, 22.502, 51.083
837.837, 22.818, 49.783
850.007, 22.947, 50.602
862.354, 23.231, 50.648
874.880, 23.369, 50.365
887.588, 23.978, 50.165
900.481, 23.787, 50.804
913.561, 24.145, 51.606
926.831, 24.599, 50.592
940.294, 24.365, 51.981
953.953, 25.186, 51.289
967.810, 25.058, 51.845
981.868, 25.114, 51.532
996.130, 25.764, 52.082
1010.599, 25.789, 52.022
1025.279, 25.987, 51.680
1040.172, 26.070, 51.957
1055.281, 26.843, 51.781
1070.610, 26.719, 52.226
1086.161, 26.969, 52.688
1101.938, 27.268, 52.485
1117.945, 27.546, 52.480
1134.184, 27.732, 52.693
1150.659, 28.016, 52.596
1167.373, 28.376, 52.723
1184.330, 28.628, 52.731
1201.533, 28.843, 52.782
1218.986, 29.255, 52.979
1236.693, 29.484, 53.118
1254.656, 29.905, 53.224
1272.881, 30.025, 53.111
1291.370, 30.379, 53.086
1310.129, 30.586, 53.439
1329.159, 30.922, 53.584
1348.466, 31.334, 53.583
1368.053, 31.587, 53.429
1387.925, 31.789, 53.679
1408.086, 32.189, 53.558
1428.539, 32.510, 53.746
1449.290, 32.780, 53.758
1470.342, 33.006, 53.779
1491.700, 33.404, 53.976
1513.367, 33.736, 53.968
1535.350, 34.078, 53.950
1557.652, 34.465, 53.883
1580.278, 34.773, 53.996
1603.233, 35.013, 53.967
1626.521, 35.565, 54.219
1650.147, 35.735, 53.965
1674.117, 36.119, 54.085
1698.434, 36.594, 53.973
1723.105, 36.752, 54.247
1748.135, 37.209, 54.140
1773.527, 37.510, 54.127
1799.289, 37.889, 54.082
1825.425, 38.357, 54.082
1851.941, 38.590, 54.181
1878.841, 38.949, 54.219
1906.133, 39.453, 54.142
1933.821, 39.754, 54.163
1961.911, 40.124, 54.187
1990.409, 40.398, 54.183
2019.321, 40.821, 54.087
2048.653, 41.103, 54.233
2078.411, 41.345, 54.185
2108.602, 41.755, 54.173
2139.230, 42.132, 54.336
2170.304, 42.585, 54.238
2201.829, 42.884, 54.260
2233.813, 43.271, 54.488
2266.260, 43.658, 54.614
2299.179, 44.036, 54.428
2332.576, 44.598, 54.640
2366.458, 44.957, 54.729
2400.833, 45.402, 54.782
2435.707, 45.736, 54.689
2471.087, 46.119, 54.844
2506.981, 46.584, 54.640
2543.397, 46.941, 54.905
2580.342, 47.532, 54.677
2617.823, 47.932, 54.847
2655.848, 48.502, 54.913
2694.426, 48.971, 54.704
2733.565, 49.232, 54.967
2773.272, 49.829, 55.014
2813.555, 50.337, 54.850
2854.424, 50.788, 54.803
2895.887, 51.295, 54.981
2937.951, 51.688, 55.115
2980.627, 52.244, 54.940
3023.923, 52.572, 54.860
3067.847, 53.371, 55.079
3112.410, 53.739, 54.950
3157.620, 54.446, 55.075
3203.487, 54.792, 54.824
3250.019, 55.293, 55.005
3297.228, 55.748, 54.917
3345.123, 56.367, 55.009
3393.713, 57.049, 54.859
3443.009, 57.502, 55.055
3493.021, 57.906, 55.004
3543.760, 58.454, 54.970
3595.235, 59.020, 54.847
3647.458, 59.662, 55.079
3700.440, 60.260, 54.950
3754.192, 60.775, 54.893
3808.724, 61.328, 54.889
3864.048, 61.975, 54.780
3920.176, 62.407, 54.962
3977.119, 63.166, 54.925
4034.890, 63.652, 54.792
4093.499, 64.143, 54.918
4152.960, 64.804, 54.890
4213.285, 65.447, 54.813
4274.485, 65.855, 54.862
4336.576, 66.399, 54.806
4399.567, 67.196, 54.879
4463.474, 67.829, 54.819
4528.309, 68.339, 54.685
4594.086, 68.825, 54.750
4660.818, 69.596, 54.854
4728.520, 70.177, 54.739
4797.205, 70.906, 54.668
4866.887, 71.622, 54.768
4937.582, 72.404, 54.695
5009.304, 72.958, 54.700
5082.067, 73.565, 54.524
5155.888, 74.253, 54.642
5230.781, 74.863, 54.540
5306.762, 75.558, 54.648
5383.846, 76.383, 54.562
5462.050, 76.922, 54.574
5541.390, 77.756, 54.570
5621.883, 78.302, 54.451
5703.544, 79.310, 54.427
5786.392, 79.863, 54.339
5870.443, 80.511, 54.335
5955.716, 81.137, 54.303
6042.227, 81.767, 54.422
6129.994, 82.732, 54.397
