Frequency(Hz), Magnitude(ohm), Phase(deg)
520.570, 16.524, 44.613
528.131, 16.838, 45.086
535.803, 16.999, 44.439
543.586, 17.006, 44.840
551.482, 17.389, 45.372
559.492, 17.647, 45.695
567.619, 17.751, 45.559
575.864, 17.553, 46.307
584.229, 18.091, 46.096
592.716, 18.112, 45.730
601.325, 18.436, 46.366
610.060, 18.478, 46.363
618.921, 18.663, 47.460
627.912, 18.928, 46.981
637.032, 19.046, 47.175
646.286, 19.061, 47.140
655.673, 19.380, 47.614
665.198, 19.437, 47.842
674.860, 19.607, 48.492
684.663, 19.906, 47.941
694.608, 19.932, 48.020
704.698, 20.149, 48.112
714.934, 20.639, 48.899
725.319, 20.620, 48.393
735.855, 20.693, 49.195
746.543, 21.085, 49.293
757.387, 20.978, 49.203
768.389, 21.478, 49.346
779.550, 21.411, 49.609
790.874, 21.724, 48.891
802.362, 22.015, 49.958
814.017, 22.246, 49.575
825.841, 22.335, 49.742
837.837, 22.525, 49.576
850.007, 22.759, 50.247
862.354, 23.017, 49.949
874.880, 23.014, 49.940
887.588, 23.322, 50.998
900.481, 23.539, 50.328
913.561, 23.774, 51.207
926.831, 24.016, 51.291
940.294, 24.304, 51.101
953.953, 24.637, 51.149
967.810, 24.920, 51.673
981.868, 25.014, 51.508
996.130, 25.312, 51.628
1010.599, 25.531, 51.334
1025.279, 25.851, 51.758
1040.172, 26.126, 51.562
1055.281, 26.424, 52.129
1070.610, 26.617, 52.236
1086.161, 26.931, 52.495
1101.938, 27.037, 52.241
1117.945, 27.283, 52.364
1134.184, 27.571, 52.679
1150.659, 27.843, 52.607
1167.373, 28.138, 52.803
1184.330, 28.452, 52.751
1201.533, 28.758, 53.003
1218.986, 28.981, 52.726
1236.693, 29.163, 52.892
1254.656, 29.570, 53.013
1272.881, 29.764, 53.055
1291.370, 30.083, 53.259
1310.129, 30.262, 53.165
1329.159, 30.691, 53.333
1348.466, 30.886, 53.411
1368.053, 31.190, 53.449
1387.925, 31.531, 53.347
1408.086, 31.981, 53.401
1428.539, 32.110, 53.492
1449.290, 32.361, 53.528
1470.342, 32.731, 53.544
1491.700, 33.011, 53.787
1513.367, 33.491, 53.660
1535.350, 33.691, 53.759
1557.652, 34.020, 53.863
1580.278, 34.412, 54.049
1603.233, 34.714, 54.001
1626.521, 34.939, 53.931
1650.147, 35.280, 54.097
1674.117, 35.718, 54.073
1698.434, 36.024, 54.107
1723.105, 36.206, 53.975
1748.135, 36.722, 54.183
1773.527, 37.028, 54.120
1799.289, 37.439, 54.300
1825.425, 37.806, 54.469
1851.941, 38.152, 54.498
1878.841, 38.571, 54.435
1906.133, 38.791, 54.619
1933.821, 39.251, 54.337
1961.911, 39.557, 54.729
1990.409, 40.006, 54.592
2019.321, 40.364, 54.486
2048.653, 40.768, 54.695
2078.411, 41.147, 54.644
2108.602, 41.614, 54.728
2139.230, 41.982, 54.785
2170.304, 42.189, 54.742
2201.829, 42.620, 54.794
2233.813, 43.214, 54.822
2266.260, 43.460, 55.088
2299.179, 43.990, 54.709
2332.576, 44.355, 54.994
2366.458, 44.766, 55.009
2400.833, 45.165, 54.863
