	58 180g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-50.54	-25.45	0.94
11.718750	-38.14	-10.41	1.00
12.695313	-34.43	-16.51	0.99
13.671875	-32.81	-25.75	0.98
14.648438	-35.19	-5.76	0.98
15.625000	-35.58	10.73	0.99
16.601563	-31.52	10.77	1.00
17.578125	-31.40	10.47	1.00
18.554688	-33.22	-0.85	0.98
19.531250	-31.25	-25.60	0.99
20.507813	-29.31	-32.76	0.98
21.484375	-29.60	-48.79	0.99
22.460938	-29.52	-4.70	1.00
23.437500	-27.29	-10.62	1.00
24.414063	-28.04	-17.25	1.00
25.390625	-28.12	-9.69	0.99
26.367188	-32.03	-3.86	0.91
27.343750	-36.85	-11.91	0.92
28.320313	-36.22	-73.02	0.99
29.296875	-34.54	-109.50	0.99
30.273438	-35.32	-110.94	0.99
31.250000	-34.32	-99.37	0.96
32.226563	-19.66	24.48	0.74
33.203125	-28.67	31.30	0.99
34.179688	-29.23	27.17	0.99
35.156250	-28.09	-147.89	0.68
36.132813	-22.37	-81.81	0.99
37.109375	-16.06	-123.43	1.00
38.085938	-18.59	-127.14	1.00
39.062500	-24.02	-174.08	0.95
40.039063	-14.53	-162.12	0.94
41.015625	-15.93	133.77	1.00
41.992188	-15.56	129.01	1.00
42.968750	-17.87	123.20	1.00
43.945313	-19.22	119.84	1.00
44.921875	-20.15	112.28	1.00
45.898438	-22.49	112.34	1.00
46.875000	-21.84	113.27	1.00
47.851563	-22.50	106.63	1.00
48.828125	-25.25	93.85	0.99
49.804688	-23.52	-150.83	0.80
50.781250	-20.38	123.53	1.00
51.757813	-21.12	127.13	1.00
52.734375	-21.35	127.70	1.00
53.710938	-20.09	106.69	1.00
54.687500	-20.08	112.64	1.00
55.664063	-19.30	107.85	1.00
56.640625	-19.87	107.52	1.00
57.617188	-18.96	105.59	1.00
58.593750	-18.80	104.99	1.00
59.570313	-18.00	104.95	1.00
60.546875	-17.73	102.28	1.00
61.523438	-17.90	90.09	1.00
62.500000	-16.61	84.09	1.00
63.476563	-16.44	82.43	1.00
64.453125	-17.45	78.90	1.00
65.429688	-17.51	76.01	1.00
66.406250	-19.11	70.09	1.00
67.382813	-18.39	61.05	1.00
68.359375	-18.88	54.79	1.00
69.335938	-19.57	47.35	1.00
70.312500	-20.93	63.90	0.99
71.289063	-23.38	76.03	1.00
72.265625	-26.20	72.34	0.98
73.242188	-21.21	101.06	1.00
74.218750	-19.69	108.78	1.00
75.195313	-17.43	96.04	1.00
76.171875	-16.58	96.07	1.00
77.148438	-14.70	68.15	0.98
78.125000	-14.00	83.71	1.00
79.101563	-13.40	66.09	1.00
80.078125	-14.00	64.03	1.00
81.054688	-13.78	60.72	1.00
82.031250	-12.13	23.59	0.99
83.007813	-14.46	45.69	1.00
83.984375	-14.81	43.75	1.00
84.960938	-15.31	44.06	1.00
85.937500	-15.80	47.54	1.00
86.914063	-15.36	41.81	1.00
87.890625	-16.40	37.48	1.00
88.867188	-16.38	36.82	1.00
89.843750	-16.43	33.91	1.00
90.820313	-16.53	34.51	1.00
91.796875	-16.74	34.91	1.00
92.773438	-16.88	35.15	1.00
93.750000	-16.60	34.94	1.00
94.726563	-16.54	37.27	1.00
95.703125	-15.33	32.51	1.00
96.679688	-15.14	29.28	1.00
97.656250	-15.63	27.96	1.00
98.632813	-15.62	22.03	1.00
99.609375	-14.80	24.49	1.00
100.585938	-15.09	11.15	1.00
101.562500	-15.76	12.58	1.00
102.539063	-15.96	11.36	1.00
103.515625	-16.01	11.49	1.00
104.492188	-15.93	11.98	1.00
105.468750	-15.38	10.94	1.00
106.445313	-15.09	7.14	1.00
107.421875	-14.02	0.31	1.00
108.398438	-12.35	-4.26	1.00
109.375000	-13.04	-20.47	1.00
