	58 60g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-42.40	-23.13	0.85
11.718750	-38.54	7.86	0.92
12.695313	-40.45	10.46	0.98
13.671875	-42.04	1.89	0.43
14.648438	-35.83	-5.42	0.99
15.625000	-35.90	-34.53	0.80
16.601563	-36.10	-22.05	0.97
17.578125	-38.80	-25.33	0.94
18.554688	-34.10	-27.33	0.89
19.531250	-32.87	-17.64	0.93
20.507813	-32.07	-17.35	0.92
21.484375	-26.69	-17.04	0.96
22.460938	-28.41	-34.00	0.95
23.437500	-31.84	-31.35	0.93
24.414063	-28.65	-29.60	1.00
25.390625	-30.37	-47.81	0.97
26.367188	-27.47	-27.26	0.97
27.343750	-24.28	-16.44	0.98
28.320313	-22.74	3.47	0.99
29.296875	-21.47	-8.21	1.00
30.273438	-21.60	-21.56	1.00
31.250000	-20.58	-26.95	1.00
32.226563	-19.20	-17.78	1.00
33.203125	-18.22	-20.72	1.00
34.179688	-16.77	-17.66	1.00
35.156250	-16.71	-45.95	0.98
36.132813	-17.36	-34.29	1.00
37.109375	-15.98	-37.12	1.00
38.085938	-15.34	-33.67	1.00
39.062500	-14.89	-35.36	1.00
40.039063	-14.22	-38.84	1.00
41.015625	-14.51	-45.74	1.00
41.992188	-14.58	-45.89	1.00
42.968750	-13.45	-50.96	1.00
43.945313	-13.69	-50.11	1.00
44.921875	-13.21	-52.80	1.00
45.898438	-12.74	-55.69	1.00
46.875000	-12.71	-55.22	1.00
47.851563	-12.30	-53.23	1.00
48.828125	-12.64	-54.14	1.00
49.804688	-11.80	-61.53	1.00
50.781250	-11.51	-59.43	1.00
51.757813	-11.41	-59.39	1.00
52.734375	-11.19	-59.81	1.00
53.710938	-10.40	-65.98	1.00
54.687500	-10.67	-64.49	1.00
55.664063	-10.54	-65.32	1.00
56.640625	-10.41	-64.68	1.00
57.617188	-9.96	-63.69	1.00
58.593750	-9.75	-63.69	1.00
59.570313	-9.71	-66.16	0.99
60.546875	-8.21	-66.94	1.00
61.523438	-8.53	-67.73	1.00
62.500000	-8.36	-75.16	1.00
63.476563	-8.80	-75.83	1.00
64.453125	-7.93	-79.67	1.00
65.429688	-7.91	-80.53	1.00
66.406250	-7.89	-81.75	1.00
67.382813	-8.53	-88.20	1.00
68.359375	-8.22	-85.56	1.00
69.335938	-8.08	-84.91	1.00
70.312500	-8.46	-82.53	1.00
71.289063	-8.49	-82.51	1.00
72.265625	-7.70	-80.99	1.00
73.242188	-7.50	-81.48	1.00
74.218750	-7.02	-82.80	1.00
75.195313	-6.82	-78.73	1.00
76.171875	-6.01	-78.64	1.00
77.148438	-5.93	-82.52	1.00
78.125000	-5.63	-85.72	1.00
79.101563	-5.60	-88.93	1.00
80.078125	-5.43	-91.35	1.00
81.054688	-5.48	-91.20	1.00
82.031250	-5.28	-96.53	1.00
