	58 105g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-49.21	84.16	0.66
11.718750	-38.12	-3.41	1.00
12.695313	-40.38	-0.47	0.99
13.671875	-35.63	-5.88	0.97
14.648438	-36.22	-20.48	1.00
15.625000	-38.20	-10.19	1.00
16.601563	-34.56	15.95	1.00
17.578125	-33.82	16.80	1.00
18.554688	-31.01	5.10	0.98
19.531250	-30.20	-29.06	0.99
20.507813	-31.89	-33.61	1.00
21.484375	-29.51	-30.33	1.00
22.460938	-29.68	-24.84	1.00
23.437500	-28.79	-26.88	1.00
24.414063	-28.23	-27.26	1.00
25.390625	-27.16	-30.24	0.99
26.367188	-27.81	-19.96	1.00
27.343750	-28.65	-27.17	1.00
28.320313	-27.33	-35.01	1.00
29.296875	-28.11	-22.97	0.99
30.273438	-40.66	-145.57	0.59
31.250000	-31.12	-76.52	0.65
32.226563	-31.76	-17.27	0.99
33.203125	-22.76	-44.45	0.99
34.179688	-22.29	-29.23	1.00
35.156250	-20.02	-54.67	0.99
36.132813	-21.05	-53.59	1.00
37.109375	-20.29	-68.25	1.00
38.085938	-20.19	-80.66	1.00
39.062500	-20.01	-80.05	1.00
40.039063	-24.32	-118.35	0.98
41.015625	-32.28	156.34	0.88
41.992188	-40.35	4.31	0.45
42.968750	-29.55	-41.50	1.00
43.945313	-26.75	-49.43	1.00
44.921875	-24.72	-43.81	1.00
45.898438	-24.06	-45.08	1.00
46.875000	-23.73	-48.63	1.00
47.851563	-22.77	-49.73	1.00
48.828125	-23.11	-52.39	1.00
49.804688	-23.59	-47.53	1.00
50.781250	-23.33	-53.71	0.98
51.757813	-21.84	-53.89	1.00
52.734375	-21.65	-36.06	0.99
53.710938	-21.28	-56.11	1.00
54.687500	-21.19	-56.41	1.00
55.664063	-21.11	-51.32	1.00
56.640625	-21.27	-49.47	1.00
57.617188	-20.32	-58.85	1.00
58.593750	-19.62	-41.86	1.00
59.570313	-19.22	-42.51	1.00
60.546875	-16.13	-55.35	1.00
61.523438	-15.66	-58.37	1.00
62.500000	-16.50	-62.45	1.00
63.476563	-16.33	-62.14	1.00
64.453125	-16.48	-70.44	1.00
65.429688	-16.96	-75.88	1.00
66.406250	-16.94	-75.67	1.00
67.382813	-17.12	-76.25	1.00
68.359375	-16.70	-74.63	1.00
69.335938	-17.43	-74.12	1.00
70.312500	-17.34	-74.49	1.00
71.289063	-17.31	-73.73	1.00
72.265625	-17.21	-73.37	1.00
73.242188	-17.14	-73.44	1.00
74.218750	-17.30	-73.23	1.00
75.195313	-17.03	-68.48	1.00
76.171875	-16.86	-67.31	1.00
77.148438	-17.11	-68.75	1.00
78.125000	-15.39	-65.48	1.00
79.101563	-14.84	-65.80	1.00
