	58 165g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-34.42	32.88	0.97
11.718750	-36.82	23.70	0.95
12.695313	-45.92	-42.75	0.28
13.671875	-31.22	-7.77	0.79
14.648438	-33.62	-36.45	0.99
15.625000	-34.26	-12.50	0.92
16.601563	-29.79	7.99	1.00
17.578125	-30.15	7.37	1.00
18.554688	-29.05	2.29	0.99
19.531250	-29.02	-28.42	1.00
20.507813	-28.72	-32.89	1.00
21.484375	-28.34	-38.69	1.00
22.460938	-25.40	-37.08	0.99
23.437500	-30.77	-18.56	0.98
24.414063	-25.52	-15.11	0.99
25.390625	-26.93	-25.52	0.99
26.367188	-25.04	-56.64	1.00
27.343750	-25.96	-48.52	0.98
28.320313	-24.97	-58.51	0.42
29.296875	-24.37	135.78	0.92
30.273438	-40.28	-30.01	0.83
31.250000	-29.87	-164.22	0.99
32.226563	-35.61	159.03	0.66
33.203125	-27.87	15.32	1.00
34.179688	-28.07	9.65	1.00
35.156250	-25.21	-52.04	0.55
36.132813	-20.46	-79.83	1.00
37.109375	-18.38	-93.15	1.00
38.085938	-19.31	-109.57	1.00
39.062500	-22.11	158.22	0.95
40.039063	-19.11	141.00	0.99
41.015625	-16.04	157.25	1.00
41.992188	-15.37	156.62	1.00
42.968750	-17.35	139.76	1.00
43.945313	-17.16	127.70	0.99
44.921875	-20.62	115.61	0.99
45.898438	-22.09	106.49	0.97
46.875000	-21.01	105.18	0.99
47.851563	-18.15	138.62	0.99
48.828125	-21.83	170.78	0.93
49.804688	-22.15	112.28	1.00
50.781250	-21.86	111.10	1.00
51.757813	-20.64	119.26	1.00
52.734375	-19.93	125.56	1.00
53.710938	-19.95	112.15	1.00
54.687500	-19.70	110.72	1.00
55.664063	-19.46	107.28	1.00
56.640625	-19.81	108.26	1.00
57.617188	-19.11	108.17	1.00
58.593750	-19.63	102.01	1.00
59.570313	-18.48	97.34	1.00
60.546875	-18.02	101.57	1.00
61.523438	-17.50	80.45	1.00
62.500000	-17.52	82.37	1.00
63.476563	-17.35	86.58	0.99
64.453125	-18.79	60.58	1.00
65.429688	-18.97	63.12	1.00
66.406250	-18.51	62.56	1.00
67.382813	-21.73	70.45	1.00
68.359375	-21.38	67.77	1.00
69.335938	-21.57	65.98	1.00
70.312500	-21.57	67.00	1.00
71.289063	-22.80	89.76	1.00
72.265625	-23.14	88.60	1.00
73.242188	-21.72	87.61	1.00
74.218750	-21.45	85.56	0.99
75.195313	-17.26	95.49	1.00
76.171875	-17.80	98.19	1.00
77.148438	-14.05	77.07	1.00
78.125000	-14.32	75.76	1.00
79.101563	-14.96	50.73	0.95
80.078125	-13.76	59.11	1.00
81.054688	-13.96	52.26	1.00
82.031250	-15.58	47.52	1.00
83.007813	-14.80	39.31	1.00
83.984375	-15.26	36.33	1.00
