	58 0g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
207.031250	0.63	-139.07	1.00
208.984375	0.85	-142.78	1.00
210.937500	1.08	-145.68	1.00
212.890625	1.22	-147.26	1.00
214.843750	0.99	-155.81	1.00
216.796875	0.98	-157.77	1.00
218.750000	0.92	-158.82	1.00
220.703125	0.06	-162.43	1.00
222.656250	-0.95	-161.02	1.00
224.609375	-1.29	-160.48	1.00
226.562500	-1.43	-160.62	1.00
228.515625	-1.57	-160.10	1.00
230.468750	-1.74	-159.29	1.00
232.421875	-1.67	-156.97	1.00
234.375000	-1.69	-156.98	1.00
236.328125	-1.77	-158.35	1.00
238.281250	-1.91	-158.67	1.00
240.234375	-2.21	-158.81	1.00
242.187500	-2.54	-158.75	1.00
244.140625	-3.23	-154.88	1.00
246.093750	-3.72	-151.25	1.00
248.046875	-2.97	-152.32	1.00
250.000000	-2.91	-146.04	1.00
251.953125	-2.85	-143.77	1.00
253.906250	-2.37	-139.73	1.00
255.859375	-2.20	-138.79	1.00
257.812500	-1.97	-137.57	1.00
259.765625	-1.19	-136.21	1.00
261.718750	-0.92	-136.68	1.00
263.671875	-0.60	-137.72	1.00
265.625000	-0.28	-138.43	1.00
267.578125	0.27	-140.12	1.00
269.531250	0.59	-142.15	1.00
271.484375	0.72	-142.48	1.00
273.437500	0.71	-143.38	1.00
275.390625	0.50	-145.15	1.00
277.343750	1.65	-144.07	1.00
281.250000	4.98	-135.21	1.00
285.156250	3.16	-157.78	1.00
289.062500	2.50	-169.92	0.98
292.968750	1.17	-179.46	1.00
296.875000	1.61	-179.83	0.99
300.781250	-0.95	-174.76	1.00
304.687500	-0.98	-174.59	1.00
308.593750	-1.28	-176.69	1.00
312.500000	-1.98	-177.73	1.00
316.406250	-2.05	-174.43	1.00
320.312500	-2.99	-170.16	1.00
324.218750	-2.87	-173.61	1.00
328.125000	-3.32	-165.30	1.00
332.031250	-3.40	-164.51	1.00
335.937500	-3.36	-160.72	1.00
339.843750	-2.94	-155.21	1.00
343.750000	-2.24	-153.32	1.00
347.656250	-2.77	-157.13	1.00
351.562500	-1.80	-157.02	1.00
355.468750	-2.08	-161.80	1.00
359.375000	-2.22	-161.53	1.00
363.281250	-1.98	-162.04	1.00
367.187500	-2.04	-155.59	1.00
371.093750	-2.10	-154.29	1.00
375.000000	-1.89	-153.54	1.00
378.906250	-2.00	-152.10	1.00
382.812500	-1.66	-150.16	1.00
386.718750	-0.92	-150.57	1.00
390.625000	-1.02	-154.89	1.00
394.531250	-0.75	-155.58	1.00
398.437500	-0.64	-157.20	1.00
402.343750	-1.44	-153.92	1.00
406.250000	-1.41	-151.28	1.00
410.156250	0.42	-146.27	0.99
414.062500	1.34	-152.49	0.99
417.968750	0.01	-160.86	1.00
421.875000	0.05	-161.93	1.00
425.781250	-0.22	-167.71	1.00
429.687500	-0.60	-167.96	1.00
433.593750	-1.00	-166.74	1.00
437.500000	-1.24	-164.51	1.00
441.406250	-1.28	-162.46	1.00
445.312500	-1.12	-161.74	1.00
449.218750	-1.07	-161.52	1.00
453.125000	-0.99	-161.27	1.00
457.031250	-0.80	-162.03	1.00
460.937500	-0.92	-162.00	1.00
464.843750	-0.84	-163.75	1.00
468.750000	-1.03	-163.72	1.00
472.656250	-1.44	-161.49	1.00
476.562500	-2.78	-161.20	1.00
480.468750	-0.24	-161.62	1.00
484.375000	0.17	-163.32	1.00
488.281250	-0.08	-167.96	1.00
492.187500	-0.82	-169.82	1.00
496.093750	-1.22	-170.33	1.00
500.000000	-1.54	-169.32	1.00
503.906250	-1.51	-168.17	1.00
507.812500	-1.62	-166.66	1.00
511.718750	-1.61	-166.55	1.00
515.625000	-1.70	-166.80	1.00
519.531250	-2.04	-166.16	1.00
523.437500	-1.96	-165.41	1.00
527.343750	-1.75	-162.53	1.00
531.250000	-1.22	-161.60	1.00
535.156250	-1.08	-165.19	1.00
539.062500	-1.97	-171.73	1.00
542.968750	-2.33	-173.22	1.00
546.875000	-2.71	-170.60	1.00
550.781250	-3.41	-162.76	1.00
554.687500	-4.75	-164.62	1.00
560.000000	-2.63	-156.93	1.00
568.000000	-1.98	-156.27	1.00
576.000000	-2.47	-155.21	1.00
584.000000	-0.49	-151.63	0.99
592.000000	0.02	-150.27	0.99
600.000000	0.34	-161.82	1.00
608.000000	0.30	-169.60	1.00
616.000000	-0.39	-162.13	1.00
624.000000	-1.05	-172.75	1.00
632.000000	-1.80	-172.02	1.00
640.000000	-2.96	-166.53	1.00
648.000000	-1.80	-160.48	0.99
656.000000	-0.76	-154.80	1.00
664.000000	-1.29	-158.88	1.00
672.000000	-1.17	-160.73	1.00
