	58 150g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-37.06	6.77	0.99
11.718750	-39.00	-23.82	0.98
12.695313	-38.90	-12.20	1.00
13.671875	-38.98	-15.77	0.99
14.648438	-36.74	-9.22	0.98
15.625000	-37.10	-18.04	0.97
16.601563	-31.84	16.86	1.00
17.578125	-31.47	9.30	1.00
18.554688	-34.34	7.85	0.97
19.531250	-28.22	-57.05	0.99
20.507813	-27.59	-31.68	1.00
21.484375	-26.71	-30.53	1.00
22.460938	-29.79	-30.45	1.00
23.437500	-28.22	-11.99	0.99
24.414063	-25.57	-26.44	0.99
25.390625	-27.50	-31.52	1.00
26.367188	-27.13	-27.51	0.95
27.343750	-28.56	-65.78	1.00
28.320313	-29.65	-78.93	0.99
29.296875	-34.24	-83.10	0.98
30.273438	-38.04	33.20	0.85
31.250000	-27.61	83.23	1.00
32.226563	-31.80	67.78	1.00
33.203125	-34.71	57.75	0.99
34.179688	-32.14	-43.35	0.96
35.156250	-27.56	-58.63	1.00
36.132813	-24.19	-91.55	0.99
37.109375	-21.11	-96.19	1.00
38.085938	-21.14	-118.28	0.98
39.062500	-16.23	-110.47	0.97
40.039063	-15.46	176.18	0.98
41.015625	-20.98	125.21	0.95
41.992188	-18.64	138.42	1.00
42.968750	-18.07	135.52	1.00
43.945313	-21.19	115.59	1.00
44.921875	-21.59	120.45	1.00
45.898438	-22.53	120.66	1.00
46.875000	-22.90	113.30	1.00
47.851563	-26.00	101.74	0.99
48.828125	-26.17	123.37	1.00
49.804688	-23.25	109.67	1.00
50.781250	-22.51	107.90	1.00
51.757813	-18.19	123.41	0.95
52.734375	-21.44	117.25	1.00
53.710938	-21.97	111.77	1.00
54.687500	-21.75	108.22	1.00
55.664063	-20.71	105.93	1.00
56.640625	-21.44	98.55	0.99
57.617188	-19.25	103.77	1.00
58.593750	-19.04	98.06	1.00
59.570313	-18.98	93.41	1.00
60.546875	-19.66	89.84	1.00
61.523438	-19.04	73.21	1.00
62.500000	-19.41	78.48	1.00
63.476563	-21.00	60.71	1.00
64.453125	-19.04	59.81	1.00
65.429688	-19.46	53.49	1.00
66.406250	-21.24	59.57	1.00
67.382813	-22.78	50.56	1.00
68.359375	-21.78	44.44	0.98
69.335938	-25.44	57.84	1.00
70.312500	-24.66	62.90	1.00
71.289063	-24.77	58.31	1.00
72.265625	-24.12	95.87	1.00
73.242188	-23.26	99.10	1.00
74.218750	-24.12	90.56	0.98
75.195313	-19.15	89.88	1.00
76.171875	-20.12	78.71	1.00
77.148438	-18.64	83.25	0.99
78.125000	-15.37	52.02	0.99
79.101563	-15.54	52.86	1.00
80.078125	-15.50	50.05	1.00
81.054688	-16.03	46.88	1.00
82.031250	-16.80	33.99	1.00
83.007813	-17.11	28.28	1.00
83.984375	-16.25	26.71	1.00
84.960938	-16.24	24.55	1.00
85.937500	-17.08	16.87	1.00
86.914063	-17.17	16.96	1.00
87.890625	-18.26	8.61	1.00
88.867188	-18.19	9.99	1.00
89.843750	-18.31	10.15	1.00
90.820313	-19.53	4.04	1.00
91.796875	-19.44	6.62	1.00
92.773438	-19.95	7.86	1.00
93.750000	-20.05	7.30	1.00
94.726563	-19.88	7.69	1.00
95.703125	-19.56	6.62	1.00
96.679688	-19.81	8.85	1.00
97.656250	-19.12	0.23	1.00
98.632813	-19.09	-1.33	1.00
99.609375	-19.32	-4.19	1.00
100.585938	-19.66	-3.87	1.00
101.562500	-20.09	-4.58	1.00
102.539063	-19.96	-1.97	1.00
103.515625	-19.66	-0.46	1.00
104.492188	-18.70	-0.79	1.00
105.468750	-18.04	-1.98	1.00
106.445313	-17.84	-6.56	1.00
107.421875	-16.18	-22.54	1.00
108.398438	-15.42	-26.05	1.00
109.375000	-16.37	-34.90	1.00
110.351563	-17.04	-57.53	0.99
111.328125	-17.08	-55.20	1.00
112.304688	-18.43	-45.03	0.99
113.281250	-18.20	-62.79	1.00
114.257813	-18.81	-66.21	1.00
115.234375	-19.73	-73.21	1.00
116.210938	-19.99	-74.78	1.00
117.187500	-19.89	-80.62	1.00
118.164063	-20.16	-88.17	1.00
119.140625	-20.80	-86.25	1.00
120.117188	-21.13	-85.83	1.00
121.093750	-21.92	-91.20	1.00
122.070313	-22.20	-90.62	1.00
123.046875	-21.91	-96.51	1.00
124.023438	-21.65	-97.33	1.00
125.000000	-21.84	-101.15	1.00
125.976563	-21.60	-110.39	1.00
126.953125	-20.76	-110.46	1.00
127.929688	-20.21	-109.17	0.98
128.906250	-20.00	-128.95	0.97
129.882813	-20.58	-133.43	1.00
130.859375	-20.62	-139.16	1.00
131.835938	-20.53	-145.49	1.00
132.812500	-20.53	-151.54	1.00
133.789063	-21.07	-159.06	1.00
134.765625	-21.63	-166.07	1.00
135.742188	-21.63	-173.10	1.00
136.718750	-21.27	176.40	0.99
137.695313	-25.01	167.79	0.99
138.671875	-24.36	168.28	1.00
140.625000	-24.11	173.02	1.00
142.578125	-22.90	-177.05	1.00
144.531250	-22.92	178.75	1.00
146.484375	-23.62	175.84	0.96
148.437500	-18.68	170.07	1.00
150.390625	-18.46	170.08	1.00
152.343750	-15.23	103.47	0.85
154.296875	-16.01	132.15	1.00
156.250000	-16.25	134.15	1.00
158.203125	-15.21	112.67	0.96
160.156250	-14.74	105.83	1.00
162.109375	-15.57	101.22	1.00
164.062500	-14.05	86.61	0.99
166.015625	-13.42	65.12	1.00
167.968750	-14.58	60.99	0.99
169.921875	-15.78	42.15	1.00
171.875000	-16.10	40.26	0.98
173.828125	-17.76	19.64	1.00
175.781250	-17.84	15.36	1.00
177.734375	-20.79	6.24	0.99
179.687500	-20.37	-7.74	0.95
181.640625	-22.73	-39.11	1.00
183.593750	-18.51	19.89	0.80
185.546875	-26.62	-108.12	1.00
187.500000	-20.46	-152.53	0.67
189.453125	-22.57	-170.34	0.95
191.406250	-19.69	157.91	0.96
193.359375	-16.26	130.94	0.94
195.312500	-16.39	130.23	0.98
197.265625	-14.78	110.49	1.00
199.218750	-14.07	107.73	1.00
201.171875	-13.17	100.34	1.00
203.125000	-12.78	86.93	1.00
205.078125	-11.33	75.50	1.00
207.031250	-11.40	67.52	1.00
208.984375	-11.60	64.41	0.99
210.937500	-10.62	42.54	1.00
212.890625	-10.09	14.08	0.97
214.843750	-10.28	17.19	1.00
216.796875	-11.02	-6.01	0.99
218.750000	-11.55	-18.71	1.00
220.703125	-12.58	-23.65	1.00
222.656250	-16.67	-41.42	0.96
224.609375	-17.72	-42.33	1.00
226.562500	-17.90	-48.96	1.00
228.515625	-17.78	-51.06	0.98
230.468750	-21.92	-51.87	0.99
232.421875	-22.34	-76.87	1.00
234.375000	-22.90	-82.87	1.00
236.328125	-23.03	-93.37	1.00
238.281250	-22.19	-104.06	0.99
240.234375	-20.37	-135.02	0.94
242.187500	-18.63	-156.91	0.99
244.140625	-19.20	-166.78	1.00
246.093750	-19.34	179.38	0.99
248.046875	-17.84	161.74	1.00
250.000000	-17.79	152.68	1.00
251.953125	-17.48	132.14	0.99
253.906250	-16.38	127.20	1.00
255.859375	-15.14	127.13	0.99
257.812500	-13.66	119.72	1.00
259.765625	-13.11	110.88	0.99
261.718750	-12.15	102.82	1.00
263.671875	-10.89	91.75	1.00
265.625000	-10.98	87.99	1.00
