	58 135g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-33.57	-144.81	0.98
11.718750	-45.64	-30.13	0.86
12.695313	-38.29	-26.13	1.00
13.671875	-38.66	-23.28	0.96
14.648438	-33.60	-26.49	0.99
15.625000	-31.30	-43.68	0.96
16.601563	-29.90	-5.35	1.00
17.578125	-31.54	-6.41	1.00
18.554688	-31.78	-8.99	1.00
19.531250	-30.49	-27.27	0.98
20.507813	-29.87	-22.49	1.00
21.484375	-29.26	-16.55	1.00
22.460938	-28.98	-9.59	1.00
23.437500	-30.80	-17.88	1.00
24.414063	-28.33	-0.57	1.00
25.390625	-29.45	-26.24	0.99
26.367188	-28.86	-28.87	0.99
27.343750	-33.10	-57.92	0.66
28.320313	-26.99	-81.84	0.99
29.296875	-26.05	-90.87	0.99
30.273438	-26.72	-46.46	0.98
31.250000	-27.41	12.08	0.98
32.226563	-26.27	114.49	0.74
33.203125	-23.72	-13.75	0.98
34.179688	-25.52	-21.46	1.00
35.156250	-20.58	-19.44	0.98
36.132813	-17.99	-41.52	1.00
37.109375	-17.69	-90.43	0.97
38.085938	-22.49	-140.74	0.99
39.062500	-19.41	-147.18	1.00
40.039063	-18.81	-142.63	1.00
41.015625	-19.46	122.60	0.80
41.992188	-20.76	149.80	1.00
42.968750	-27.73	132.34	0.98
43.945313	-25.52	115.83	1.00
44.921875	-26.70	117.01	1.00
45.898438	-27.53	104.51	1.00
46.875000	-27.49	95.31	0.99
47.851563	-31.61	115.28	0.98
48.828125	-27.31	132.06	0.99
49.804688	-21.57	130.67	0.91
50.781250	-29.96	133.46	0.98
51.757813	-31.75	111.60	1.00
52.734375	-31.18	109.56	1.00
53.710938	-30.68	101.03	1.00
54.687500	-27.74	97.93	1.00
55.664063	-27.16	89.66	1.00
56.640625	-26.88	88.88	1.00
57.617188	-24.01	96.51	0.99
58.593750	-23.50	86.48	0.99
59.570313	-25.07	54.74	1.00
60.546875	-25.23	51.01	1.00
61.523438	-25.19	53.12	1.00
62.500000	-24.36	27.84	1.00
63.476563	-24.72	27.18	1.00
64.453125	-25.75	17.28	1.00
65.429688	-25.92	26.55	0.99
66.406250	-28.81	-0.65	1.00
67.382813	-27.24	-7.00	0.99
68.359375	-29.88	22.51	1.00
69.335938	-28.20	19.94	0.99
70.312500	-31.18	-3.73	1.00
71.289063	-31.27	7.70	1.00
72.265625	-34.59	29.57	1.00
73.242188	-34.98	50.29	0.99
74.218750	-31.30	57.23	0.99
75.195313	-29.01	65.65	0.98
76.171875	-22.37	53.83	0.97
77.148438	-20.42	46.64	1.00
78.125000	-19.15	44.47	1.00
79.101563	-19.50	29.52	1.00
80.078125	-19.27	18.57	1.00
81.054688	-19.00	7.62	1.00
82.031250	-18.30	6.31	1.00
83.007813	-18.52	-14.02	1.00
83.984375	-18.58	-12.50	1.00
84.960938	-18.59	-16.37	1.00
85.937500	-18.53	-12.02	0.99
86.914063	-18.45	-29.08	1.00
87.890625	-18.54	-32.39	1.00
88.867188	-18.80	-36.71	1.00
89.843750	-18.90	-44.81	1.00
90.820313	-19.12	-48.59	1.00
91.796875	-20.18	-50.35	1.00
92.773438	-20.72	-52.55	1.00
93.750000	-20.69	-53.00	1.00
94.726563	-20.71	-53.32	1.00
95.703125	-19.54	-58.26	1.00
96.679688	-20.61	-57.68	1.00
97.656250	-20.52	-57.96	1.00
98.632813	-20.60	-56.15	1.00
99.609375	-22.20	-59.56	1.00
