	58 75g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-42.31	-38.47	0.90
11.718750	-38.62	-30.06	0.63
12.695313	-36.63	52.32	0.97
13.671875	-39.10	-11.64	0.92
14.648438	-33.18	-16.80	0.98
15.625000	-35.63	-5.36	0.94
16.601563	-38.58	-10.71	0.92
17.578125	-35.97	-14.99	0.98
18.554688	-31.63	-3.91	0.93
19.531250	-30.87	-13.84	0.95
20.507813	-31.50	-25.00	0.95
21.484375	-28.36	-12.04	0.97
22.460938	-28.27	-23.54	0.99
23.437500	-30.59	-45.32	0.93
24.414063	-28.25	-9.20	0.98
25.390625	-27.32	-21.38	0.98
26.367188	-27.89	-27.99	0.97
27.343750	-27.02	-39.97	0.97
28.320313	-24.19	-53.43	0.97
29.296875	-25.92	-43.85	0.95
30.273438	-29.23	-49.00	0.82
31.250000	-22.46	-41.66	0.96
32.226563	-19.04	5.25	0.99
33.203125	-18.62	-21.29	1.00
34.179688	-17.69	-46.09	0.98
35.156250	-17.54	-43.61	1.00
36.132813	-18.71	-33.65	0.95
37.109375	-17.96	-25.20	1.00
38.085938	-17.25	-19.93	1.00
39.062500	-15.60	-45.03	1.00
40.039063	-15.75	-45.80	1.00
41.015625	-15.78	-47.85	1.00
41.992188	-15.51	-50.67	1.00
42.968750	-14.93	-51.56	1.00
43.945313	-15.02	-50.27	1.00
44.921875	-14.60	-52.68	1.00
45.898438	-14.18	-54.26	1.00
46.875000	-13.93	-55.76	1.00
47.851563	-13.43	-54.57	1.00
48.828125	-12.16	-60.47	1.00
49.804688	-12.74	-55.27	1.00
50.781250	-12.53	-55.59	1.00
51.757813	-12.57	-57.66	1.00
52.734375	-12.65	-57.61	0.99
53.710938	-11.76	-61.79	1.00
54.687500	-11.73	-63.21	1.00
55.664063	-11.78	-63.27	1.00
56.640625	-11.29	-64.18	1.00
57.617188	-11.32	-64.13	1.00
58.593750	-10.80	-62.37	1.00
59.570313	-10.50	-57.48	1.00
60.546875	-9.70	-70.87	1.00
61.523438	-9.16	-72.34	1.00
62.500000	-8.98	-74.70	1.00
63.476563	-8.84	-75.15	1.00
64.453125	-8.83	-78.71	1.00
65.429688	-8.98	-77.78	1.00
66.406250	-9.16	-83.92	1.00
67.382813	-9.08	-83.79	1.00
68.359375	-9.08	-84.13	1.00
69.335938	-9.42	-84.30	1.00
70.312500	-9.57	-81.13	1.00
71.289063	-9.05	-81.46	1.00
72.265625	-9.48	-80.49	1.00
73.242188	-8.24	-78.31	1.00
74.218750	-8.35	-77.28	1.00
75.195313	-8.24	-79.23	1.00
76.171875	-7.07	-82.26	1.00
77.148438	-7.19	-80.21	1.00
78.125000	-6.76	-87.53	1.00
79.101563	-6.50	-88.76	1.00
80.078125	-6.40	-87.22	1.00
81.054688	-6.14	-91.70	1.00
82.031250	-6.44	-92.06	1.00
83.007813	-6.39	-91.05	1.00
83.984375	-6.11	-93.95	1.00
84.960938	-6.01	-94.58	1.00
85.937500	-5.95	-94.88	1.00
86.914063	-5.72	-96.90	1.00
87.890625	-5.84	-97.21	1.00
88.867188	-5.46	-100.46	1.00
89.843750	-5.48	-99.35	1.00
90.820313	-5.27	-105.24	1.00
91.796875	-5.41	-104.02	1.00
92.773438	-5.10	-106.58	1.00
93.750000	-5.21	-105.30	1.00
94.726563	-5.24	-105.23	1.00
95.703125	-4.84	-109.18	1.00
96.679688	-4.99	-110.21	1.00
97.656250	-4.81	-112.59	1.00
98.632813	-4.75	-113.05	1.00
99.609375	-4.71	-112.83	1.00
100.585938	-4.75	-115.84	1.00
101.562500	-4.89	-116.87	1.00
102.539063	-4.91	-118.40	1.00
103.515625	-4.94	-119.84	1.00
104.492188	-4.88	-120.60	1.00
105.468750	-4.94	-120.99	1.00
106.445313	-5.13	-124.76	1.00
107.421875	-5.20	-126.04	1.00
108.398438	-5.14	-125.84	1.00
109.375000	-5.91	-123.90	1.00
110.351563	-5.86	-123.85	1.00
111.328125	-5.79	-123.73	1.00
112.304688	-5.57	-123.44	1.00
113.281250	-5.51	-123.55	1.00
114.257813	-5.47	-123.77	1.00
115.234375	-5.38	-125.49	1.00
116.210938	-5.40	-125.52	1.00
117.187500	-5.43	-126.07	1.00
118.164063	-5.46	-126.74	1.00
119.140625	-5.47	-126.90	1.00
120.117188	-5.41	-127.27	1.00
121.093750	-5.42	-127.39	1.00
122.070313	-5.38	-127.89	1.00
123.046875	-5.44	-128.24	1.00
124.023438	-5.44	-128.73	1.00
125.000000	-5.42	-128.98	1.00
125.976563	-5.38	-129.95	1.00
126.953125	-5.36	-129.90	1.00
127.929688	-5.37	-130.07	1.00
128.906250	-5.34	-130.14	1.00
129.882813	-5.28	-130.46	1.00
130.859375	-5.24	-131.17	1.00
131.835938	-5.27	-131.63	1.00
132.812500	-5.26	-132.01	1.00
133.789063	-5.27	-132.60	1.00
134.765625	-5.28	-132.66	1.00
135.742188	-5.27	-132.85	1.00
136.718750	-5.24	-132.92	1.00
137.695313	-5.18	-133.14	1.00
138.671875	-5.03	-134.84	1.00
140.625000	-5.10	-135.11	1.00
142.578125	-5.10	-135.91	1.00
144.531250	-5.26	-137.50	1.00
