	58 90g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-40.93	-125.51	0.88
11.718750	-40.82	-116.00	0.87
12.695313	-40.16	-8.65	0.97
13.671875	-39.58	-49.40	0.98
14.648438	-35.99	-39.89	0.95
15.625000	-35.44	-19.49	0.97
16.601563	-34.75	-12.78	1.00
17.578125	-34.77	-9.70	1.00
18.554688	-31.95	-8.93	0.99
19.531250	-31.14	-16.20	0.99
20.507813	-30.74	-20.06	1.00
21.484375	-30.07	-15.21	1.00
22.460938	-26.47	-11.76	0.99
23.437500	-27.65	-18.01	0.99
24.414063	-27.60	-17.41	1.00
25.390625	-27.64	-26.41	0.99
26.367188	-27.49	-40.54	1.00
27.343750	-27.47	-38.72	1.00
28.320313	-28.69	-29.53	0.99
29.296875	-27.60	-9.99	1.00
30.273438	-26.88	-12.19	1.00
31.250000	-27.61	-5.20	1.00
32.226563	-21.56	-0.62	0.99
33.203125	-20.60	-27.55	1.00
34.179688	-20.08	-29.82	1.00
35.156250	-19.96	-37.35	1.00
36.132813	-18.90	-43.01	1.00
37.109375	-20.09	-54.68	1.00
38.085938	-19.47	-61.54	1.00
39.062500	-19.70	-68.45	1.00
40.039063	-20.02	-72.13	1.00
41.015625	-25.32	-21.43	0.87
41.992188	-22.70	-47.89	1.00
42.968750	-22.89	-43.43	1.00
43.945313	-21.15	-43.26	1.00
44.921875	-18.93	-51.41	1.00
45.898438	-19.21	-50.13	1.00
46.875000	-19.62	-50.51	1.00
47.851563	-18.21	-60.01	1.00
48.828125	-18.05	-61.91	1.00
49.804688	-19.38	-64.19	1.00
50.781250	-18.92	-58.44	1.00
51.757813	-16.95	-58.80	1.00
52.734375	-16.61	-56.70	1.00
53.710938	-16.55	-60.73	1.00
54.687500	-16.82	-61.82	1.00
55.664063	-16.87	-60.38	1.00
56.640625	-16.67	-60.18	1.00
57.617188	-16.14	-61.43	1.00
58.593750	-15.67	-59.52	1.00
59.570313	-14.14	-63.24	1.00
60.546875	-13.61	-60.26	1.00
61.523438	-13.36	-61.50	1.00
62.500000	-12.52	-76.43	0.99
63.476563	-12.67	-71.97	1.00
64.453125	-12.81	-77.31	1.00
65.429688	-13.09	-78.20	1.00
66.406250	-13.22	-80.05	1.00
67.382813	-13.46	-80.67	1.00
68.359375	-13.58	-80.82	1.00
69.335938	-13.65	-80.15	1.00
70.312500	-13.57	-79.20	1.00
71.289063	-13.69	-78.50	1.00
72.265625	-13.37	-75.74	1.00
73.242188	-13.33	-76.16	1.00
74.218750	-12.74	-76.11	1.00
75.195313	-12.68	-76.34	1.00
76.171875	-12.21	-75.49	1.00
77.148438	-11.74	-74.47	1.00
78.125000	-10.46	-79.10	1.00
79.101563	-10.96	-78.61	1.00
80.078125	-10.63	-78.64	1.00
81.054688	-10.47	-80.66	1.00
82.031250	-10.35	-82.23	1.00
83.007813	-10.16	-83.75	1.00
83.984375	-10.10	-79.81	1.00
84.960938	-9.55	-85.65	1.00
85.937500	-9.38	-87.53	1.00
86.914063	-9.13	-89.57	1.00
87.890625	-9.65	-90.64	1.00
88.867188	-8.98	-93.49	1.00
89.843750	-9.09	-96.97	1.00
90.820313	-8.87	-96.81	1.00
91.796875	-8.68	-98.95	1.00
92.773438	-8.42	-99.73	1.00
93.750000	-8.44	-100.62	1.00
94.726563	-8.42	-100.14	1.00
95.703125	-8.24	-105.17	1.00
96.679688	-8.22	-105.96	1.00
97.656250	-8.37	-109.17	1.00
98.632813	-8.05	-110.87	1.00
99.609375	-8.18	-112.58	1.00
100.585938	-8.12	-113.66	1.00
101.562500	-8.52	-114.74	1.00
102.539063	-8.55	-114.72	1.00
103.515625	-8.69	-116.18	1.00
104.492188	-8.63	-116.48	1.00
105.468750	-8.76	-118.02	1.00
106.445313	-8.82	-118.51	1.00
107.421875	-9.32	-118.69	1.00
108.398438	-9.29	-117.04	1.00
109.375000	-9.17	-115.46	1.00
110.351563	-8.68	-115.25	1.00
111.328125	-8.54	-115.24	1.00
112.304688	-8.51	-116.14	1.00
113.281250	-8.21	-118.55	1.00
114.257813	-8.07	-119.13	1.00
115.234375	-7.98	-119.83	1.00
116.210938	-7.98	-121.19	1.00
117.187500	-8.01	-122.74	1.00
118.164063	-8.03	-123.91	1.00
119.140625	-8.10	-126.29	1.00
120.117188	-7.94	-125.97	1.00
121.093750	-7.90	-126.45	1.00
122.070313	-7.95	-127.47	1.00
123.046875	-7.98	-128.23	1.00
124.023438	-7.99	-128.40	1.00
125.000000	-7.96	-128.46	1.00
125.976563	-7.91	-128.79	1.00
126.953125	-7.89	-129.80	1.00
127.929688	-7.87	-130.30	1.00
128.906250	-7.83	-130.65	1.00
129.882813	-7.79	-132.34	1.00
130.859375	-7.96	-133.88	1.00
131.835938	-7.90	-134.47	1.00
132.812500	-7.85	-134.69	1.00
133.789063	-7.89	-136.31	1.00
134.765625	-8.23	-138.02	1.00
135.742188	-8.07	-137.08	1.00
136.718750	-8.05	-137.02	1.00
137.695313	-8.02	-137.29	1.00
138.671875	-8.04	-137.31	1.00
140.625000	-8.04	-138.76	1.00
142.578125	-7.92	-139.05	1.00
144.531250	-8.04	-141.99	1.00
146.484375	-8.10	-141.66	1.00
148.437500	-8.05	-143.18	1.00
150.390625	-7.99	-145.50	1.00
152.343750	-8.13	-145.27	1.00
