	58 120g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-38.38	1.22	1.00
11.718750	-41.37	1.48	0.99
12.695313	-39.53	-4.79	1.00
13.671875	-36.58	-4.56	1.00
14.648438	-35.63	-15.81	1.00
15.625000	-35.40	-18.40	1.00
16.601563	-31.42	-31.09	0.99
17.578125	-31.82	-21.62	1.00
18.554688	-31.17	-17.36	1.00
19.531250	-32.81	-36.49	1.00
20.507813	-30.06	-19.24	1.00
21.484375	-32.27	-25.76	0.99
22.460938	-28.51	-29.15	1.00
23.437500	-28.15	-28.32	1.00
24.414063	-27.24	-39.71	1.00
25.390625	-27.08	-40.70	1.00
26.367188	-28.39	-39.77	0.97
27.343750	-27.39	-35.44	1.00
28.320313	-28.92	-57.82	0.98
29.296875	-23.09	21.07	0.98
30.273438	-27.33	10.86	0.98
31.250000	-28.91	-20.80	1.00
32.226563	-30.22	-25.72	0.99
33.203125	-26.06	-31.24	1.00
34.179688	-25.48	-32.60	1.00
35.156250	-22.59	-47.61	0.99
36.132813	-21.17	-73.74	1.00
37.109375	-20.75	-80.64	1.00
38.085938	-20.35	-86.80	1.00
39.062500	-17.97	-152.23	0.98
40.039063	-27.95	9.63	0.37
41.015625	-28.88	179.86	1.00
41.992188	-28.76	167.34	0.99
42.968750	-17.85	155.95	0.61
43.945313	-40.70	-7.64	0.95
44.921875	*	*	*
45.898438	-35.08	93.37	0.88
46.875000	-34.70	-16.21	0.98
47.851563	-36.36	-89.30	0.93
48.828125	-23.83	128.73	0.83
49.804688	-30.06	94.95	0.83
50.781250	-32.76	-34.46	0.99
51.757813	-25.26	-29.00	0.92
52.734375	-31.90	-84.92	1.00
53.710938	-30.89	-67.79	1.00
54.687500	-31.03	-47.44	1.00
55.664063	-32.11	-38.53	1.00
56.640625	-28.52	-7.75	0.97
57.617188	-31.09	-8.77	0.99
58.593750	-20.34	5.82	0.89
59.570313	-26.70	-37.26	0.97
60.546875	-22.17	-20.91	1.00
61.523438	-21.44	-37.25	1.00
62.500000	-21.99	-40.64	1.00
63.476563	-22.15	-43.61	1.00
64.453125	-22.23	-59.15	1.00
65.429688	-22.33	-60.67	1.00
66.406250	-22.85	-62.25	1.00
67.382813	-23.70	-63.34	1.00
68.359375	-23.69	-62.12	1.00
69.335938	-23.33	-61.04	1.00
70.312500	-22.97	-59.26	1.00
71.289063	-23.01	-62.25	1.00
72.265625	-23.21	-61.02	1.00
73.242188	-24.23	-54.04	1.00
74.218750	-24.64	-59.02	1.00
75.195313	-24.58	-46.96	1.00
76.171875	-23.04	-46.75	1.00
77.148438	-19.88	-39.95	1.00
78.125000	-19.54	-39.41	1.00
79.101563	-18.70	-38.46	1.00
80.078125	-18.27	-43.45	1.00
81.054688	-18.04	-45.57	1.00
82.031250	-16.29	-53.65	1.00
83.007813	-16.80	-53.40	1.00
83.984375	-16.71	-53.70	1.00
84.960938	-15.29	-65.46	1.00
85.937500	-15.57	-62.26	1.00
86.914063	-14.65	-69.76	1.00
87.890625	-15.15	-68.14	1.00
88.867188	-14.91	-81.91	0.99
89.843750	-15.10	-79.54	1.00
90.820313	-15.40	-75.85	1.00
91.796875	-15.03	-87.71	1.00
92.773438	-15.01	-88.43	1.00
93.750000	-14.53	-87.70	0.99
94.726563	-15.79	-90.28	1.00
95.703125	-16.30	-91.35	1.00
96.679688	-16.38	-92.66	1.00
97.656250	-15.98	-87.72	1.00
98.632813	-16.10	-83.60	1.00
99.609375	-15.38	-81.03	1.00
100.585938	-14.86	-83.53	1.00
101.562500	-14.66	-86.14	1.00
102.539063	-14.21	-85.82	1.00
103.515625	-13.97	-89.74	1.00
104.492188	-13.97	-89.46	1.00
105.468750	-13.49	-95.09	0.99
106.445313	-13.76	-95.11	1.00
107.421875	-13.82	-94.96	1.00
108.398438	-13.49	-96.72	1.00
109.375000	-13.22	-95.60	1.00
110.351563	-12.76	-101.72	1.00
111.328125	-12.72	-102.52	1.00
112.304688	-12.52	-104.52	1.00
