	58 15g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-44.81	-92.20	0.57
11.718750	-37.82	-33.52	0.68
12.695313	-39.45	41.18	0.51
13.671875	-35.03	-20.49	0.94
14.648438	-38.61	7.60	0.88
15.625000	-35.60	-38.66	0.84
16.601563	-36.86	-10.46	0.94
17.578125	-36.23	-18.74	0.96
18.554688	-34.74	1.87	0.86
19.531250	-31.82	-23.18	0.92
20.507813	-31.17	-13.95	0.97
21.484375	-33.36	4.59	0.71
22.460938	-27.43	-10.94	0.99
23.437500	-27.19	-40.35	0.98
24.414063	-24.94	-12.38	0.97
25.390625	-27.55	-31.99	0.98
26.367188	-25.69	-19.31	0.97
27.343750	-23.28	-16.29	0.95
28.320313	-19.07	-17.03	0.99
29.296875	-19.42	-15.17	1.00
30.273438	-18.43	-12.90	1.00
31.250000	-19.47	-6.94	0.99
32.226563	-13.44	-30.10	0.99
33.203125	-15.15	-28.06	1.00
34.179688	-14.89	-31.20	1.00
35.156250	-14.38	-30.02	1.00
36.132813	-14.98	-26.09	1.00
37.109375	-13.82	-19.97	1.00
38.085938	-13.78	-24.68	1.00
39.062500	-12.81	-34.82	1.00
40.039063	-11.05	-28.18	1.00
41.015625	-10.06	-46.92	1.00
41.992188	-9.86	-46.82	1.00
42.968750	-10.07	-49.22	1.00
43.945313	-10.22	-50.05	1.00
44.921875	-10.15	-50.86	1.00
45.898438	-9.00	-55.08	1.00
46.875000	-9.70	-55.13	1.00
47.851563	-9.40	-51.97	1.00
48.828125	-7.45	-44.99	0.99
49.804688	-6.85	-69.73	0.99
50.781250	-8.42	-60.25	1.00
51.757813	-8.20	-61.07	1.00
52.734375	-8.21	-59.85	1.00
53.710938	-7.48	-62.70	1.00
54.687500	-7.56	-62.52	1.00
55.664063	-6.91	-64.76	1.00
56.640625	-7.36	-65.40	1.00
57.617188	-6.46	-68.52	1.00
58.593750	-6.47	-67.03	1.00
59.570313	-5.98	-66.28	1.00
