	58 30g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-41.00	-18.06	0.88
11.718750	-40.79	-41.15	0.59
12.695313	-36.71	-0.31	0.93
13.671875	-37.99	-31.73	0.89
14.648438	-32.94	-30.35	0.97
15.625000	-35.41	-23.17	0.93
16.601563	-37.96	-17.43	0.93
17.578125	-37.83	-40.00	0.96
18.554688	-31.47	3.20	0.75
19.531250	-31.28	-5.91	0.88
20.507813	-31.21	-10.87	0.95
21.484375	-26.84	5.54	0.96
22.460938	-27.46	-19.42	0.96
23.437500	-25.47	-34.74	0.95
24.414063	-26.52	-64.46	0.96
25.390625	-28.19	1.39	0.90
26.367188	-27.43	-22.85	0.98
27.343750	-24.34	-32.17	0.98
28.320313	-28.87	-41.18	0.81
29.296875	-21.12	-23.36	0.98
30.273438	-17.38	-37.20	1.00
31.250000	-17.42	-59.85	0.87
32.226563	-18.13	32.10	0.94
33.203125	-14.90	-3.98	1.00
34.179688	-17.33	-43.70	0.98
35.156250	-16.02	-40.07	1.00
36.132813	-14.41	-26.27	0.99
37.109375	-16.82	-13.54	0.99
38.085938	-12.77	-6.88	0.99
39.062500	-11.39	-30.69	1.00
40.039063	-11.32	-35.05	1.00
41.015625	-11.13	-40.10	1.00
41.992188	-10.04	-48.26	1.00
42.968750	-10.76	-51.09	1.00
43.945313	-10.73	-50.54	1.00
44.921875	-9.90	-55.25	1.00
45.898438	-10.25	-54.64	1.00
46.875000	-10.18	-54.89	1.00
47.851563	-10.31	-54.48	1.00
48.828125	-9.18	-61.45	1.00
49.804688	-9.34	-58.97	1.00
50.781250	-8.83	-55.39	1.00
51.757813	-8.93	-58.52	1.00
52.734375	-9.11	-59.69	1.00
53.710938	-8.30	-61.53	1.00
54.687500	-7.56	-63.98	1.00
55.664063	-7.76	-64.67	1.00
56.640625	-7.59	-67.03	1.00
57.617188	-7.50	-67.88	1.00
58.593750	-7.26	-67.48	1.00
59.570313	-8.85	-63.95	0.99
60.546875	-6.24	-72.74	1.00
61.523438	-5.74	-74.07	1.00
62.500000	-5.80	-77.84	1.00
63.476563	-5.83	-77.68	1.00
64.453125	-5.91	-81.91	1.00
65.429688	-6.12	-80.86	1.00
66.406250	-5.80	-83.37	1.00
67.382813	-5.63	-85.16	1.00
68.359375	-5.81	-84.79	1.00
69.335938	-6.02	-85.52	1.00
70.312500	-6.08	-81.89	1.00
71.289063	-5.85	-82.42	1.00
72.265625	-5.89	-83.15	1.00
73.242188	-5.08	-81.53	1.00
74.218750	-5.07	-78.23	1.00
75.195313	-4.70	-81.61	1.00
76.171875	-4.02	-84.06	1.00
77.148438	-4.05	-83.41	1.00
78.125000	-3.27	-91.86	1.00
79.101563	-3.20	-89.74	1.00
80.078125	-3.19	-88.94	1.00
81.054688	-2.81	-96.78	1.00
82.031250	-2.88	-95.27	1.00
83.007813	-3.28	-96.60	1.00
83.984375	-2.93	-98.14	1.00
84.960938	-2.88	-99.19	1.00
85.937500	-2.92	-99.19	1.00
86.914063	-2.63	-100.55	1.00
87.890625	-2.84	-101.34	1.00
88.867188	-2.61	-103.62	1.00
89.843750	-2.69	-102.88	1.00
90.820313	-2.44	-107.07	1.00
91.796875	-2.41	-106.72	1.00
92.773438	-2.35	-109.68	1.00
93.750000	-2.16	-108.78	1.00
94.726563	-2.17	-109.06	1.00
95.703125	-1.85	-115.58	1.00
96.679688	-1.97	-115.10	1.00
97.656250	-1.90	-117.44	1.00
98.632813	-1.94	-118.66	1.00
99.609375	-2.01	-117.83	1.00
100.585938	-2.35	-121.57	1.00
101.562500	-2.42	-121.78	1.00
102.539063	-2.53	-122.35	1.00
103.515625	-2.61	-122.74	1.00
104.492188	-2.64	-123.02	1.00
105.468750	-2.70	-123.48	1.00
106.445313	-2.77	-125.10	1.00
107.421875	-2.78	-126.09	1.00
108.398438	-2.92	-125.68	1.00
109.375000	-3.28	-125.50	1.00
110.351563	-3.27	-125.48	1.00
111.328125	-3.24	-125.34	1.00
112.304688	-3.21	-125.10	1.00
113.281250	-3.17	-125.09	1.00
114.257813	-3.16	-125.22	1.00
115.234375	-3.15	-125.86	1.00
116.210938	-3.11	-125.99	1.00
117.187500	-3.14	-126.39	1.00
118.164063	-3.26	-127.11	1.00
119.140625	-3.26	-126.54	1.00
120.117188	-3.19	-126.84	1.00
121.093750	-3.14	-126.69	1.00
122.070313	-3.08	-126.89	1.00
123.046875	-3.09	-126.97	1.00
124.023438	-3.09	-127.22	1.00
125.000000	-3.09	-127.48	1.00
125.976563	-3.15	-128.17	1.00
126.953125	-3.11	-128.28	1.00
127.929688	-3.07	-127.86	1.00
128.906250	-3.09	-127.68	1.00
129.882813	-3.06	-127.52	1.00
130.859375	-2.99	-127.54	1.00
131.835938	-2.95	-127.68	1.00
132.812500	-2.90	-127.76	1.00
133.789063	-2.78	-127.89	1.00
134.765625	-2.75	-127.92	1.00
135.742188	-2.68	-128.22	1.00
136.718750	-2.53	-128.87	1.00
137.695313	-2.01	-131.14	1.00
138.671875	-2.48	-131.13	1.00
140.625000	-2.25	-130.68	1.00
142.578125	-2.48	-132.78	1.00
144.531250	-2.40	-132.49	1.00
146.484375	-2.53	-133.68	1.00
148.437500	-2.64	-132.74	1.00
150.390625	-2.50	-132.24	1.00
152.343750	-2.46	-132.23	1.00
154.296875	-2.36	-132.33	1.00
156.250000	-2.01	-133.16	1.00
158.203125	-1.99	-133.01	1.00
160.156250	-1.89	-134.36	1.00
162.109375	-1.74	-134.68	1.00
164.062500	-1.69	-135.05	1.00
166.015625	-1.35	-138.28	1.00
167.968750	-1.14	-138.76	1.00
169.921875	-1.19	-142.82	1.00
171.875000	-1.53	-144.40	1.00
173.828125	-1.66	-145.22	1.00
175.781250	-2.56	-146.68	1.00
