Smoothed Frequency Response
Resolution = 1/3 octave
Numpoints = 720
SamplingRate = 48000 Hz
Frequency(Hz)   Magnitude(dB)
   51.474	 -28.9546
   52.115	 -28.8857
   52.764	 -28.8283
   53.420	 -28.7803
   54.085	 -28.7395
   54.759	 -28.7038
   55.440	 -28.6715
   56.131	 -28.6407
   56.829	 -28.6096
   57.537	 -28.5763
   58.253	 -28.5389
   58.978	 -28.4949
   59.712	 -28.4424
   60.456	 -28.3802
   61.208	 -28.3068
   61.970	 -28.2223
   62.742	 -28.1276
   63.523	 -28.0238
   64.314	 -27.9120
   65.114	 -27.7937
   65.925	 -27.6709
   66.745	 -27.5456
   67.576	 -27.4184
   68.418	 -27.2893
   69.269	 -27.1581
   70.132	 -27.0253
   71.005	 -26.8927
   71.889	 -26.7617
   72.784	 -26.6316
   73.690	 -26.5006
   74.607	 -26.3676
   75.536	 -26.2323
   76.476	 -26.0946
   77.428	 -25.9547
   78.392	 -25.8130
   79.368	 -25.6702
   80.356	 -25.5267
   81.356	 -25.3831
   82.369	 -25.2394
   83.394	 -25.0956
   84.433	 -24.9514
   85.484	 -24.8066
   86.548	 -24.6611
   87.625	 -24.5146
   88.716	 -24.3677
   89.820	 -24.2205
   90.939	 -24.0733
   92.071	 -23.9266
   93.217	 -23.7818
   94.377	 -23.6441
   95.552	 -23.5160
   96.742	 -23.3963
   97.946	 -23.2837
   99.165	 -23.1773
  100.400	 -23.0757
  101.650	 -22.9785
  102.915	 -22.8858
  104.196	 -22.7981
  105.493	 -22.7158
  106.806	 -22.6396
  108.136	 -22.5703
  109.482	 -22.5082
  110.845	 -22.4537
  112.225	 -22.4068
  113.622	 -22.3675
  115.037	 -22.3362
  116.469	 -22.3124
  117.919	 -22.2934
  119.386	 -22.2783
  120.873	 -22.2674
  122.377	 -22.2592
  123.901	 -22.2551
  125.443	 -22.2585
  127.005	 -22.2704
  128.586	 -22.2894
  130.187	 -22.3158
  131.807	 -22.3497
  133.448	 -22.3894
  135.109	 -22.4343
  136.791	 -22.4840
  138.494	 -22.5387
  140.218	 -22.5979
  141.964	 -22.6598
  143.731	 -22.7254
  145.520	 -22.7944
  147.332	 -22.8656
  149.166	 -22.9380
  151.023	 -23.0124
  152.903	 -23.0926
  154.806	 -23.1751
  156.734	 -23.2590
  158.685	 -23.3439
  160.660	 -23.4281
  162.660	 -23.5096
  164.685	 -23.5903
  166.735	 -23.6723
  168.811	 -23.7543
  170.912	 -23.8362
  173.040	 -23.9185
  175.194	 -24.0009
  177.375	 -24.0839
  179.583	 -24.1656
  181.819	 -24.2446
  184.082	 -24.3232
  186.374	 -24.3977
  188.694	 -24.4678
  191.043	 -24.5369
  193.421	 -24.6051
  195.829	 -24.6721
  198.267	 -24.7375
  200.735	 -24.8053
  203.234	 -24.8721
  205.764	 -24.9394
  208.325	 -25.0097
  210.919	 -25.0841
  213.544	 -25.1601
  216.203	 -25.2389
  218.894	 -25.3211
  221.619	 -25.4047
  224.378	 -25.4929
  227.171	 -25.5827
  229.999	 -25.6698
  232.862	 -25.7537
  235.761	 -25.8344
  238.696	 -25.9122
  241.668	 -25.9890
  244.676	 -26.0614
  247.722	 -26.1286
  250.806	 -26.1916
  253.928	 -26.2498
  257.089	 -26.3066
  260.290	 -26.3592
  263.530	 -26.4081
  266.810	 -26.4492
  270.132	 -26.4819
  273.495	 -26.5092
  276.899	 -26.5337
  280.346	 -26.5576
  283.836	 -26.5843
  287.370	 -26.6165
  290.947	 -26.6514
  294.569	 -26.6866
  298.236	 -26.7274
  301.949	 -26.7711
  305.708	 -26.8150
  309.513	 -26.8547
  313.366	 -26.8961
  317.267	 -26.9409
  321.217	 -26.9856
  325.216	 -27.0317
  329.264	 -27.0793
  333.363	 -27.1252
  337.513	 -27.1729
  341.715	 -27.2174
  345.969	 -27.2634
  350.276	 -27.3138
  354.636	 -27.3698
  359.051	 -27.4282
  363.521	 -27.4905
  368.046	 -27.5556
  372.628	 -27.6223
  377.266	 -27.6892
  381.963	 -27.7589
  386.718	 -27.8233
  391.532	 -27.8839
  396.406	 -27.9431
  401.341	 -28.0016
  406.337	 -28.0520
  411.395	 -28.1007
  416.517	 -28.1511
  421.702	 -28.2005
  426.951	 -28.2478
  432.266	 -28.2904
  437.648	 -28.3332
  443.096	 -28.3798
  448.612	 -28.4248
  454.196	 -28.4697
  459.851	 -28.5197
  465.575	 -28.5846
  471.371	 -28.6459
  477.239	 -28.7001
  483.180	 -28.7480
  489.195	 -28.7942
  495.285	 -28.8365
  501.450	 -28.8759
  507.693	 -28.9202
  514.013	 -28.9684
  520.412	 -29.0232
  526.890	 -29.0822
  533.449	 -29.1502
  540.090	 -29.2171
  546.814	 -29.3318
  553.621	 -29.2515
  560.513	 -29.1774
  567.490	 -29.1089
  574.555	 -29.0459
  581.707	 -28.9883
  588.949	 -28.9359
  596.281	 -28.8884
  603.703	 -28.8447
  611.219	 -28.8045
  618.828	 -28.7667
  626.531	 -28.7304
  634.331	 -28.6950
  642.228	 -28.6592
  650.222	 -28.6220
  658.317	 -28.5826
  666.512	 -28.5397
  674.809	 -28.4931
  683.210	 -28.4418
  691.715	 -28.3854
  700.326	 -28.3236
  709.044	 -28.2568
  717.871	 -28.1848
  726.807	 -28.1087
  735.855	 -28.0293
  745.016	 -27.9478
  754.290	 -27.8658
  763.680	 -27.7849
  773.187	 -27.7070
  782.812	 -27.6344
  792.557	 -27.5687
  802.424	 -27.5122
  812.413	 -27.4670
  822.526	 -27.4355
  832.766	 -27.4199
  843.133	 -27.4223
  853.629	 -27.4448
  864.255	 -27.4895
  875.014	 -27.5588
  885.907	 -27.6541
  896.935	 -27.7772
  908.101	 -27.9304
  919.406	 -28.1148
  930.851	 -28.3316
  942.439	 -28.5821
  954.171	 -28.8661
  966.049	 -29.1838
  978.076	 -29.5333
  990.251	 -29.9115
 1002.579	 -30.3124
 1015.060	 -30.7266
 1027.696	 -31.1411
 1040.489	 -31.5391
 1053.442	 -31.8966
 1066.556	 -32.1877
 1079.833	 -32.3848
 1093.276	 -32.4688
 1106.886	 -32.4283
 1120.665	 -32.2692
 1134.616	 -32.0046
 1148.741	 -31.6639
 1163.041	 -31.2734
 1177.519	 -30.8572
 1192.178	 -30.4366
 1207.019	 -30.0284
 1222.045	 -29.6423
 1237.258	 -29.2874
 1252.660	 -28.9678
 1268.254	 -28.6869
 1284.042	 -28.4462
 1300.027	 -28.2464
 1316.211	 -28.0873
 1332.596	 -27.9689
 1349.185	 -27.8903
 1365.981	 -27.8509
 1382.985	 -27.8506
 1400.202	 -27.8893
 1417.633	 -27.9653
 1435.280	 -28.0783
 1453.148	 -28.2270
 1471.238	 -28.4112
 1489.553	 -28.6285
 1508.096	 -28.8779
 1526.870	 -29.1570
 1545.877	 -29.4629
 1565.121	 -29.7915
 1584.605	 -30.1381
 1604.332	 -30.4966
 1624.303	 -30.8605
 1644.524	 -31.2228
 1664.996	 -31.5762
 1685.723	 -31.9148
 1706.708	 -32.2335
 1727.955	 -32.5271
 1749.466	 -32.7935
 1771.244	 -33.0321
 1793.294	 -33.2403
 1815.618	 -33.4176
 1838.221	 -33.5641
 1861.104	 -33.6781
 1884.272	 -33.7576
 1907.729	 -33.8033
 1931.478	 -33.8182
 1955.523	 -33.8080
 1979.866	 -33.7825
 2004.513	 -33.7525
 2029.467	 -33.7292
 2054.731	 -33.7234
 2080.310	 -33.7429
 2106.207	 -33.7918
 2132.427	 -33.8691
 2158.973	 -33.9702
 2185.849	 -34.0860
 2213.060	 -34.2054
 2240.610	 -34.3179
 2268.503	 -34.4151
 2296.743	 -34.4947
 2325.334	 -34.5608
 2354.282	 -34.6227
 2383.590	 -34.6922
 2413.262	 -34.7808
 2443.305	 -34.8971
 2473.721	 -35.0436
 2504.515	 -35.2170
 2535.693	 -35.4079
 2567.260	 -35.6033
 2599.219	 -35.7894
 2631.576	 -35.9557
 2664.335	 -36.0960
 2697.503	 -36.2114
 2731.084	 -36.3075
 2765.082	 -36.3921
 2799.504	 -36.4722
 2834.354	 -36.5536
 2869.638	 -36.6391
 2905.362	 -36.7299
 2941.530	 -36.8263
 2978.148	 -36.9266
 3015.222	 -37.0273
 3052.758	 -37.1211
 3090.761	 -37.1990
 3129.237	 -37.2516
 3168.192	 -37.2719
 3207.632	 -37.2598
 3247.563	 -37.2215
 3287.991	 -37.1660
 3328.923	 -37.1019
 3370.364	 -37.0335
 3412.320	 -36.9615
 3454.799	 -36.8853
 3497.807	 -36.8060
 3541.351	 -36.7275
 3585.436	 -36.6546
 3630.070	 -36.5888
 3675.260	 -36.5259
 3721.012	 -36.4574
 3767.334	 -36.3752
 3814.233	 -36.2762
 3861.715	 -36.1645
 3909.789	 -36.0485
 3958.460	 -35.9363
 4007.738	 -35.8304
 4057.630	 -35.7264
 4108.142	 -35.6161
 4159.283	 -35.4900
 4211.061	 -35.3430
 4263.483	 -35.1757
 4316.559	 -34.9940
 4370.294	 -34.8049
 4424.699	 -34.6131
 4479.781	 -34.4200
 4535.548	 -34.2269
 4592.010	 -34.0371
 4649.175	 -33.8562
 4707.051	 -33.6883
 4765.648	 -33.5339
 4824.975	 -33.3907
 4885.039	 -33.2562
 4945.852	 -33.1294
 5007.421	 -33.0099
 5069.757	 -32.8989
 5132.870	 -32.8024
 5196.768	 -32.7313
 5261.460	 -32.6963
 5326.959	 -32.7003
 5393.273	 -32.7397
 5460.413	 -32.8104
 5528.388	 -32.9112
 5597.209	 -33.0416
 5666.887	 -33.1977
 5737.433	 -33.3744
 5808.857	 -33.5694
