Frequency(Hz),   Magnitude(dB)
  110.845, -22.453661
  112.225, -22.406752
  113.622, -22.367531
  115.037, -22.336151
  116.469, -22.312376
  117.919, -22.293419
  119.386, -22.278297
  120.873, -22.267384
  122.377, -22.259165
  123.901, -22.255066
  125.443, -22.258509
  127.005, -22.270370
  128.586, -22.289351
  130.187, -22.315754
  131.807, -22.349730
  133.448, -22.389389
  135.109, -22.434311
  136.791, -22.484039
  138.494, -22.538704
  140.218, -22.597942
  141.964, -22.659807
  143.731, -22.725388
  145.520, -22.794384
  147.332, -22.865589
  149.166, -22.938009
  151.023, -23.012398
  152.903, -23.092627
  154.806, -23.175108
  156.734, -23.259026
  158.685, -23.343899
  160.660, -23.428053
  162.660, -23.509617
  164.685, -23.590326
  166.735, -23.672251
  168.811, -23.754314
  170.912, -23.836193
  173.040, -23.918467
  175.194, -24.000889
  177.375, -24.083870
  179.583, -24.165558
  181.819, -24.244650
  184.082, -24.323250
  186.374, -24.397697
  188.694, -24.467812
  191.043, -24.536907
  193.421, -24.605103
  195.829, -24.672100
  198.267, -24.737497
  200.735, -24.805269
  203.234, -24.872072
  205.764, -24.939407
  208.325, -25.009706
  210.919, -25.084131
  213.544, -25.160097
  216.203, -25.238890
  218.894, -25.321056
  221.619, -25.404701
  224.378, -25.492863
  227.171, -25.582716
  229.999, -25.669794
  232.862, -25.753666
  235.761, -25.834402
  238.696, -25.912184
  241.668, -25.988970
  244.676, -26.061380
  247.722, -26.128592
  250.806, -26.191582
  253.928, -26.249784
  257.089, -26.306570
  260.290, -26.359175
  263.530, -26.408113
  266.810, -26.449219
  270.132, -26.481941
  273.495, -26.509188
  276.899, -26.533741
  280.346, -26.557602
  283.836, -26.584291
  287.370, -26.616537
  290.947, -26.651358
  294.569, -26.686640
  298.236, -26.727448
  301.949, -26.771076
  305.708, -26.815018
  309.513, -26.854660
  313.366, -26.896141
  317.267, -26.940935
  321.217, -26.985619
  325.216, -27.031715
  329.264, -27.079266
  333.363, -27.125153
  337.513, -27.172901
  341.715, -27.217422
  345.969, -27.263435
  350.276, -27.313797
  354.636, -27.369762
  359.051, -27.428179
  363.521, -27.490477
  368.046, -27.555559
  372.628, -27.622318
  377.266, -27.689207
  381.963, -27.758915
  386.718, -27.823284
  391.532, -27.883869
  396.406, -27.943089
  401.341, -28.001638
  406.337, -28.052038
  411.395, -28.100742
  416.517, -28.151070
  421.702, -28.200485
  426.951, -28.247808
  432.266, -28.290403
  437.648, -28.333216
  443.096, -28.379753
  448.612, -28.424847
  454.196, -28.469650
  459.851, -28.519737
  465.575, -28.584568
  471.371, -28.645931
  477.239, -28.700136
  483.180, -28.748014
  489.195, -28.794212
  495.285, -28.836546
  501.450, -28.875870
  507.693, -28.920200
  514.013, -28.968437
  520.412, -29.023190
  526.890, -29.082195
  533.449, -29.150152
  540.090, -29.217062
  546.814, -29.331797
  553.621, -29.251545
  560.513, -29.177416
  567.490, -29.108885
  574.555, -29.045904
  581.707, -28.988350
  588.949, -28.935917
  596.281, -28.888367
  603.703, -28.844698
  611.219, -28.804520
  618.828, -28.766697
  626.531, -28.730371
  634.331, -28.695038
  642.228, -28.659151
  650.222, -28.622005
  658.317, -28.582647
  666.512, -28.539742
  674.809, -28.493069
  683.210, -28.441809
  691.715, -28.385447
  700.326, -28.323601
  709.044, -28.256786
  717.871, -28.184803
  726.807, -28.108662
  735.855, -28.029278
  745.016, -27.947844
  754.290, -27.865828
  763.680, -27.784899
  773.187, -27.707041
  782.812, -27.634352
  792.557, -27.568748
  802.424, -27.512157
  812.413, -27.467020
  822.526, -27.435530
  832.766, -27.419899
  843.133, -27.422283
  853.629, -27.444752
  864.255, -27.489460
  875.014, -27.558792
  885.907, -27.654083
  896.935, -27.777241
  908.101, -27.930401
  919.406, -28.114784
  930.851, -28.331583
  942.439, -28.582056
  954.171, -28.866137
  966.049, -29.183815
  978.076, -29.533289
  990.251, -29.911507
 1002.579, -30.312412
 1015.060, -30.726641
 1027.696, -31.141050
 1040.489, -31.539076
 1053.442, -31.896561
 1066.556, -32.187744
 1079.833, -32.384850
 1093.276, -32.468822
 1106.886, -32.428291
 1120.665, -32.269226
 1134.616, -32.004601
 1148.741, -31.663912
 1163.041, -31.273439
 1177.519, -30.857227
 1192.178, -30.436609
 1207.019, -30.028370
 1222.045, -29.642342
 1237.258, -29.287374
 1252.660, -28.967817
 1268.254, -28.686855
 1284.042, -28.446234
 1300.027, -28.246420
 1316.211, -28.087337
 1332.596, -27.968948
 1349.185, -27.890280
 1365.981, -27.850855
 1382.985, -27.850578
 1400.202, -27.889317
 1417.633, -27.965324
 1435.280, -28.078325
 1453.148, -28.227013
 1471.238, -28.411196
 1489.553, -28.628519
 1508.096, -28.877934
 1526.870, -29.157036
 1545.877, -29.462889
 1565.121, -29.791468
 1584.605, -30.138081
 1604.332, -30.496614
 1624.303, -30.860460
 1644.524, -31.222847
 1664.996, -31.576193
 1685.723, -31.914843
 1706.708, -32.233467
 1727.955, -32.527130
 1749.466, -32.793453
 1771.244, -33.032089
 1793.294, -33.240269
 1815.618, -33.417576
 1838.221, -33.564087
 1861.104, -33.678093
 1884.272, -33.757561
 1907.729, -33.803291
 1931.478, -33.818176
 1955.523, -33.807983
 1979.866, -33.782478
 2004.513, -33.752525
 2029.467, -33.729248
 2054.731, -33.723362
 2080.310, -33.742912
 2106.207, -33.791786
 2132.427, -33.869083
 2158.973, -33.970161
 2185.849, -34.085999
 2213.060, -34.205406
 2240.610, -34.317863
 2268.503, -34.415092
 2296.743, -34.494720
 2325.334, -34.560783
 2354.282, -34.622677
 2383.590, -34.692200
