	45° s filtrar		
Frequency (Hz)	Level (dB)

12.589254	51.92
15.848932	52.74
19.952623	51.57
25.118864	47.72
31.622777	42.93
39.810717	37.37
50.118723	45.04
63.095734	65.49
79.432823	67.96
100.000000	72.55
125.892541	74.99
158.489319	71.16
199.526231	68.73
251.188643	65.53
316.227766	65.42
398.107171	64.60
501.187234	62.98
630.957344	63.98
794.328235	63.89
1000.000000	59.11
1258.925412	62.65
1584.893192	60.09
1995.262315	59.24
2511.886432	55.29
3162.277660	52.14
3981.071706	44.71
5011.872336	44.08
6309.573445	45.09
7943.282347	40.86
10000.000000	37.64
12589.254118	36.91
15848.931925	31.60
19952.623150	25.78
